key,symbol,date,month,baseline_pnl,baseline_trades,baseline_type,suppress_pnl,suppress_trades,suppress_type,diff,avoided
AAOI_2026-02-18,AAOI,2026-02-18,2026-02,-414.8,1,uncertain,-414.8,1,uncertain,0.0,False
AAOI_2026-02-27,AAOI,2026-02-27,2026-02,-1950.35,3,cascading,-1950.35,3,cascading,0.0,False
ACCL_2026-01-16,ACCL,2026-01-16,2026-01,-1071.85,2,one_big_move,-1071.85,2,one_big_move,0.0,False
ACON_2026-01-06,ACON,2026-01-06,2026-01,0,0,uncertain,0,0,uncertain,0,False
ACON_2026-01-08,ACON,2026-01-08,2026-01,-2121.61,3,early_bird,-2121.61,3,early_bird,0.0,False
ACON_2026-01-27,ACON,2026-01-27,2026-01,0,0,uncertain,0,0,uncertain,0,False
ACON_2026-02-13,ACON,2026-02-13,2026-02,38.46,1,uncertain,38.46,1,uncertain,0.0,False
AEVA_2026-02-27,AEVA,2026-02-27,2026-02,0,0,avoid,0,0,avoid,0,True
AGIG_2026-02-27,AGIG,2026-02-27,2026-02,0,0,smooth_trend,0,0,smooth_trend,0,False
ALMS_2026-01-06,ALMS,2026-01-06,2026-01,3406.64,4,one_big_move,3775.8,3,one_big_move,369.1600000000003,False
ALMS_2026-01-09,ALMS,2026-01-09,2026-01,-1154.02,2,avoid,-1154.02,2,avoid,0.0,True
ALMS_2026-01-16,ALMS,2026-01-16,2026-01,0,0,avoid,0,0,avoid,0,True
ALMS_2026-02-13,ALMS,2026-02-13,2026-02,-236.11,2,avoid,-236.11,2,avoid,0.0,True
ANNA_2026-02-27,ANNA,2026-02-27,2026-02,-1088.07,1,smooth_trend,-1088.07,1,smooth_trend,0.0,False
ANPA_2026-01-06,ANPA,2026-01-06,2026-01,-2729.57,2,uncertain,-2729.57,2,uncertain,0.0,False
ANPA_2026-01-09,ANPA,2026-01-09,2026-01,2088.42,2,cascading,2088.42,2,cascading,0.0,False
ANPA_2026-02-13,ANPA,2026-02-13,2026-02,0,0,avoid,0,0,avoid,0,True
APVO_2026-01-09,APVO,2026-01-09,2026-01,7622.28,1,smooth_trend,7622.28,1,smooth_trend,0.0,False
APVO_2026-02-05,APVO,2026-02-05,2026-02,0,0,avoid,0,0,avoid,0,True
ARLO_2026-02-27,ARLO,2026-02-27,2026-02,-691.56,1,smooth_trend,-691.56,1,smooth_trend,0.0,False
AZI_2026-01-06,AZI,2026-01-06,2026-01,782.5,4,early_bird,782.5,4,early_bird,0.0,False
AZI_2026-01-09,AZI,2026-01-09,2026-01,0,0,uncertain,0,0,uncertain,0,False
