strategy,symbol,session_date,direction,level_kind,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,price_tier,vix_proxy
vp_rejection,AAPL,2020-01-03,short,HVN,2020-01-03T10:04:00,2020-01-03T10:08:00,297.8,298.24670000000003,298.24670000000003,295.9407,2238,1000.0,-999.7146000000474,-0.9997146000000474,stop,$150-300,18.0
vp_rejection,AMD,2020-01-03,short,HVN,2020-01-03T09:45:00,2020-01-03T10:10:00,48.34,48.547000000000004,48.547000000000004,47.8178,4830,1000.0,-999.8100000000036,-0.9998100000000035,stop,$10-50,18.0
vp_rejection,AVGO,2020-01-03,short,HVN,2020-01-03T09:42:00,2020-01-03T09:43:00,318.76,319.23814,319.23814,318.04278999999997,2091,1000.0,-999.7907399999922,-0.9997907399999921,stop,$300+,18.0
vp_rejection,CRM,2020-01-03,long,HVN,2020-01-03T11:29:00,2020-01-03T15:26:00,165.76,166.7595,165.4904,166.7595,3709,1000.0,3707.1455000000437,3.7071455000000437,target,$150-300,18.0
vp_rejection,NFLX,2020-01-03,long,HVN,2020-01-03T09:44:00,2020-01-03T09:44:00,328.67,328.17699500000003,328.17699500000003,328.9955,2028,1000.0,-999.8141399999643,-0.9998141399999643,stop,$300+,18.0
vp_rejection,CSCO,2020-01-03,short,POC,2020-01-03T09:49:00,2020-01-03T10:22:00,47.92,47.71,48.06,47.71,7142,1000.0,1499.820000000006,1.4998200000000061,target,$10-50,18.0
vp_rejection,MU,2020-01-03,short,POC,2020-01-03T11:52:00,2020-01-03T12:23:00,55.05,55.1953,55.1953,54.83204999999999,6882,1000.0,-999.9546000000412,-0.9999546000000412,stop,$50-150,18.0
vp_rejection,ROKU,2020-01-03,long,HVN,2020-01-03T09:48:00,2020-01-03T09:51:00,136.5,136.2305,136.2305,136.9397,3710,1000.0,-999.8449999999764,-0.9998449999999763,stop,$50-150,18.0
vp_breakout,F,2020-01-03,short,LVN,2020-01-03T09:42:00,2020-01-03T10:00:00,9.29,9.265,9.350000000000001,9.265,16666,1000.0,416.64999999997633,0.4166499999999763,target,<$10,18.0
vp_breakout,WFC,2020-01-03,long,LVN,2020-01-03T13:06:00,2020-01-03T13:17:00,53.6,53.519600000000004,53.519600000000004,53.7769,12437,1000.0,-999.9347999999673,-0.9999347999999673,stop,$50-150,18.0
vp_rejection,DIS,2020-01-03,short,HVN,2020-01-03T09:46:00,2020-01-03T09:54:00,147.61,146.5944,147.9495,146.5944,2945,1000.0,2990.9420000000187,2.9909420000000186,target,$50-150,18.0
vp_rejection,NKE,2020-01-03,long,HVN,2020-01-03T10:37:00,2020-01-03T11:01:00,101.64,101.43570000000001,101.43570000000001,102.0467,4894,1000.0,-999.8441999999475,-0.9998441999999474,stop,$50-150,18.0
vp_breakout,AAPL,2020-01-06,long,LVN,2020-01-06T10:20:00,2020-01-06T10:22:00,297.2,297.4437,296.75419999999997,297.4437,2243,1000.0,546.6190999999772,0.5466190999999772,target,$150-300,18.0
vp_breakout,MSFT,2020-01-06,long,LVN,2020-01-06T10:43:00,2020-01-06T11:39:00,158.74,158.5,158.5,159.2688,4166,1000.0,-999.8400000000379,-0.9998400000000379,stop,$150-300,18.0
vp_rejection,TSLA,2020-01-06,short,HVN,2020-01-06T09:41:00,2020-01-06T09:43:00,442.75,443.8926,443.8926,439.4902,875,1000.0,-999.7750000000138,-0.9997750000000138,stop,$300+,18.0
vp_breakout,NVDA,2020-01-06,long,LVN,2020-01-06T10:25:00,2020-01-06T10:42:00,235.26,236.1914,234.82,236.1914,2272,1000.0,2116.140799999992,2.116140799999992,target,$150-300,18.0
vp_rejection,AMD,2020-01-06,long,HVN,2020-01-06T09:47:00,2020-01-06T10:01:00,48.47,48.8197,48.2758,48.8197,5149,1000.0,1800.6052999999927,1.8006052999999926,target,$10-50,18.0
vp_rejection,ADBE,2020-01-06,short,HVN,2020-01-06T10:00:00,2020-01-06T11:02:00,332.11,331.3627525,332.608165,331.3627525,2007,1000.0,1499.7257325000292,1.499725732500029,target,$300+,18.0
vp_breakout,ORCL,2020-01-06,long,LVN,2020-01-06T10:34:00,2020-01-06T11:20:00,54.095,54.0,54.0,54.285,10526,1000.0,-999.969999999988,-0.9999699999999879,stop,$50-150,18.0
vp_rejection,NFLX,2020-01-06,long,HVN,2020-01-06T10:54:00,2020-01-06T12:16:00,328.73,329.47130000000004,328.2358,329.47130000000004,2023,1000.0,1499.649900000048,1.499649900000048,target,$300+,18.0
vp_rejection,INTC,2020-01-06,short,HVN,2020-01-06T11:26:00,2020-01-06T12:13:00,60.09,59.86455,60.240300000000005,59.86455,6653,1000.0,1499.9188500000143,1.4999188500000142,target,$50-150,18.0
vp_rejection,SNAP,2020-01-06,short,HVN,2020-01-06T09:45:00,2020-01-06T10:26:00,16.575,16.687,16.687,16.406999999999996,8928,1000.0,-999.9360000000167,-0.9999360000000167,stop,$10-50,18.0
vp_rejection,AAPL,2020-01-07,long,POC,2020-01-07T09:49:00,2020-01-07T10:00:00,298.64,299.2861,298.19203999999996,299.2861,2232,1000.0,1442.0951999999775,1.4420951999999774,target,$150-300,18.0
vp_rejection,MSFT,2020-01-07,long,POC,2020-01-07T09:50:00,2020-01-07T10:31:00,158.82,158.58177,158.58177,159.373,4197,1000.0,-999.8513099999466,-0.9998513099999465,stop,$150-300,18.0
vp_rejection,NVDA,2020-01-07,short,HVN,2020-01-07T09:44:00,2020-01-07T09:44:00,236.7,236.6676,237.05505,236.6676,2816,1000.0,91.23839999998745,0.09123839999998745,target,$150-300,18.0
vp_rejection,AMD,2020-01-07,short,HVN,2020-01-07T09:44:00,2020-01-07T09:45:00,48.28,48.4169,48.4169,48.1032,7304,1000.0,-999.9175999999791,-0.9999175999999791,stop,$10-50,18.0
