,0
2020-01-03,4223.476900000105
2020-01-06,13475.055500000139
2020-01-07,-2038.6497999999808
2020-01-08,-5998.9799999999095
2020-01-09,2740.435799999967
2020-01-10,-5998.49429999996
2020-01-13,3848.261300000151
2020-01-14,3633.408100000099
2020-01-15,29072.38639999996
2020-01-16,-4999.05829999996
2020-01-17,10096.088800000034
2020-01-20,46724.527400000035
2020-01-21,33913.802700000066
2020-01-22,8658.871199999987
2020-01-23,-5999.037499999928
2020-01-24,5317.036600000029
2020-01-27,-3635.0646999998417
2020-01-28,3544.838000000023
2020-01-29,-7999.239500000009
2020-01-30,3424.4855000000894
2020-01-31,19486.68100000006
2020-02-03,5272.075799999728
2020-02-04,3259.7442000000124
2020-02-05,10043.746800000157
2020-02-06,45533.89229999988
2020-02-07,8785.586300000206
2020-02-10,12896.58579999998
2020-02-11,-2150.9255999999746
2020-02-12,46851.40270000009
2020-02-13,36922.26840000008
2020-02-14,-4223.483599999938
2020-02-17,7558.125800000053
2020-02-18,13914.183000000092
2020-02-19,13971.682799999897
2020-02-20,-3029.6685000002217
2020-02-21,764.2214999998271
2020-02-24,52813.677899999886
2020-02-25,17854.74000000001
2020-02-26,16021.343900000282
2020-02-27,6713.890700000109
2020-02-28,24798.425600000013
2020-03-02,6391.695400000032
2020-03-03,30117.430300000124
2020-03-04,4013.3200000000948
2020-03-05,-2013.5996999999181
2020-03-06,-6999.0686999999925
2020-03-09,-7997.903299999893
2020-03-10,5706.90970000008
2020-03-11,-5999.237800000037
2020-03-12,17719.113799999985
2020-03-13,6125.950299999962
2020-03-16,24057.07479999996
2020-03-17,4075.246699999996
2020-03-18,15510.698200000299
2020-03-19,27186.854300000006
2020-03-20,52626.77949999997
2020-03-23,9244.041300000054
2020-03-24,-2784.9732999999005
2020-03-25,-678.2213999998778
2020-03-26,4927.969199999924
2020-03-27,8934.735199999997
2020-03-30,-2118.258199999888
2020-03-31,-2722.2627000003436
2020-04-01,43693.1746999999
2020-04-02,24693.38429999988
2020-04-03,6238.628799999928
2020-04-06,-5999.008300000081
2020-04-07,16558.54559999999
2020-04-08,13416.024600000084
2020-04-09,3269.6472999999496
2020-04-10,7304.741200000044
2020-04-13,2333.4633000000213
2020-04-14,46527.4489
2020-04-15,-1729.572899999761
2020-04-16,6567.3729000000585
2020-04-17,972.9689000000159
2020-04-20,21846.125899999897
2020-04-21,3513.4437000000717
2020-04-22,-3723.5843000001696
2020-04-23,9983.6462000002
2020-04-24,1799.1798999998114
2020-04-27,-1928.6365000000833
2020-04-28,-1502.0774999998719
2020-04-29,-646.1926000000608
2020-04-30,11880.079400000039
2020-05-01,4648.225900000039
2020-05-04,22242.91729999997
2020-05-05,28523.55270000009
2020-05-06,12487.195700000046
2020-05-07,14791.923599999804
2020-05-08,-2424.4739000000463
2020-05-11,2872.96139999984
2020-05-12,2086.5354999998826
2020-05-13,13569.102800000077
2020-05-14,3717.8073999996823
2020-05-15,21668.22309999997
2020-05-18,32479.404699999974
2020-05-19,-4999.080900000026
2020-05-20,32891.067100000066
2020-05-21,26609.75270000006
2020-05-22,16413.124799999983
2020-05-25,-4206.080400000104
2020-05-26,15809.869300000077
2020-05-27,46890.732500000064
2020-05-28,21179.319299999952
2020-05-29,21388.93600000015
2020-06-01,-455.00640000005774
2020-06-02,10815.6084000001
2020-06-03,16557.20500000001
2020-06-04,24146.01699999995
2020-06-05,24254.84459999999
2020-06-08,10328.819799999985
2020-06-09,-3716.920000000075
2020-06-10,-1058.3867000001364
2020-06-11,6872.086100000002
2020-06-12,15055.440699999928
2020-06-15,13379.036899999963
2020-06-16,8459.980399999557
2020-06-17,-3290.844500000342
2020-06-18,68629.03010000009
2020-06-19,20721.86000000001
2020-06-22,-5999.3500000000195
2020-06-23,-3982.5265000000063
2020-06-24,31150.50059999995
2020-06-25,-2352.7535000002413
2020-06-26,14387.217799999873
2020-06-29,46432.824899999905
2020-06-30,10493.686300000183
2020-07-01,26779.607999999964
2020-07-02,6689.230199999889
2020-07-03,14243.653100000101
2020-07-06,11580.388099999884
2020-07-07,24624.41620000001
2020-07-08,8027.347400000036
2020-07-09,-3856.786499999903
2020-07-10,-3485.4198000004335
2020-07-13,11876.91389999987
2020-07-14,-6470.701500000044
2020-07-15,-4636.6846000000005
2020-07-16,3464.217900000016
2020-07-17,55213.43250000008
2020-07-20,10401.961599999975
2020-07-21,-7998.582500000104
2020-07-22,-4581.3944000001275
2020-07-23,-212.76249999989886
2020-07-24,30435.338400000117
2020-07-27,15734.917999999961
2020-07-28,21235.106199999922
2020-07-29,-1797.5580999999454
2020-07-30,23472.796500000142
2020-07-31,-4999.663500000059
2020-08-03,6204.4094000001405
2020-08-04,-4863.8898999998855
2020-08-05,22546.24459999997
2020-08-06,546.6294999999457
2020-08-07,12677.528999999935
2020-08-10,26318.561299999357
2020-08-11,1299.1920999996435
2020-08-12,28001.37200000009
2020-08-13,34968.96969999995
2020-08-14,3961.631400000156
2020-08-17,1335.2590999999852
2020-08-18,16365.749499999658
2020-08-19,35675.9438999999
2020-08-20,10638.9719
2020-08-21,11569.540000000015
2020-08-24,-1470.237200000097
2020-08-25,10908.301300000148
2020-08-26,18302.261899999852
2020-08-27,3909.197800000009
2020-08-28,23570.86089999998
2020-08-31,30463.377899999527
2020-09-01,13412.451000000015
2020-09-02,-2571.106700000031
2020-09-03,-1135.9268000001157
2020-09-04,3393.4360999999662
2020-09-07,9319.653499999917
2020-09-08,-6999.075999999907
2020-09-09,-1021.2787000001005
2020-09-10,24372.446600000025
2020-09-11,19217.1039999998
2020-09-14,23506.33630000004
2020-09-15,-4630.8673999999755
2020-09-16,5749.178099999921
2020-09-17,2232.977300000078
2020-09-18,18596.88869999982
2020-09-21,-4998.999699999944
2020-09-22,19061.967200000072
2020-09-23,15099.533699999965
2020-09-24,-5304.459000000053
2020-09-25,10126.46429999998
2020-09-28,15779.09170000009
2020-09-29,5406.623399999903
2020-09-30,6693.690499999962
2020-10-01,5594.757299999903
2020-10-02,4734.660399999983
2020-10-05,10198.577999999945
2020-10-06,-6998.375600000152
2020-10-07,6008.87569999995
2020-10-08,595.7676999999973
2020-10-09,-4118.496900000028
2020-10-12,1508.8770999999692
2020-10-13,-6997.146099999983
2020-10-14,31479.014400000135
2020-10-15,-5360.153399999865
2020-10-16,1929.5168000000142
2020-10-19,25508.289999999986
2020-10-20,-470.2195000000668
2020-10-21,-6998.778100000004
2020-10-22,10739.623499999861
2020-10-23,8364.757599999892
2020-10-26,3463.5289999999636
2020-10-27,-1728.909900000053
2020-10-28,-3999.530800000106
2020-10-29,-6.127900000061686
2020-10-30,-1581.0316000000737
2020-11-02,1630.6109999999533
2020-11-03,3460.160200000011
2020-11-04,-3226.339599999918
2020-11-05,-4061.332400000172
2020-11-06,-443.42209999995566
2020-11-09,-5998.879800000013
2020-11-10,234.04310000005626
2020-11-11,10236.611499999985
2020-11-12,15326.763099999956
2020-11-13,8560.99690000005
2020-11-16,17759.780899999903
2020-11-17,5214.816399999986
2020-11-18,19490.6051000003
2020-11-19,17178.73349999987
2020-11-20,-6999.196200000056
2020-11-23,16967.61710000003
2020-11-24,-5998.6180000000795
2020-11-25,6663.740599999884
2020-11-26,-5999.1727000000865
2020-11-27,34921.115199999906
2020-11-30,-702.9781000001094
2020-12-01,5336.86699999998
2020-12-02,-4916.469000000005
2020-12-03,5567.4203999998745
2020-12-04,-423.6753999997809
2020-12-07,-2396.0391000000673
2020-12-08,-147.4768000001078
2020-12-09,4367.040300000017
2020-12-10,29528.415099999904
2020-12-11,-6998.922100000001
2020-12-14,34314.03969999997
2020-12-15,17184.02619999994
2020-12-16,938.5858000001094
2020-12-17,-5612.669800000115
2020-12-18,2577.4545999999964
2020-12-21,-301.063899999947
2020-12-22,14014.957500000593
2020-12-23,-29.852500000140026
2020-12-24,-1582.9722000000334
2020-12-28,10089.928699999859
2020-12-29,-5613.31300000003
2020-12-30,8744.082600000074
2020-12-31,-7999.233800000025
2021-01-04,-6999.026499999981
2021-01-05,9381.483399999785
2021-01-06,3341.629699999943
2021-01-07,-4534.970500000088
2021-01-08,-1352.793900000082
2021-01-11,3071.043799999673
2021-01-12,-423.2392000001622
2021-01-13,11952.968199999925
2021-01-14,-4999.596100000084
2021-01-15,31696.35319999997
2021-01-18,4177.3709999999755
2021-01-19,21312.64069999996
2021-01-20,-954.7268000001532
2021-01-21,949.7517999999533
2021-01-22,-3999.6362000000718
2021-01-25,20471.37759999974
2021-01-26,-6998.011700000033
2021-01-27,-4126.947900000047
2021-01-28,17560.394099999623
2021-01-29,3748.5676999999187
2021-02-01,12570.776799999774
2021-02-02,10207.363400000024
2021-02-03,14702.12820000002
2021-02-04,2989.859499999736
2021-02-05,-3998.1865000000107
2021-02-08,-6999.416700000346
2021-02-09,1658.2929000000183
2021-02-10,-1834.8480000001784
2021-02-11,-5999.643300000249
2021-02-12,-5982.026500000002
2021-02-15,-6998.487200000049
2021-02-16,6192.359600000061
2021-02-17,-4799.782900000087
2021-02-18,-6999.320699999946
2021-02-19,6978.240100000037
2021-02-22,-6998.841800000054
2021-02-23,-3052.8874999999025
2021-02-24,-3999.230200000204
2021-02-25,-1512.0104000002007
2021-02-26,9071.53350000003
2021-03-01,5506.976500000027
2021-03-02,16269.523299999975
2021-03-03,-6999.252699999967
2021-03-04,-5999.554400000003
2021-03-05,1100.6738999999252
2021-03-08,-3999.314400000043
2021-03-09,30373.766699999924
2021-03-10,-5388.698900000128
2021-03-11,12983.20569999998
2021-03-12,-6996.4791000000205
2021-03-15,-142.28569999999218
2021-03-16,-5998.819700000049
2021-03-17,-6998.592199999979
2021-03-18,-2808.749800000023
2021-03-19,-4998.578800000016
2021-03-22,11369.974999999993
2021-03-23,-3142.604999999983
2021-03-24,535.9842999999826
2021-03-25,-7103.922200000164
2021-03-26,12133.310099999984
2021-03-29,-7478.90229999991
2021-03-30,8449.00709999995
2021-03-31,2852.074800000163
2021-04-01,860.7155999999669
2021-04-02,-3914.736500000009
2021-04-05,5270.9942999999
2021-04-06,10574.768399999997
2021-04-07,12186.621700000025
2021-04-08,5697.844799999499
2021-04-09,15.97760000009771
2021-04-12,5775.496400000095
2021-04-13,-861.0079999999474
2021-04-14,9613.085199999996
2021-04-15,3921.7510999999895
2021-04-16,15337.547499999866
2021-04-19,12561.970099999971
2021-04-20,-1399.3528999998402
2021-04-21,3889.0820000001013
2021-04-22,13659.351700000067
2021-04-23,-5670.940000000011
2021-04-26,-6999.5462000000025
2021-04-27,4490.447200000027
2021-04-28,-4208.687699999964
2021-04-29,15455.195700000124
2021-04-30,-633.8078999998893
2021-05-03,491.47120000005634
2021-05-04,5567.696800000091
2021-05-05,2226.186000000037
2021-05-06,-7056.664799999912
2021-05-07,6195.200100000048
2021-05-10,11280.404700000016
2021-05-11,-1593.8860999999908
2021-05-12,5348.351100000029
2021-05-13,1986.0475999999808
2021-05-14,5904.3440000000555
2021-05-17,3416.4176999999167
2021-05-18,9627.301500000054
2021-05-19,-2279.5976999998306
2021-05-20,25189.864699999904
2021-05-21,9305.718399999965
2021-05-24,1645.385900000022
2021-05-25,1190.409000000028
2021-05-26,3068.1098000000375
2021-05-27,48616.433500000094
2021-05-28,9174.832900000138
2021-05-31,-761.8104000001147
2021-06-01,1436.3095999999987
2021-06-02,18280.637499999943
2021-06-03,-6998.871300000112
2021-06-04,-6998.615399999976
2021-06-07,1524.6185000000355
2021-06-08,16508.66720000008
2021-06-09,2985.0479000000487
2021-06-10,8475.959300000099
2021-06-11,-6999.036199999875
2021-06-14,5687.912499999987
2021-06-15,20956.807199999992
2021-06-16,-984.0360999999837
2021-06-17,4348.004599999958
2021-06-18,11616.817000000001
2021-06-21,-1742.6223999999704
2021-06-22,4837.776900000214
2021-06-23,-1988.6845999999266
2021-06-24,9941.763000000032
2021-06-25,658.2940000000434
2021-06-28,8396.026500000062
2021-06-29,719.0799000001073
2021-06-30,-2177.053999999892
2021-07-01,-5484.518799999859
2021-07-02,13998.142200000111
2021-07-05,1877.6031000000098
2021-07-06,19704.99100000016
2021-07-07,3828.0485000000062
2021-07-08,10775.047299999995
2021-07-09,1800.4576000000216
2021-07-12,7397.510400000131
2021-07-13,8969.125600000101
2021-07-14,4729.929500000027
2021-07-15,34139.03750000023
2021-07-16,4634.345299999953
2021-07-19,5246.114799999852
2021-07-20,4916.790500000041
2021-07-21,14214.424500000017
2021-07-22,37448.839700000055
2021-07-23,7897.8495000000385
2021-07-26,11006.288399999967
2021-07-27,4559.991699999933
2021-07-28,1716.7965999999574
2021-07-29,10939.367299999885
2021-07-30,13552.52660000003
2021-08-02,554.6071000000499
2021-08-03,10368.364899999811
2021-08-04,9483.59740000002
2021-08-05,17854.61020000007
2021-08-06,44298.15390000016
2021-08-09,4616.958999999839
2021-08-10,31721.177800000038
2021-08-11,11346.5398
2021-08-12,20383.091500000126
2021-08-13,17774.69299999995
2021-08-16,-5431.02229999984
2021-08-17,15015.674400000193
2021-08-18,37616.419899999906
2021-08-19,33240.823199999984
2021-08-20,-5210.314000000075
2021-08-23,10711.168900000048
2021-08-24,18432.30879999987
2021-08-25,4451.996799999885
