,0
2020-01-02,-2918.280643139103
2020-01-03,13399.550362433985
2020-01-06,-2140.205970726974
2020-01-07,-1410.233439155078
2020-01-08,-1220.19283321537
2020-01-09,-3273.83052895538
2020-01-10,10786.625134010794
2020-01-13,981.77405523732
2020-01-14,-1591.096110354907
2020-01-15,-4292.542131650743
2020-01-16,-5366.514403103513
2020-01-17,-2760.887345247361
2020-01-20,5536.189976614634
2020-01-21,-6962.907148012946
2020-01-22,-2344.599036046666
2020-01-23,50.79750765362212
2020-01-24,-2398.969493916504
2020-01-27,1868.187490508859
2020-01-28,-995.1579111451047
2020-01-29,1538.1384898343117
2020-01-30,1807.6628089696846
2020-01-31,-5299.251207684665
2020-02-03,2788.0805443420063
2020-02-04,7477.897655561418
2020-02-05,-3187.062168000631
2020-02-06,641.5683439017805
2020-02-07,3107.694799051122
2020-02-10,632.4695221450204
2020-02-11,-177.83481767278738
2020-02-12,-4964.267042697749
2020-02-13,1843.22341630057
2020-02-14,755.3527213746132
2020-02-17,-2781.0343416941923
2020-02-18,-3411.718045054222
2020-02-19,-6111.09851062663
2020-02-20,-1117.4848532915946
2020-02-21,-6350.499031209414
2020-02-24,203.7767667220711
2020-02-25,2099.8497190398107
2020-02-26,1636.7603852106085
2020-02-27,3421.1041683144663
2020-02-28,3254.5739312292953
2020-03-02,-2287.718619107769
2020-03-03,3948.792357172295
2020-03-04,4758.551570842866
2020-03-05,5004.404966086204
2020-03-06,2869.2393740393545
2020-03-09,1021.087921694477
2020-03-10,-1954.3122949058973
2020-03-11,4203.703526967343
2020-03-12,-2570.740243617629
2020-03-13,-4832.052200907165
2020-03-16,2890.5279426753705
2020-03-17,-521.7485752134932
2020-03-18,-3999.068779792603
2020-03-19,-4441.279357395329
2020-03-20,4553.032386461088
2020-03-23,-694.1546534586879
2020-03-24,-2952.8857410235464
2020-03-25,103.5730381432565
2020-03-26,-566.8878771250887
2020-03-27,-6256.889611678558
2020-03-30,-4239.741136105787
2020-03-31,-101.22087236147775
2020-04-01,-1591.0593342360885
2020-04-02,-2466.4672217066695
2020-04-03,-1661.0071137413934
2020-04-06,-3391.3099440123588
2020-04-07,3924.0132244630267
2020-04-08,-1946.6645959770444
2020-04-09,-3766.288475344054
2020-04-10,-3871.196593319312
2020-04-13,-280.46369553546106
2020-04-14,-2477.335429925093
2020-04-15,-3710.314191886854
2020-04-16,-3275.1190168853195
2020-04-17,-1116.380237459677
2020-04-20,-5387.739300589986
2020-04-21,-3518.418831203304
2020-04-22,-2460.1750075380123
2020-04-23,2535.2077957785555
2020-04-24,3419.766509329562
2020-04-27,-93.87624567137073
2020-04-28,-661.0427606547287
2020-04-29,688.4590326569723
2020-04-30,-3515.618532606889
2020-05-01,-2924.147272542833
2020-05-04,205.04478433941927
2020-05-05,2136.297271861865
2020-05-06,4965.395703492214
2020-05-07,1821.2602447163772
2020-05-08,-1328.4067409029678
2020-05-11,-1504.2071749077588
2020-05-12,-2532.07580071964
2020-05-13,1378.8049617943489
2020-05-14,-2958.970787422251
2020-05-15,-969.7092390867922
2020-05-18,-2851.867077687321
2020-05-19,-1473.3472923918046
2020-05-20,117.43199005079796
2020-05-21,1305.343937827262
2020-05-22,-2552.1126372029353
2020-05-25,968.0443136752006
2020-05-26,5269.658482966308
2020-05-27,-541.7574355354889
2020-05-28,-2021.91870090474
2020-05-29,-1873.925877342336
2020-06-01,-612.2163759967566
2020-06-02,-3257.2935420314197
2020-06-03,-2949.252056929323
2020-06-04,-2233.27205565476
2020-06-05,4378.422049677157
2020-06-08,-1510.8676043766932
2020-06-09,3724.955834936379
2020-06-10,-1298.8392451607886
2020-06-11,-4025.5752584060933
2020-06-12,2770.962561157823
2020-06-15,-2533.4551472531793
2020-06-16,1346.073042552737
2020-06-17,793.0075733862843
2020-06-18,-507.39897882156924
2020-06-19,-3022.4539106699663
2020-06-22,-3830.4586161240095
2020-06-23,-3413.033198995837
2020-06-24,-294.76213159402937
2020-06-25,124.65984500660747
2020-06-26,-125.08892662647656
2020-06-29,-3551.491021100597
2020-06-30,692.8713741198185
2020-07-01,-921.004640328886
2020-07-02,-1042.8130954196465
2020-07-03,-1205.0327074379838
2020-07-06,-1093.4859894141885
2020-07-07,-784.3408759054462
2020-07-08,-3075.1661218959694
2020-07-09,-1907.3945661841321
2020-07-10,-145.83605253098233
2020-07-13,-1052.9755312902034
2020-07-14,1578.1919118009653
2020-07-15,-2348.09504214917
2020-07-16,-1900.8627690865433
2020-07-17,1912.1935701897607
2020-07-20,301.4712462573184
2020-07-21,-343.5431135104604
2020-07-22,-1783.857055918503
2020-07-23,-1175.5990996941894
2020-07-24,-2610.964064085121
2020-07-27,-1290.2735883400178
2020-07-28,1130.503677996085
2020-07-29,1968.1844140684304
2020-07-30,-4091.205566082801
2020-07-31,1586.4907673552395
2020-08-03,-76.3144928230522
2020-08-04,-3410.4150811976306
2020-08-05,-474.6122524262935
2020-08-06,-2636.2035500041998
2020-08-07,3110.8787213676915
2020-08-10,-2805.0126331367683
2020-08-11,-4607.046124190231
2020-08-12,-2535.659337414167
2020-08-13,-2118.9184856026286
2020-08-14,-1043.0370813644367
2020-08-17,2260.3838068137434
2020-08-18,-3515.587856446738
2020-08-19,-3174.1012329098444
2020-08-20,-3704.4441067403354
2020-08-21,8499.552508170555
2020-08-24,3573.627453445307
2020-08-25,-3038.635751727743
2020-08-26,-1503.9421696575585
2020-08-27,8879.532251731243
2020-08-28,-3629.143584502568
2020-08-31,-3422.7279302683914
2020-09-01,-1326.2864376175353
2020-09-02,-1628.697960547673
2020-09-03,3129.8033383795146
2020-09-04,-70.32737579915874
2020-09-07,5105.339589755298
2020-09-08,-4084.9261124470668
2020-09-09,-853.5931989688727
2020-09-10,-4323.344712164946
2020-09-11,-2843.93877650355
2020-09-14,1256.3228190029831
2020-09-15,2365.925420103712
2020-09-16,-2171.945764322219
2020-09-17,773.0389733512275
2020-09-18,-632.526663270306
2020-09-21,-783.1993427440195
2020-09-22,-29.780376483047803
2020-09-23,-752.6362457066027
2020-09-24,5217.935785604788
2020-09-25,-2263.8240018679408
2020-09-28,-5084.5446582252935
2020-09-29,716.3725367261569
2020-09-30,-1835.9536917827272
2020-10-01,-1443.9752474296315
2020-10-02,5397.976900945849
2020-10-05,-2006.4145160430585
2020-10-06,2323.1706759338103
2020-10-07,-2356.591899601567
2020-10-08,3815.417855238438
2020-10-09,-3936.8702433333133
2020-10-12,-867.5792692292023
2020-10-13,2319.9291332135986
2020-10-14,-2347.1087263195136
2020-10-15,-2975.533266983999
2020-10-16,-4085.249009202864
2020-10-19,8232.74288337654
2020-10-20,-1488.4359529054518
2020-10-21,-4617.460005089357
2020-10-22,-4332.857758730752
2020-10-23,-163.82837074361123
2020-10-26,-3663.9592342725796
2020-10-27,883.9903136342256
2020-10-28,3377.3780258521606
2020-10-29,-1551.901029922087
2020-10-30,584.9579341184001
2020-11-02,-742.9100412097514
2020-11-03,241.60891112555555
2020-11-04,-700.2932084758486
2020-11-05,-489.9195145952125
2020-11-06,7641.201554141274
2020-11-09,656.7265189688593
2020-11-10,-5999.677769912893
2020-11-11,-4073.635597378709
2020-11-12,-3004.5533659998027
2020-11-13,1276.1247031420457
2020-11-16,141.54174869804345
2020-11-17,5089.630454392115
2020-11-18,917.6311622001693
2020-11-19,-146.43943956902143
2020-11-20,-2187.495951678535
2020-11-23,10077.7878662961
2020-11-24,-766.1531579871163
2020-11-25,1040.0682801769372
2020-11-26,-808.869997535401
2020-11-27,-2595.6700286635883
2020-11-30,6905.648633316485
2020-12-01,505.06313566073476
2020-12-02,-318.3215718436014
2020-12-03,-932.8425560915431
2020-12-04,6574.827602465259
2020-12-07,-1058.8955699359367
2020-12-08,-4662.952297257817
2020-12-09,-2533.4950321265933
2020-12-10,11151.634285203107
2020-12-11,7789.484495553963
2020-12-14,7567.598466688387
2020-12-15,-1820.8264378409733
2020-12-16,-348.7154670379351
2020-12-17,-869.8730915355851
2020-12-18,-5999.437757882432
2020-12-21,934.9917833474179
2020-12-22,-2041.4192276178103
2020-12-23,-1514.0563415659853
2020-12-24,3299.242025642555
2020-12-28,-5376.497222997618
2020-12-29,6865.769857948726
2020-12-30,-3525.235424940174
2020-12-31,-3999.70588152208
2021-01-04,2220.339090369748
2021-01-05,-4953.623524510716
2021-01-06,-2161.281566217407
2021-01-07,-3499.4369748680483
2021-01-08,-3510.274891313573
2021-01-11,-1830.921062212954
2021-01-12,-2832.331384824667
2021-01-13,-2337.546789963565
2021-01-14,-1417.9434276194136
2021-01-15,924.8163692310421
2021-01-18,1661.0691859120495
2021-01-19,-35.62228029558446
2021-01-20,-4624.459984234087
2021-01-21,-1448.347489506443
2021-01-22,10446.039690125026
2021-01-25,-507.82175776790245
2021-01-26,780.4997501668392
2021-01-27,-2733.666644081525
2021-01-28,3429.2136791056414
2021-01-29,-3567.2561788880425
2021-02-01,722.5068903569751
2021-02-02,-2929.4004593441996
2021-02-03,-631.15178621387
2021-02-04,1840.078696263999
2021-02-05,-5134.6281537866125
2021-02-08,-1645.4458659149395
2021-02-09,1866.2050997148403
2021-02-10,2188.626606827619
2021-02-11,3444.075241862922
2021-02-12,1500.3725916510505
2021-02-15,7879.157466958393
2021-02-16,-5106.493207124119
2021-02-17,-4811.750424733701
2021-02-18,5276.787138200952
2021-02-19,15461.429105144032
2021-02-22,-39.52090457608165
2021-02-23,5578.928421630286
2021-02-24,-1832.161467153407
2021-02-25,-1631.38540998493
2021-02-26,-156.0103837364635
2021-03-01,-1856.9223192121285
2021-03-02,-3313.9889651325366
2021-03-03,1600.681621024943
2021-03-04,-3585.2652902234627
2021-03-05,-3108.463575574225
2021-03-08,819.1209783997965
2021-03-09,9060.915981465623
2021-03-10,-3238.2400220277705
2021-03-11,-2048.8482823615586
2021-03-12,-230.5547333896386
2021-03-15,6845.535668603779
2021-03-16,2499.5164185123185
2021-03-17,-1218.0934391593928
2021-03-18,7352.18118372031
2021-03-19,-2018.341640371053
2021-03-22,4450.984627815109
2021-03-23,11401.46488766312
2021-03-24,-2809.06311601176
2021-03-25,350.9185434487172
2021-03-26,-1625.6852009551874
2021-03-29,13493.418033718168
2021-03-30,-990.5378894612602
2021-03-31,-1860.4194372367242
2021-04-01,-897.5642532288196
2021-04-02,-1360.224620134365
2021-04-05,-3529.280555558123
2021-04-06,-2940.7690444863374
2021-04-07,3427.3037607794126
2021-04-08,5674.345362250937
2021-04-09,-1216.9247154573368
2021-04-12,-1910.9483141225555
2021-04-13,-3141.612046773691
2021-04-14,-1374.182919161433
2021-04-15,-4792.994841679778
2021-04-16,433.69459619200563
2021-04-19,-2796.0046703884977
2021-04-20,-920.8685632474443
2021-04-21,33.99994912822899
2021-04-22,-4802.37687692469
2021-04-23,-2376.273043626902
2021-04-26,-4058.1958549265432
2021-04-27,-873.079240833719
2021-04-28,-6451.173282892393
2021-04-29,-2473.663822486026
2021-04-30,-4004.1331140848733
2021-05-03,-5777.972540437542
2021-05-04,2024.4795799762876
2021-05-05,-3563.671768077281
2021-05-06,736.215902134026
2021-05-07,-1941.7523233007207
2021-05-10,-1497.3825500035546
2021-05-11,-3805.2792291124424
2021-05-12,7068.675140052607
2021-05-13,-3413.7882547486615
2021-05-14,-2194.0319439863124
2021-05-17,-4290.278935303036
2021-05-18,14363.42630393835
2021-05-19,1206.313245321288
2021-05-20,56.315008327960186
2021-05-21,-2036.7279987857048
2021-05-24,532.5169369561036
2021-05-25,-2695.450516651603
2021-05-26,435.82174039513086
2021-05-27,5054.6984206144
2021-05-28,-4563.38433209008
2021-05-31,-3789.984024841681
2021-06-01,3051.609155144286
2021-06-02,12159.530345014093
2021-06-03,-2716.977760117416
2021-06-04,-5379.525323657855
2021-06-07,-2312.1984117945876
2021-06-08,-2005.129806088978
2021-06-09,-3854.7774725666322
2021-06-10,-1869.944062170343
2021-06-11,-4257.259471645804
2021-06-14,11925.795143724696
2021-06-15,2768.178673585088
2021-06-16,-172.2138561746308
2021-06-17,5521.276588716714
2021-06-18,887.4972181642188
2021-06-21,-4032.4917623558435
2021-06-22,-663.9193788963818
2021-06-23,-2730.855880097044
2021-06-24,115.33420345737022
2021-06-25,-1226.6381774429542
2021-06-28,511.31138605160174
2021-06-29,1455.6820146247271
2021-06-30,6914.584140268573
2021-07-01,817.3873788231381
2021-07-02,-1207.9938204043297
2021-07-05,5670.4789271726295
2021-07-06,-1089.4404311522658
2021-07-07,-40.08277646610122
2021-07-08,-1735.1464928538735
2021-07-09,7646.239473412862
2021-07-12,-2542.9798139495083
2021-07-13,-3389.261823590694
2021-07-14,-1227.5497295959742
2021-07-15,1229.940205747855
2021-07-16,5633.667835917895
2021-07-19,-1968.9460153960256
2021-07-20,613.2713690363576
2021-07-21,1654.9195324301804
2021-07-22,-568.6721960444073
2021-07-23,2785.0470474037224
2021-07-26,673.648386493157
2021-07-27,-2837.8053629495857
2021-07-28,-797.83488189145
2021-07-29,13105.86643111394
2021-07-30,1232.8020830164253
2021-08-02,-2811.4712315996244
2021-08-03,-1310.5905143317755
2021-08-04,-2932.544296060977
2021-08-05,5447.719282006156
2021-08-06,-4.143231292933594
2021-08-09,-2054.175894678505
2021-08-10,-1480.1168878443295
2021-08-11,-2128.56825919559
2021-08-12,-1538.602706382506
2021-08-13,-548.4449940888691
2021-08-16,821.4200055428155
2021-08-17,-1758.358174217386
2021-08-18,-3210.743048123582
2021-08-19,-804.9350363029954
2021-08-20,-1172.7381555935558
2021-08-23,-1067.154675659025
2021-08-24,-2069.8289241361144
2021-08-25,-2525.8772769691705
2021-08-26,-678.4361468113516
2021-08-27,428.1123152501789
2021-08-30,-2064.5744818438793
2021-08-31,-168.82151646051477
2021-09-01,4293.425342723144
2021-09-02,-3.7862388641125335
2021-09-03,191.2863952860003
2021-09-06,3252.7543055242804
2021-09-07,2799.061399547616
2021-09-08,-2611.329674621047
2021-09-09,-416.0671029699058
2021-09-10,-3417.0739612085163
2021-09-13,-3029.960323251555
2021-09-14,-710.7269544051951
2021-09-15,145.17899655291387
2021-09-16,-445.91123955495414
2021-09-17,-5505.402252399832
2021-09-20,1438.502735856685
2021-09-21,-893.6260516049831
2021-09-22,-616.1851105642174
2021-09-23,4035.251687886497
2021-09-24,-1089.3586048676739
2021-09-27,-2448.9410850785653
2021-09-28,2846.768207404982
2021-09-29,19.61363140427541
2021-09-30,-1166.880536404404
2021-10-01,-2755.9960045284297
2021-10-04,1354.5723191271477
2021-10-05,2349.205160510138
2021-10-06,-3486.648276131434
2021-10-07,-3705.563681634728
2021-10-08,-1227.4148203141342
2021-10-11,-1363.394504758944
2021-10-12,543.767279422161
2021-10-13,3932.6826619948542
2021-10-14,1354.0532314394254
2021-10-15,873.4893988176271
2021-10-18,1426.832698500786
