quarter,pnl,pct_of_total
2020Q2,139518.0737000001,0.12832460937261964
2021Q3,124307.30780000016,0.11433419551001874
2024Q3,107062.51700000066,0.09847294553404176
2023Q3,103583.86499999977,0.09527338402057603
2023Q4,93929.84389999982,0.08639390013953875
2021Q2,87642.1108999998,0.08061062877070296
2020Q1,72859.56739999997,0.06701408124202794
2022Q4,67420.39289999972,0.06201128895489471
2024Q4,43526.255100000126,0.04003416571798974
2021Q4,42094.46709999976,0.038717249343416464
2023Q1,39125.17350000013,0.035986180663727746
2022Q2,35056.65060000009,0.03224407329354792
2022Q3,33942.67339999972,0.031219469919597728
2024Q1,30281.380199999865,0.027851920417023064
2023Q2,27072.0326000002,0.024900057148064304
2024Q2,17430.97699999967,0.01603249855153407
2022Q1,13500.443300000163,0.012417309577789273
2021Q1,6660.906900000076,0.006126505716011015
2020Q3,1211.0509000000188,0.0011138889002082154
2020Q4,1002.0403999998586,0.0009216472066698645
