quarter,pnl,pct_of_total
2024Q3,208403.49300000025,0.09566521197275316
2023Q4,182437.97949999967,0.08374604345402331
2024Q1,166025.00610000032,0.07621185793337037
2023Q2,164497.80629999956,0.07551081453679055
2022Q2,144071.33309999944,0.06613427837415642
2024Q4,136695.2607000009,0.06274837768931409
2020Q2,129821.52750000171,0.059593070001539045
2021Q2,119902.6825999971,0.05503993902362496
2021Q3,118772.20559999836,0.0545210066378074
2023Q3,113417.83630000024,0.05206314536738848
2020Q1,99893.52869999582,0.04585496845674938
2023Q1,98042.2317000002,0.0450051519907216
2024Q2,84725.75430000105,0.03889237712853975
2020Q3,76668.1652000069,0.03519363408856448
2021Q1,75920.16220000577,0.03485027196674359
2022Q4,73606.49509999984,0.03378820985650607
2021Q4,67277.80530000328,0.030883098034668842
2022Q1,63581.27970000015,0.029186250731408875
2022Q3,40383.164499999446,0.018537424380036676
2020Q4,14323.132800003947,0.006574868375292872
