quarter,pnl,pct_of_total
2020Q2,178199.2615000011,0.20254869225980954
2020Q1,127978.48740000205,0.1454656716422967
2022Q2,87722.94920000117,0.09970955262142785
2024Q4,81224.30660000117,0.09232292515162838
2020Q3,63777.72140000098,0.07249241077736221
2021Q3,45468.56010000079,0.05168145653169083
2023Q2,39491.83530000044,0.04488806254090353
2021Q2,37955.2770000007,0.04314154646880465
2021Q1,35755.032800000685,0.040640657398833775
2023Q3,29760.322800000216,0.0338268206816884
2022Q1,29254.00290000116,0.03325131642456259
2022Q4,27939.843700000594,0.03175758841951522
2021Q4,26864.981700000502,0.03053585556480425
2023Q4,21653.694200000104,0.02461248944515865
2023Q1,20391.865200000684,0.02317824212194298
2024Q1,14708.917400000155,0.016718767288087615
2024Q2,8617.92340000052,0.009795490171912447
2024Q3,8491.73680000075,0.009652061234017186
2022Q3,-1887.4949999993014,-0.002145405321428817
2020Q4,-3584.420499999105,-0.004074201423018057
