quarter,pnl,pct_of_total
2021Q1,35811.97703790435,1.0
2020Q4,13256.488724271801,0.37016913950996844
2023Q4,9165.16844822916,0.25592467119389983
2021Q3,-3308.7249561281546,-0.09239157482498417
2022Q2,-3498.581263715817,-0.09769305000985636
2024Q1,-8295.389867709926,-0.23163730555645853
2021Q4,-11539.084650594446,-0.32221300260472
2022Q3,-11965.898348216868,-0.33413118565199135
2020Q1,-13310.176092756317,-0.37166828512898
2024Q4,-14223.18469937397,-0.3971627895416043
2023Q2,-17938.943238686512,-0.5009202150358651
2023Q3,-19486.924047171513,-0.5441454412457049
2022Q1,-25449.3940606664,-0.7106391817946852
2024Q3,-26452.27730306212,-0.7386433112884085
2024Q2,-28019.576716195512,-0.7824079828527436
2023Q1,-30100.811370298798,-0.8405235862415331
2021Q2,-34353.30074554251,-0.9592684790672703
2022Q4,-40647.01748497833,-1.135011826963824
2020Q3,-43788.02807601777,-1.222720209768686
2020Q2,-59322.700100893264,-1.6565044716214505
