param,delta_pct,value,sharpe,n_trades,pnl
orb_minutes,-0.2,4.0,4.621339487832621,4113,874850.0884999996
orb_minutes,-0.1,4.0,4.621339487832621,4113,874850.0884999996
orb_minutes,0.0,5.0,4.621339487832621,4113,874850.0884999996
orb_minutes,0.1,6.0,5.092893194657504,3743,896120.8059999992
orb_minutes,0.2,6.0,5.092893194657504,3743,896120.8059999992
orb_vol_mult,-0.2,1.6,5.037486461907613,5448,1040078.1941999998
orb_vol_mult,-0.1,1.8,4.841297705524695,4494,963438.4313999994
orb_vol_mult,0.0,2.0,4.621339487832621,4113,874850.0884999996
orb_vol_mult,0.1,2.2,4.644250388722403,3591,786781.6292000001
orb_vol_mult,0.2,2.4,5.004444129949309,3036,765394.4820999997
orb_min_breakout_pct,-0.2,0.00016,4.64351209103076,4131,883328.3510999997
orb_min_breakout_pct,-0.1,0.00018,4.623039593298733,4122,877329.5142999997
orb_min_breakout_pct,0.0,0.0002,4.621339487832621,4113,874850.0884999996
orb_min_breakout_pct,0.1,0.00022000000000000003,4.56667606158746,4106,863350.3840999997
orb_min_breakout_pct,0.2,0.00024,4.586350527965072,4099,867349.9095999994
orb_proximity_pct,-0.2,0.0008,4.621339487832621,4113,874850.0884999996
orb_proximity_pct,-0.1,0.0009000000000000001,4.621339487832621,4113,874850.0884999996
orb_proximity_pct,0.0,0.001,4.621339487832621,4113,874850.0884999996
orb_proximity_pct,0.1,0.0011,4.621339487832621,4113,874850.0884999996
orb_proximity_pct,0.2,0.0012,4.621339487832621,4113,874850.0884999996
orb_r_multiple,-0.2,1.6,3.472606732983167,4113,584238.3992000001
orb_r_multiple,-0.1,1.8,4.105532805780047,4113,732789.4904399998
orb_r_multiple,0.0,2.0,4.621339487832621,4113,874850.0884999996
orb_r_multiple,0.1,2.2,5.127096163741511,4113,1017376.3339999991
orb_r_multiple,0.2,2.4,5.560896031676571,4113,1156677.421679999
