param,delta_pct,value,sharpe,n_trades,pnl
brk_proximity_pct,-0.2,0.0004,10.164140387718916,3556,1948751.7940000163
brk_proximity_pct,-0.1,0.00045000000000000004,10.164140387718916,3556,1948751.7940000163
brk_proximity_pct,0.0,0.0005,10.164140387718916,3556,1948751.7940000163
brk_proximity_pct,0.1,0.00055,10.164140387718916,3556,1948751.7940000163
brk_proximity_pct,0.2,0.0006,10.164140387718916,3556,1948751.7940000163
brk_vol_mult,-0.2,1.6,11.207725935530718,4887,2522267.9256000128
brk_vol_mult,-0.1,1.8,10.62905982313661,3866,2149402.8003000133
brk_vol_mult,0.0,2.0,10.164140387718916,3556,1948751.7940000163
brk_vol_mult,0.1,2.2,10.129444095367361,3130,1777191.0202000185
brk_vol_mult,0.2,2.4,9.622832722735486,2665,1520898.343300015
brk_min_breakout_pct,-0.2,0.00016,10.169602897946262,3560,1947752.1453000163
brk_min_breakout_pct,-0.1,0.00018,10.174630397863925,3558,1949751.7957000162
brk_min_breakout_pct,0.0,0.0002,10.164140387718916,3556,1948751.7940000163
brk_min_breakout_pct,0.1,0.00022000000000000003,10.168707002154699,3554,1947752.4201000165
brk_min_breakout_pct,0.2,0.00024,10.175445897545181,3553,1948752.3865000166
brk_stop_pad,-0.2,0.016,9.910927869330317,3556,1898690.0164999748
brk_stop_pad,-0.1,0.018000000000000002,9.951807902991048,3556,1903419.8573000303
brk_stop_pad,0.0,0.02,10.164140387718916,3556,1948751.7940000163
brk_stop_pad,0.1,0.022000000000000002,10.212592968349142,3556,1958657.4787000036
brk_stop_pad,0.2,0.024,10.167619594029203,3556,1964437.3187999981
brk_r_multiple,-0.2,1.6,9.368202413598189,3556,1540417.74420002
brk_r_multiple,-0.1,1.8,9.62673500843825,3556,1725904.5101200165
brk_r_multiple,0.0,2.0,10.164140387718916,3556,1948751.7940000163
brk_r_multiple,0.1,2.2,10.179193429819316,3556,2089987.1911200178
brk_r_multiple,0.2,2.4,10.329702075713701,3556,2252188.814840013
