param,delta_pct,value,sharpe,n_trades,pnl
rn_increment,-0.2,4.0,2.7241880823298668,1032,677780.1865000131
rn_increment,-0.1,4.5,3.1796174686293,910,715024.5244000123
rn_increment,0.0,5.0,2.8102578673975356,861,573607.0550000122
rn_increment,0.1,5.5,2.370063369016725,765,467341.6624000105
rn_increment,0.2,6.0,3.2515276728702056,724,698997.8768000103
rn_proximity_dollar,-0.2,0.2,2.6752807318102354,753,492254.9621000115
rn_proximity_dollar,-0.1,0.225,2.67445760185148,816,522122.8229000118
rn_proximity_dollar,0.0,0.25,2.8102578673975356,861,573607.0550000122
rn_proximity_dollar,0.1,0.275,2.8340796578443705,902,589654.6972000124
rn_proximity_dollar,0.2,0.3,2.8817166094778615,939,621269.2694000124
rn_stop_pad,-0.2,0.08000000000000002,2.7851925641643462,861,611182.0666000025
rn_stop_pad,-0.1,0.09000000000000001,2.8001577372801827,861,591773.0148999908
rn_stop_pad,0.0,0.1,2.8102578673975356,861,573607.0550000122
rn_stop_pad,0.1,0.11000000000000001,2.752070316679658,861,543586.5694999992
rn_stop_pad,0.2,0.12,2.661469624602626,861,506752.2943999922
rn_r_multiple,-0.2,1.6,2.8102578673975356,861,573607.0550000122
rn_r_multiple,-0.1,1.8,2.8102578673975356,861,573607.0550000122
rn_r_multiple,0.0,2.0,2.8102578673975356,861,573607.0550000122
rn_r_multiple,0.1,2.2,2.8102578673975356,861,573607.0550000122
rn_r_multiple,0.2,2.4,2.8102578673975356,861,573607.0550000122
