strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Pullback,TSLA,2020-01-06,long,2020-01-06T10:35:00,2020-01-06T10:40:00,443.24,442.7675529957215,442.7675529957215,444.1848940085571,237,1000.0,-111.96994001401293,-0.11196994001401293,stop,gap_day,2020-01-03
AVWAP-Pullback,AMD,2020-01-06,short,2020-01-06T13:04:00,2020-01-06T15:55:00,48.22,48.375,48.45149385686505,47.7570122862699,640,1000.0,-99.20000000000073,-0.09920000000000073,session_close,gap_day,2020-01-03
AVWAP-Pullback,MU,2020-01-06,long,2020-01-06T10:01:00,2020-01-06T11:16:00,53.93,53.735545462276306,53.735545462276306,54.31890907544739,172,1000.0,-33.44618048847528,-0.03344618048847528,stop,gap_day,2020-01-03
AVWAP-Pullback,SNAP,2020-01-06,long,2020-01-06T09:57:00,2020-01-06T15:55:00,16.61,16.765,16.424342805001096,16.981314389997806,262,1000.0,40.6100000000003,0.0406100000000003,session_close,gap_day,2020-01-03
AVWAP-Pullback,DAL,2020-01-06,long,2020-01-06T10:21:00,2020-01-06T15:55:00,57.505,57.62,57.3296713459679,57.8556573080642,95,1000.0,10.924999999999514,0.010924999999999513,session_close,gap_day,2020-01-03
AVWAP-Pullback,AAL,2020-01-06,short,2020-01-06T12:26:00,2020-01-06T15:55:00,27.41,27.315,27.6031763530705,27.023647293859003,175,1000.0,16.6249999999998,0.0166249999999998,session_close,gap_day,2020-01-03
AVWAP-Pullback,AMD,2020-01-07,long,2020-01-07T10:31:00,2020-01-07T10:32:00,48.635,48.415388845635384,48.415388845635384,49.074222308729226,1407,1000.0,-308.9928941910119,-0.3089928941910119,stop,gap_day,2020-01-03
AVWAP-Pullback,DAL,2020-01-07,short,2020-01-07T10:11:00,2020-01-07T10:28:00,57.65,57.852538794502024,57.852538794502024,57.24492241099595,105,1000.0,-21.26657342271269,-0.021266573422712688,stop,gap_day,2020-01-06
AVWAP-Pullback,AAL,2020-01-07,short,2020-01-07T09:40:00,2020-01-07T11:43:00,27.57,27.3375,27.73055117309983,27.24889765380034,941,1000.0,218.78250000000162,0.21878250000000163,trail_stop,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-08,long,2020-01-08T09:44:00,2020-01-08T09:46:00,469.78,469.99499999999995,468.6392721958877,472.0614556082245,876,1000.0,188.3399999999781,0.18833999999997808,trail_stop,gap_day,2020-01-07
AVWAP-Pullback,AMD,2020-01-08,short,2020-01-08T13:31:00,2020-01-08T14:05:00,47.805,48.00851913557304,48.00851913557304,47.39796172885392,211,1000.0,-42.942537605911234,-0.042942537605911234,stop,gap_day,2020-01-03
AVWAP-Pullback,MU,2020-01-08,short,2020-01-08T10:39:00,2020-01-08T11:38:00,57.42,57.682034006357895,57.682034006357895,56.895931987284214,424,1000.0,-111.1024186957469,-0.1111024186957469,stop,gap_day,2020-01-07
AVWAP-Pullback,SNAP,2020-01-08,long,2020-01-08T09:45:00,2020-01-08T10:48:00,16.92,16.72674798446373,16.72674798446373,17.306504031072542,163,1000.0,-31.50007853241205,-0.03150007853241205,stop,gap_day,2020-01-03
AVWAP-Pullback,DAL,2020-01-08,long,2020-01-08T11:01:00,2020-01-08T11:40:00,58.51,58.94518141879393,58.29240929060303,58.94518141879393,72,1000.0,31.33306215316304,0.03133306215316304,target,gap_day,2020-01-06
AVWAP-Pullback,AAL,2020-01-08,short,2020-01-08T09:45:00,2020-01-08T09:59:00,27.45,27.62984166085426,27.62984166085426,27.090316678291476,398,1000.0,-71.57698101999614,-0.07157698101999614,stop,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-09,long,2020-01-09T10:45:00,2020-01-09T10:46:00,489.05,488.0227058053674,488.0227058053674,491.1045883892652,484,1000.0,-497.2103902021729,-0.4972103902021729,stop,gap_day,2020-01-07
AVWAP-Pullback,AMD,2020-01-09,short,2020-01-09T13:58:00,2020-01-09T15:55:00,48.95,48.97,49.20690037476909,48.436199250461826,3104,1000.0,-62.07999999998765,-0.06207999999998765,session_close,gap_day,2020-01-03
AVWAP-Pullback,MU,2020-01-09,long,2020-01-09T09:37:00,2020-01-09T10:00:00,57.59,57.30526881432763,57.30526881432763,58.159462371344745,2406,1000.0,-685.0632327277237,-0.6850632327277237,stop,gap_day,2020-01-07
AVWAP-Pullback,SNAP,2020-01-09,short,2020-01-09T13:14:00,2020-01-09T15:40:00,17.51,17.235,17.689815547798894,17.150368904402217,1217,1000.0,334.67500000000257,0.33467500000000255,trail_stop,gap_day,2020-01-03
AVWAP-Pullback,DAL,2020-01-09,short,2020-01-09T14:42:00,2020-01-09T15:55:00,58.9,58.945,59.04659860649328,58.60680278701343,114,1000.0,-5.130000000000194,-0.005130000000000194,session_close,gap_day,2020-01-06
AVWAP-Pullback,AAL,2020-01-09,long,2020-01-09T13:00:00,2020-01-09T15:55:00,27.81,27.92,27.62409147613795,28.1818170477241,127,1000.0,13.970000000000379,0.01397000000000038,session_close,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-10,long,2020-01-10T11:15:00,2020-01-10T11:18:00,480.26,480.35,479.9598736264263,480.86025274714734,273,1000.0,24.57000000000869,0.02457000000000869,trail_stop,gap_day,2020-01-07
AVWAP-Pullback,AMD,2020-01-10,short,2020-01-10T10:34:00,2020-01-10T11:33:00,48.785,48.480000000000004,49.015229440508854,48.32454111898228,822,1000.0,250.70999999999393,0.25070999999999394,trail_stop,gap_day,2020-01-09
AVWAP-Pullback,MU,2020-01-10,short,2020-01-10T13:31:00,2020-01-10T15:44:00,56.97,56.56750000000001,57.24674624340047,56.41650751319905,324,1000.0,130.4099999999965,0.1304099999999965,trail_stop,gap_day,2020-01-07
AVWAP-Pullback,SNAP,2020-01-10,short,2020-01-10T13:28:00,2020-01-10T15:55:00,17.445,17.4,17.63937559923109,17.05624880153782,339,1000.0,15.255000000000578,0.015255000000000579,session_close,gap_day,2020-01-09
AVWAP-Pullback,AAL,2020-01-10,short,2020-01-10T10:28:00,2020-01-10T15:55:00,27.505,27.335,27.704099168478557,27.106801663042884,163,1000.0,27.7099999999997,0.0277099999999997,session_close,gap_day,2020-01-03
AVWAP-Pullback,AMD,2020-01-13,short,2020-01-13T10:00:00,2020-01-13T15:55:00,48.665,48.755,48.938118002958134,48.11876399408373,1094,1000.0,-98.46000000000373,-0.09846000000000373,session_close,gap_day,2020-01-09
AVWAP-Pullback,MU,2020-01-13,long,2020-01-13T09:52:00,2020-01-13T11:28:00,57.48,57.18636432014901,57.18636432014901,58.06727135970197,511,1000.0,-150.047832403854,-0.150047832403854,stop,gap_day,2020-01-07
AVWAP-Pullback,SNAP,2020-01-13,long,2020-01-13T09:45:00,2020-01-13T11:14:00,17.385,17.65,17.20434048037887,17.746319039242263,69,1000.0,18.284999999999794,0.018284999999999794,trail_stop,gap_day,2020-01-09
AVWAP-Pullback,DAL,2020-01-13,long,2020-01-13T11:37:00,2020-01-13T13:34:00,59.355,59.128500446311726,59.128500446311726,59.80799910737654,156,1000.0,-35.333930375370244,-0.03533393037537024,stop,gap_day,2020-01-06
AVWAP-Pullback,AAL,2020-01-13,short,2020-01-13T10:32:00,2020-01-13T15:55:00,27.46,27.45,27.64567916804366,27.088641663912682,305,1000.0,3.0500000000004768,0.003050000000000477,session_close,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-14,short,2020-01-14T10:02:00,2020-01-14T10:04:00,530.35,532.6097644129762,532.6097644129762,525.8304711740476,442,1000.0,-998.8158705354849,-0.9988158705354849,stop,gap_day,2020-01-13
AVWAP-Pullback,AMD,2020-01-14,short,2020-01-14T12:19:00,2020-01-14T13:49:00,48.56,48.1875,48.81420682793323,48.05158634413354,410,1000.0,152.72500000000093,0.15272500000000094,trail_stop,gap_day,2020-01-09
AVWAP-Pullback,MU,2020-01-14,long,2020-01-14T09:53:00,2020-01-14T09:56:00,57.67,57.37010848758925,57.37010848758925,58.26978302482151,1452,1000.0,-435.4424760204128,-0.4354424760204128,stop,gap_day,2020-01-07
AVWAP-Pullback,SNAP,2020-01-14,long,2020-01-14T13:38:00,2020-01-14T15:55:00,17.96,17.985,17.75667924229489,18.366641515410222,446,1000.0,11.149999999999366,0.011149999999999367,session_close,gap_day,2020-01-09
AVWAP-Pullback,DAL,2020-01-14,long,2020-01-14T14:07:00,2020-01-14T14:13:00,61.53,61.33859653664731,61.33859653664731,61.912806926705386,122,1000.0,-23.351222529028476,-0.023351222529028475,stop,gap_day,2020-01-06
AVWAP-Pullback,AAL,2020-01-14,short,2020-01-14T13:25:00,2020-01-14T14:10:00,27.72,27.445,27.911871099813197,27.336257800373602,62,1000.0,17.049999999999912,0.017049999999999912,trail_stop,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-15,long,2020-01-15T10:42:00,2020-01-15T10:44:00,535.06,533.8779673089922,533.8779673089922,537.4240653820154,476,1000.0,-562.6475609196882,-0.5626475609196881,stop,gap_day,2020-01-14
AVWAP-Pullback,AMD,2020-01-15,short,2020-01-15T10:10:00,2020-01-15T10:30:00,48.69,48.83022916408748,48.83022916408748,48.40954167182504,1885,1000.0,-264.3319743048985,-0.2643319743048985,stop,gap_day,2020-01-09
AVWAP-Pullback,SNAP,2020-01-15,long,2020-01-15T12:34:00,2020-01-15T15:39:00,18.305,18.11067193752524,18.11067193752524,18.69365612494952,127,1000.0,-24.67966393429453,-0.02467966393429453,stop,gap_day,2020-01-09
AVWAP-Pullback,WFC,2020-01-15,short,2020-01-15T10:22:00,2020-01-15T11:16:00,48.475,48.166193792496465,48.62940310375177,48.166193792496465,1162,1000.0,358.8328131191097,0.3588328131191097,target,gap_day,2020-01-14
AVWAP-Pullback,DAL,2020-01-15,long,2020-01-15T09:39:00,2020-01-15T09:42:00,61.38,61.5811251269377,61.279437436531154,61.5811251269377,126,1000.0,25.341765994149824,0.025341765994149824,target,gap_day,2020-01-14
AVWAP-Pullback,AAL,2020-01-15,short,2020-01-15T14:38:00,2020-01-15T15:55:00,27.65,27.545,27.801640114523874,27.346719770952248,157,1000.0,16.48499999999951,0.01648499999999951,session_close,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-16,long,2020-01-16T15:22:00,2020-01-16T15:27:00,508.7,508.07066022977193,508.07066022977193,509.9586795404561,261,1000.0,-164.25768002952293,-0.16425768002952293,stop,gap_day,2020-01-14
AVWAP-Pullback,AMD,2020-01-16,long,2020-01-16T10:57:00,2020-01-16T11:08:00,49.41,49.7275,49.18331474576183,49.863370508476336,2821,1000.0,895.6675000000072,0.8956675000000072,trail_stop,gap_day,2020-01-09
AVWAP-Pullback,MU,2020-01-16,long,2020-01-16T10:01:00,2020-01-16T15:55:00,57.43,57.645,57.127803171248026,58.03439365750395,538,1000.0,115.67000000000183,0.11567000000000184,session_close,gap_day,2020-01-07
AVWAP-Pullback,WFC,2020-01-16,short,2020-01-16T09:52:00,2020-01-16T10:40:00,48.55,48.78111256583113,48.78111256583113,48.08777486833773,1038,1000.0,-239.89484333271565,-0.23989484333271566,stop,gap_day,2020-01-14
AVWAP-Pullback,DAL,2020-01-16,long,2020-01-16T10:04:00,2020-01-16T11:51:00,61.91,61.77029809904531,61.77029809904531,62.189403801909364,65,1000.0,-9.080623562054448,-0.009080623562054448,stop,gap_day,2020-01-14
AVWAP-Pullback,TSLA,2020-01-17,short,2020-01-17T12:13:00,2020-01-17T12:14:00,508.11,507.35386203164774,508.48806898417615,507.35386203164774,273,1000.0,206.4256653601717,0.2064256653601717,target,gap_day,2020-01-16
AVWAP-Pullback,MU,2020-01-17,long,2020-01-17T09:44:00,2020-01-17T10:55:00,57.54,57.255963421038835,57.255963421038835,58.10807315792233,961,1000.0,-272.95915238167845,-0.27295915238167845,stop,gap_day,2020-01-07
AVWAP-Pullback,WFC,2020-01-17,short,2020-01-17T12:34:00,2020-01-17T15:14:00,48.82,49.02408951329065,49.02408951329065,48.411820973418706,346,1000.0,-70.61497159856388,-0.07061497159856388,stop,gap_day,2020-01-14
AVWAP-Pullback,DAL,2020-01-17,long,2020-01-17T11:27:00,2020-01-17T15:55:00,62.11,62.0,61.86924121752126,62.591517564957485,102,1000.0,-11.219999999999942,-0.011219999999999942,session_close,gap_day,2020-01-14
AVWAP-Pullback,SNAP,2020-01-21,short,2020-01-21T10:14:00,2020-01-21T11:15:00,18.945,19.096175672175388,19.096175672175388,18.642648655649225,653,1000.0,-98.71771393052812,-0.09871771393052813,stop,gap_day,2020-01-17
AVWAP-Pullback,WFC,2020-01-21,short,2020-01-21T14:53:00,2020-01-21T15:51:00,49.435,49.14767148394361,49.5786642580282,49.14767148394361,427,1000.0,122.68927635607895,0.12268927635607894,target,gap_day,2020-01-14
AVWAP-Pullback,DAL,2020-01-21,short,2020-01-21T15:02:00,2020-01-21T15:16:00,59.81,60.10217642403237,60.10217642403237,59.22564715193526,814,1000.0,-237.8316091623489,-0.2378316091623489,stop,gap_day,2020-01-14
AVWAP-Pullback,AAL,2020-01-21,long,2020-01-21T10:04:00,2020-01-21T13:19:00,27.77,27.589651697157244,27.589651697157244,28.13069660568551,263,1000.0,-47.43160364764475,-0.047431603647644746,stop,gap_day,2020-01-03
AVWAP-Pullback,TSLA,2020-01-22,long,2020-01-22T14:15:00,2020-01-22T14:21:00,578.61,577.330936556263,577.330936556263,581.1681268874739,576,1000.0,-736.7405435924884,-0.7367405435924884,stop,gap_day,2020-01-21
AVWAP-Pullback,SNAP,2020-01-22,short,2020-01-22T10:09:00,2020-01-22T10:34:00,19.18,19.368265055192264,19.368265055192264,18.80346988961547,982,1000.0,-184.8762841988037,-0.1848762841988037,stop,gap_day,2020-01-17
AVWAP-Pullback,WFC,2020-01-22,long,2020-01-22T09:36:00,2020-01-22T09:42:00,49.01,48.8295014424428,48.8295014424428,49.3709971151144,686,1000.0,-123.82201048423951,-0.12382201048423952,stop,gap_day,2020-01-14
