strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Breakout,AAPL,2024-01-08,long,2024-01-08T12:00:00,2024-01-08T12:03:00,183.84,184.09000000000006,183.71499999999997,184.09000000000006,3344,1000.0,836.0000000001901,0.83600000000019,target,gap_day,2024-01-02
AVWAP-Breakout,AAPL,2024-01-09,long,2024-01-09T11:17:00,2024-01-09T11:54:00,184.075,184.615,183.80499999999998,184.615,1750,1000.0,945.0000000000358,0.9450000000000358,target,gap_day,2024-01-02
AVWAP-Breakout,AAPL,2024-01-11,long,2024-01-11T10:32:00,2024-01-11T10:33:00,184.61,184.39,184.39,185.05000000000007,1777,1000.0,-390.9400000000485,-0.39094000000004847,stop,gap_day,2024-01-02
AVWAP-Breakout,META,2024-02-01,long,2024-02-01T12:10:00,2024-02-01T12:20:00,396.87,395.87,395.87,398.87,629,1000.0,-629.0,-0.629,stop,gap_day,2024-01-31
AVWAP-Breakout,NVDA,2024-02-06,long,2024-02-06T13:33:00,2024-02-06T13:39:00,670.77,673.2099999999998,669.5500000000001,673.2099999999998,794,1000.0,1937.3599999998628,1.9373599999998627,target,gap_day,2024-01-31
AVWAP-Breakout,META,2024-02-12,long,2024-02-12T14:07:00,2024-02-12T14:14:00,468.48,469.7,467.5,470.44000000000005,677,1000.0,825.93999999998,0.82593999999998,trail_stop,earnings,2024-02-02
AVWAP-Breakout,NVDA,2024-02-14,long,2024-02-14T11:03:00,2024-02-14T11:06:00,729.0,727.1800000000001,727.1800000000001,732.6399999999999,549,1000.0,-999.179999999965,-0.9991799999999651,stop,gap_day,2024-02-13
AVWAP-Breakout,NVDA,2024-02-15,long,2024-02-15T15:26:00,2024-02-15T15:47:00,727.96,726.9100000000001,726.9100000000001,730.06,771,1000.0,-809.5499999999649,-0.8095499999999649,stop,gap_day,2024-02-13
AVWAP-Breakout,META,2024-02-16,long,2024-02-16T10:37:00,2024-02-16T11:02:00,472.81,474.025,471.57,475.29,806,1000.0,979.2899999999798,0.9792899999999798,trail_stop,gap_day,2024-02-13
AVWAP-Breakout,META,2024-02-21,long,2024-02-21T11:02:00,2024-02-21T11:05:00,467.47,466.87,466.87,468.6700000000001,470,1000.0,-282.0000000000107,-0.2820000000000107,stop,earnings,2024-02-02
AVWAP-Breakout,NVDA,2024-02-26,long,2024-02-26T10:20:00,2024-02-26T10:30:00,799.29,796.4200000000001,796.4200000000001,805.0299999999997,348,1000.0,-998.759999999962,-0.998759999999962,stop,gap_day,2024-02-23
AVWAP-Breakout,NVDA,2024-02-27,long,2024-02-27T12:29:00,2024-02-27T12:34:00,791.63,790.8900000000001,790.8900000000001,793.1099999999998,783,1000.0,-579.4199999999181,-0.5794199999999181,stop,gap_day,2024-02-23
