strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Pullback,AAPL,2024-01-03,short,2024-01-03T14:31:00,2024-01-03T15:51:00,184.76,184.185,185.25946767668,183.76106464663997,943,1000.0,542.2249999999892,0.5422249999999892,trail_stop,gap_day,2024-01-02
AVWAP-Pullback,AAPL,2024-01-08,short,2024-01-08T10:54:00,2024-01-08T12:00:00,183.66,183.95342106778043,183.95342106778043,183.07315786443914,922,1000.0,-270.5342244935553,-0.2705342244935553,stop,gap_day,2024-01-02
AVWAP-Pullback,AAPL,2024-01-09,short,2024-01-09T10:16:00,2024-01-09T10:28:00,183.935,183.46272075485138,184.17113962257432,183.46272075485138,1536,1000.0,725.4209205482912,0.7254209205482912,target,gap_day,2024-01-02
AVWAP-Pullback,AAPL,2024-01-10,long,2024-01-10T09:49:00,2024-01-10T09:51:00,184.54,184.0742788955061,184.0742788955061,185.47144220898778,829,1000.0,-386.08279562543873,-0.38608279562543873,stop,gap_day,2024-01-02
AVWAP-Pullback,AAPL,2024-01-11,long,2024-01-11T09:51:00,2024-01-11T10:01:00,184.73,184.38152348339722,184.38152348339722,185.42695303320554,1416,1000.0,-493.44274750952627,-0.49344274750952627,stop,gap_day,2024-01-02
AVWAP-Pullback,AAPL,2024-01-16,short,2024-01-16T10:53:00,2024-01-16T11:02:00,183.8,184.1822431621532,184.1822431621532,183.0355136756936,1672,1000.0,-639.1105671201535,-0.6391105671201536,stop,gap_day,2024-01-02
AVWAP-Pullback,TSLA,2024-01-16,long,2024-01-16T12:04:00,2024-01-16T12:08:00,219.48,218.65088462718714,218.65088462718714,221.1382307456257,1206,1000.0,-999.9131396122979,-0.9999131396122979,stop,gap_day,2024-01-12
AVWAP-Pullback,TSLA,2024-01-17,short,2024-01-17T14:52:00,2024-01-17T14:56:00,214.4,214.76717459870875,214.76717459870875,213.66565080258252,741,1000.0,-272.07637764317883,-0.2720763776431788,stop,gap_day,2024-01-12
AVWAP-Pullback,TSLA,2024-01-18,short,2024-01-18T09:48:00,2024-01-18T09:50:00,214.88,215.54046208673907,215.54046208673907,213.55907582652185,1514,1000.0,-999.9395993229574,-0.9999395993229574,stop,gap_day,2024-01-17
AVWAP-Pullback,NVDA,2024-01-19,long,2024-01-19T10:06:00,2024-01-19T10:07:00,577.19,575.7980876768561,575.7980876768561,579.973824646288,718,1000.0,-999.3930480173703,-0.9993930480173704,stop,gap_day,2024-01-18
AVWAP-Pullback,TSLA,2024-01-19,long,2024-01-19T09:46:00,2024-01-19T09:49:00,212.78,212.2957563102343,212.2957563102343,213.74848737953138,2065,1000.0,-999.9632193661519,-0.9999632193661518,stop,gap_day,2024-01-17
AVWAP-Pullback,NVDA,2024-01-22,long,2024-01-22T10:48:00,2024-01-22T10:51:00,591.56,593.2522150018317,590.7138924990841,593.2522150018317,1181,1000.0,1998.505917163303,1.9985059171633028,target,gap_day,2024-01-18
AVWAP-Pullback,TSLA,2024-01-22,long,2024-01-22T09:40:00,2024-01-22T09:43:00,212.83,212.3622084147069,212.3622084147069,213.7655831705862,2137,1000.0,-999.6706177713534,-0.9996706177713534,stop,gap_day,2024-01-17
AVWAP-Pullback,TSLA,2024-01-24,short,2024-01-24T11:56:00,2024-01-24T12:08:00,211.17,211.56635118165207,211.56635118165207,210.37729763669583,653,1000.0,-258.8173216188078,-0.25881732161880777,stop,gap_day,2024-01-17
AVWAP-Pullback,TSLA,2024-01-30,long,2024-01-30T12:34:00,2024-01-30T12:45:00,191.42,190.85216007332517,190.85216007332517,192.55567985334963,846,1000.0,-480.392577966899,-0.480392577966899,stop,gap_day,2024-01-25
AVWAP-Pullback,TSLA,2024-01-31,short,2024-01-31T10:43:00,2024-01-31T10:45:00,189.76,190.27022691633658,190.27022691633658,188.7395461673268,1959,1000.0,-999.5345291033833,-0.9995345291033833,stop,gap_day,2024-01-30
AVWAP-Pullback,NVDA,2024-02-01,long,2024-02-01T09:55:00,2024-02-01T09:57:00,619.43,618.0912115149932,618.0912115149932,622.1075769700134,746,1000.0,-998.7362098150106,-0.9987362098150107,stop,gap_day,2024-01-31
AVWAP-Pullback,META,2024-02-01,long,2024-02-01T11:01:00,2024-02-01T11:25:00,397.26,396.1373642035903,396.1373642035903,399.5052715928193,690,1000.0,-774.6186995226708,-0.7746186995226708,stop,gap_day,2024-01-31
AVWAP-Pullback,TSLA,2024-02-01,short,2024-02-01T10:16:00,2024-02-01T10:40:00,187.42,186.44,188.1650245696427,185.92995086071457,1342,1000.0,1315.1599999999862,1.3151599999999861,trail_stop,gap_day,2024-01-31
AVWAP-Pullback,META,2024-02-05,short,2024-02-05T09:48:00,2024-02-05T09:50:00,463.86,461.64959436383515,464.96520281808245,461.64959436383515,904,1000.0,1998.2066950930375,1.9982066950930375,target,gap_day,2024-02-02
AVWAP-Pullback,TSLA,2024-02-05,short,2024-02-05T12:31:00,2024-02-05T12:32:00,180.35,180.8484617574279,180.8484617574279,179.35307648514416,1702,1000.0,-848.3819111423172,-0.8483819111423172,stop,gap_day,2024-01-31
AVWAP-Pullback,NVDA,2024-02-06,short,2024-02-06T09:40:00,2024-02-06T09:41:00,687.88,688.568130587114,688.568130587114,686.5037388257721,1453,1000.0,-999.8537430765842,-0.9998537430765843,stop,gap_day,2024-02-05
AVWAP-Pullback,META,2024-02-06,long,2024-02-06T09:41:00,2024-02-06T09:42:00,464.32,463.90458326916337,463.90458326916337,465.15083346167324,1036,1000.0,-430.37173314674396,-0.430371733146744,stop,gap_day,2024-02-02
AVWAP-Pullback,TSLA,2024-02-06,long,2024-02-06T09:49:00,2024-02-06T09:50:00,183.93,184.3710091019364,183.7094954490318,184.3710091019364,4535,1000.0,1999.976277281582,1.9999762772815821,target,gap_day,2024-01-31
AVWAP-Pullback,META,2024-02-07,short,2024-02-07T09:41:00,2024-02-07T09:42:00,462.13,463.1778549864748,463.1778549864748,460.03429002705036,896,1000.0,-938.8780678814364,-0.9388780678814365,stop,gap_day,2024-02-02
AVWAP-Pullback,TSLA,2024-02-07,short,2024-02-07T10:02:00,2024-02-07T10:06:00,184.72,183.00275898106312,185.57862050946844,183.00275898106312,1164,1000.0,1998.8685460425222,1.9988685460425222,target,gap_day,2024-02-06
AVWAP-Pullback,NVDA,2024-02-08,long,2024-02-08T15:50:00,2024-02-08T15:51:00,697.06,697.7563391532208,696.7118304233895,697.7563391532208,971,1000.0,676.1453177774292,0.6761453177774293,target,gap_day,2024-02-05
AVWAP-Pullback,META,2024-02-08,long,2024-02-08T13:15:00,2024-02-08T13:40:00,465.97,467.57499999999993,464.96005980493277,467.98988039013454,349,1000.0,560.1449999999667,0.5601449999999667,trail_stop,gap_day,2024-02-02
