strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
ORB-5min,CRM,2020-01-02,long,2020-01-02T09:36:00,2020-01-02T14:51:00,164.57,166.22999999999996,163.74,166.22999999999996,899,1000.0,1492.3399999999715,1.4923399999999716,target
ORB-5min,DAL,2020-01-02,long,2020-01-02T09:41:00,2020-01-02T10:14:00,59.22,58.95,58.95,59.75999999999999,262,1000.0,-70.73999999999896,-0.07073999999999896,stop
ORB-5min,AMD,2020-01-02,long,2020-01-02T09:50:00,2020-01-02T12:57:00,47.235,48.425,46.64,48.425,1680,1000.0,1999.1999999999962,1.999199999999996,target
ORB-5min,DIS,2020-01-02,long,2020-01-02T09:58:00,2020-01-02T15:55:00,146.65,148.04,145.25,149.45000000000002,408,1000.0,567.1199999999944,0.5671199999999944,session_close
ORB-5min,ROKU,2020-01-02,short,2020-01-02T10:21:00,2020-01-02T12:02:00,134.5,136.28,136.28,130.94,561,1000.0,-998.5800000000006,-0.9985800000000006,stop
ORB-5min,ORCL,2020-01-02,long,2020-01-02T10:49:00,2020-01-02T15:55:00,53.59,53.89,53.24,54.290000000000006,223,1000.0,66.89999999999937,0.06689999999999936,session_close
ORB-5min,SNAP,2020-01-02,short,2020-01-02T11:54:00,2020-01-02T15:55:00,16.51,16.755,16.78,15.970000000000002,605,1000.0,-148.22499999999846,-0.14822499999999847,session_close
ORB-5min,INTC,2020-01-02,long,2020-01-02T12:04:00,2020-01-02T15:55:00,60.87,60.775,60.22,62.169999999999995,643,1000.0,-61.08499999999927,-0.06108499999999927,session_close
ORB-5min,TSLA,2020-01-02,long,2020-01-02T12:58:00,2020-01-02T15:55:00,428.24,430.18,424.42,435.88,261,1000.0,506.3399999999994,0.5063399999999995,session_close
ORB-5min,QCOM,2020-01-02,short,2020-01-02T13:42:00,2020-01-02T15:55:00,88.18,88.55,89.15,86.24000000000001,468,1000.0,-173.15999999999548,-0.17315999999999548,session_close
ORB-5min,WFC,2020-01-03,short,2020-01-03T09:40:00,2020-01-03T11:36:00,52.97,53.35,53.35,52.209999999999994,2087,1000.0,-793.0600000000053,-0.7930600000000053,stop
ORB-5min,QCOM,2020-01-03,short,2020-01-03T10:01:00,2020-01-03T15:55:00,86.63,87.11,87.64,84.60999999999999,915,1000.0,-439.2000000000036,-0.43920000000000364,session_close
ORB-5min,NKE,2020-01-03,long,2020-01-03T10:45:00,2020-01-03T15:55:00,101.67,101.88,100.5,104.01,214,1000.0,44.93999999999866,0.04493999999999866,session_close
ORB-5min,MSFT,2020-01-03,long,2020-01-03T12:07:00,2020-01-03T15:55:00,159.865,158.81,158.14,163.31500000000005,579,1000.0,-610.8450000000039,-0.6108450000000039,session_close
ORB-5min,AAPL,2020-01-03,long,2020-01-03T12:48:00,2020-01-03T15:55:00,300.29,298.07,296.5,307.87000000000006,263,1000.0,-583.8600000000072,-0.5838600000000072,session_close
ORB-5min,CRM,2020-01-06,long,2020-01-06T09:42:00,2020-01-06T15:55:00,168.305,173.55,164.48,175.95500000000004,261,1000.0,1368.945000000001,1.368945000000001,session_close
ORB-5min,BAC,2020-01-06,long,2020-01-06T10:03:00,2020-01-06T15:55:00,34.725,34.835,34.38,35.415,2080,1000.0,228.79999999999882,0.2287999999999988,session_close
ORB-5min,ORCL,2020-01-06,long,2020-01-06T10:04:00,2020-01-06T15:55:00,53.98,53.99,53.36,55.21999999999999,636,1000.0,6.360000000003254,0.006360000000003254,session_close
ORB-5min,ADBE,2020-01-06,long,2020-01-06T11:00:00,2020-01-06T15:55:00,331.53,333.43,328.2,338.18999999999994,85,1000.0,161.5000000000029,0.1615000000000029,session_close
ORB-5min,DAL,2020-01-06,long,2020-01-06T11:17:00,2020-01-06T15:55:00,57.6,57.62,56.63,59.54,254,1000.0,5.079999999998989,0.005079999999998989,session_close
ORB-5min,QCOM,2020-01-07,long,2020-01-07T10:02:00,2020-01-07T15:55:00,87.95,88.96,86.91,90.03000000000002,931,1000.0,940.3099999999915,0.9403099999999915,session_close
ORB-5min,NFLX,2020-01-07,short,2020-01-07T10:25:00,2020-01-07T15:55:00,331.6,330.66,336.7,321.4000000000001,196,1000.0,184.23999999999955,0.18423999999999954,session_close
ORB-5min,CSCO,2020-01-07,short,2020-01-07T10:26:00,2020-01-07T15:55:00,47.41,47.46,47.74,46.749999999999986,779,1000.0,-38.95000000000332,-0.03895000000000332,session_close
ORB-5min,MU,2020-01-07,long,2020-01-07T10:43:00,2020-01-07T15:55:00,56.86,58.185,55.37,59.84,671,1000.0,889.0750000000019,0.8890750000000018,session_close
ORB-5min,WFC,2020-01-07,short,2020-01-07T11:49:00,2020-01-07T15:55:00,52.77,52.695,53.05,52.210000000000015,359,1000.0,26.92500000000102,0.02692500000000102,session_close
ORB-5min,F,2020-01-08,short,2020-01-08T09:36:00,2020-01-08T11:41:00,9.2,9.245,9.245,9.11,2994,1000.0,-134.7299999999998,-0.1347299999999998,stop
ORB-5min,ROKU,2020-01-08,short,2020-01-08T09:47:00,2020-01-08T15:55:00,134.94,134.78,137.67,129.48000000000002,366,1000.0,58.55999999999875,0.05855999999999875,session_close
ORB-5min,QCOM,2020-01-08,short,2020-01-08T09:50:00,2020-01-08T11:42:00,88.46,89.05,89.05,87.27999999999999,1336,1000.0,-788.2400000000046,-0.7882400000000046,stop
ORB-5min,AAL,2020-01-08,long,2020-01-08T09:55:00,2020-01-08T15:55:00,27.54,27.865,27.07,28.479999999999997,557,1000.0,181.0249999999996,0.1810249999999996,session_close
ORB-5min,MU,2020-01-08,short,2020-01-08T10:17:00,2020-01-08T15:55:00,57.53,57.52,58.39,55.81,1162,1000.0,11.619999999997688,0.011619999999997688,session_close
ORB-5min,NFLX,2020-01-08,long,2020-01-08T10:18:00,2020-01-08T14:06:00,334.21,340.24999999999994,331.19,340.24999999999994,331,1000.0,1999.239999999988,1.999239999999988,target
ORB-5min,BAC,2020-01-08,long,2020-01-08T10:26:00,2020-01-08T15:55:00,34.8,34.99,34.55,35.3,2099,1000.0,398.8100000000101,0.3988100000000101,session_close
ORB-5min,SNAP,2020-01-08,short,2020-01-08T10:28:00,2020-01-08T15:55:00,16.79,16.685,17.005,16.36,924,1000.0,97.0200000000004,0.0970200000000004,session_close
ORB-5min,F,2020-01-09,short,2020-01-09T09:36:00,2020-01-09T15:55:00,9.235,9.26,9.3,9.104999999999997,1989,1000.0,-49.725000000000705,-0.049725000000000706,session_close
ORB-5min,WFC,2020-01-09,short,2020-01-09T09:36:00,2020-01-09T15:55:00,52.81,52.655,53.2,52.03,804,1000.0,124.62000000000091,0.12462000000000091,session_close
ORB-5min,ORCL,2020-01-09,long,2020-01-09T09:39:00,2020-01-09T10:06:00,54.695,54.27,54.27,55.544999999999995,472,1000.0,-200.59999999999866,-0.20059999999999867,stop
ORB-5min,QCOM,2020-01-09,long,2020-01-09T09:41:00,2020-01-09T12:40:00,89.95,89.04,89.04,91.77,1098,1000.0,-999.1799999999962,-0.9991799999999962,stop
ORB-5min,NVDA,2020-01-09,long,2020-01-09T09:52:00,2020-01-09T12:26:00,245.15,242.8,242.8,249.85,425,1000.0,-998.7499999999976,-0.9987499999999976,stop
ORB-5min,AMD,2020-01-09,long,2020-01-09T10:00:00,2020-01-09T12:41:00,49.53,48.83,48.83,50.93000000000001,1428,1000.0,-999.600000000004,-0.999600000000004,stop
