strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
PDH-PDL-Breakout,BAC,2020-01-03,short,2020-01-03T10:01:00,2020-01-03T10:23:00,34.84,34.96,34.96,34.60000000000001,278,500.0,-33.35999999999929,-0.06671999999999857,stop
PDH-PDL-Breakout,ROKU,2020-01-03,long,2020-01-03T10:20:00,2020-01-03T14:20:00,137.43,136.64999999999998,136.64999999999998,138.99000000000007,6,499.83320000000003,-4.680000000000177,-0.009363123538012635,stop
PDH-PDL-Breakout,TSLA,2020-01-03,long,2020-01-03T10:33:00,2020-01-03T10:39:00,450.27,448.98,448.98,452.8499999999999,5,499.80980000000005,-6.449999999999818,-0.012904909027393656,stop
PDH-PDL-Breakout,F,2020-01-03,short,2020-01-03T13:40:00,2020-01-03T13:52:00,9.17,9.195,9.195,9.12,491,499.7775500000001,-12.275000000000174,-0.024560927156492267,stop
PDH-PDL-Breakout,DAL,2020-01-07,long,2020-01-07T09:37:00,2020-01-07T09:44:00,57.87,57.76,57.76,58.089999999999996,10,499.7161750000001,-1.0999999999999943,-0.0022012495393009725,stop
PDH-PDL-Breakout,DIS,2020-01-09,long,2020-01-09T09:34:00,2020-01-09T09:40:00,146.52,146.25,146.25,147.06000000000003,1,499.71067500000004,-0.27000000000001023,-0.0005403126519160517,stop
PDH-PDL-Breakout,MU,2020-01-09,short,2020-01-09T10:07:00,2020-01-09T10:09:00,56.9,57.120000000000005,57.120000000000005,56.45999999999999,72,499.70932500000004,-15.84000000000043,-0.031698427881049505,stop
PDH-PDL-Breakout,AVGO,2020-01-09,short,2020-01-09T10:11:00,2020-01-09T10:12:00,307.13,307.21999999999997,307.21999999999997,306.95000000000005,1,499.6301250000001,-0.08999999999997499,-0.00018013325357428152,stop
PDH-PDL-Breakout,F,2020-01-10,long,2020-01-10T09:52:00,2020-01-10T11:31:00,9.31,9.265,9.265,9.4,301,499.6296750000001,-13.544999999999979,-0.02711007908007061,stop
PDH-PDL-Breakout,MU,2020-01-10,short,2020-01-10T12:17:00,2020-01-10T12:38:00,56.46,56.57,56.57,56.24,44,499.5619500000001,-4.839999999999975,-0.009688488084410701,stop
PDH-PDL-Breakout,DAL,2020-01-14,long,2020-01-14T09:55:00,2020-01-14T09:56:00,61.9,61.839999999999996,61.839999999999996,62.02,18,499.5377500000001,-1.080000000000041,-0.002161998767860969,stop
PDH-PDL-Breakout,AAL,2020-01-14,long,2020-01-14T09:55:00,2020-01-14T09:58:00,28.01,28.270000000000007,27.88,28.270000000000007,66,499.53235000000006,17.160000000000338,0.03435212954676576,target
PDH-PDL-Breakout,BAC,2020-01-14,long,2020-01-14T10:20:00,2020-01-14T10:50:00,35.54,35.464999999999996,35.464999999999996,35.690000000000005,57,499.6181500000001,-4.275000000000162,-0.00855653462549381,stop
PDH-PDL-Breakout,WFC,2020-01-15,short,2020-01-15T09:33:00,2020-01-15T15:55:00,48.44,48.235,48.81,47.69999999999999,90,499.59677500000015,18.449999999999847,0.036929782022711896,session_close
PDH-PDL-Breakout,BAC,2020-01-15,short,2020-01-15T09:34:00,2020-01-15T09:36:00,34.41,34.64,34.64,33.94999999999999,371,499.68902500000013,-85.33000000000148,-0.1707662080430953,stop
PDH-PDL-Breakout,TSLA,2020-01-15,short,2020-01-15T09:43:00,2020-01-15T09:46:00,523.45,529.12,529.12,512.1100000000001,8,499.26237500000013,-45.35999999999967,-0.09085403241131411,stop
PDH-PDL-Breakout,CSCO,2020-01-15,long,2020-01-15T09:56:00,2020-01-15T12:21:00,48.18,48.05,48.05,48.440000000000005,28,499.0355750000001,-3.6400000000000716,-0.007294069165309649,stop
PDH-PDL-Breakout,DAL,2020-01-16,long,2020-01-16T09:34:00,2020-01-16T09:47:00,62.23,62.07,62.07,62.54999999999999,4,499.01737500000013,-0.6399999999999864,-0.0012825204733602437,stop
PDH-PDL-Breakout,AMD,2020-01-16,long,2020-01-16T09:56:00,2020-01-16T10:08:00,49.755,50.25500000000002,49.504999999999995,50.25500000000002,147,499.01417500000014,73.50000000000209,0.14729040512727332,target
PDH-PDL-Breakout,TSLA,2020-01-16,short,2020-01-16T10:28:00,2020-01-16T10:33:00,498.15,499.79999999999995,499.79999999999995,494.85,2,499.38167500000014,-3.2999999999999545,-0.006608171995898636,stop
PDH-PDL-Breakout,F,2020-01-16,short,2020-01-16T14:33:00,2020-01-16T15:55:00,9.17,9.175,9.205,9.1,911,499.3651750000001,-4.555000000000712,-0.009121581215591798,session_close
