strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
PDH-PDL-Fade,INTC,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T09:53:00,60.27,60.12,60.12,60.965,24,500.0,-3.6000000000001364,-0.007200000000000273,stop
PDH-PDL-Fade,MU,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T15:55:00,54.53,54.58,54.415,55.49,22,499.98199999999997,1.0999999999999375,0.002200079202851178,session_close
PDH-PDL-Fade,SNAP,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T09:56:00,16.54,16.94,16.36,16.94,27,499.9875,10.800000000000058,0.021600540013500452,target
PDH-PDL-Fade,ADBE,2020-01-03,long,2020-01-03T09:34:00,2020-01-03T15:55:00,330.51,332.01,329.34999999999997,334.48,1,500.04150000000004,1.5,0.0029997510206652847,session_close
PDH-PDL-Fade,ORCL,2020-01-03,short,2020-01-03T09:37:00,2020-01-03T15:55:00,53.92,53.83,54.055,53.24,2,500.04900000000004,0.18000000000000682,0.0003599647234571148,session_close
PDH-PDL-Fade,CSCO,2020-01-03,long,2020-01-03T09:54:00,2020-01-03T10:05:00,47.91,47.78,47.78,48.42,9,500.0499,-1.169999999999959,-0.002339766491304086,stop
PDH-PDL-Fade,AMD,2020-01-03,short,2020-01-03T12:44:00,2020-01-03T12:54:00,49.22,49.35,49.35,46.64,55,500.04405,-7.150000000000141,-0.014298740280981527,stop
PDH-PDL-Fade,F,2020-01-07,short,2020-01-07T09:34:00,2020-01-07T15:55:00,9.155,9.23,9.264999999999999,9.065,230,500.0083,-17.250000000000245,-0.03449942730950715,session_close
PDH-PDL-Fade,AAPL,2020-01-07,short,2020-01-07T09:37:00,2020-01-07T13:08:00,299.81,300.06,300.06,292.75,10,499.92205,-2.5,-0.005000779621542999,stop
PDH-PDL-Fade,INTC,2020-01-07,long,2020-01-07T09:37:00,2020-01-07T09:40:00,59.37,59.23,59.23,60.19,14,499.90955,-1.960000000000008,-0.003920709256304482,stop
PDH-PDL-Fade,SNAP,2020-01-07,short,2020-01-07T09:39:00,2020-01-07T11:14:00,16.67,16.885,16.885,16.42,63,499.89975,-13.544999999999991,-0.02709543263424315,stop
PDH-PDL-Fade,MSFT,2020-01-07,short,2020-01-07T09:40:00,2020-01-07T15:55:00,158.9,157.37,159.2,156.51,10,499.832025,15.300000000000011,0.030610283524750162,session_close
PDH-PDL-Fade,AMD,2020-01-07,short,2020-01-07T09:40:00,2020-01-07T15:55:00,48.615,48.285,48.96,47.86,129,499.908525,42.5700000000007,0.08515557921321845,session_close
PDH-PDL-Fade,DIS,2020-01-07,short,2020-01-07T09:40:00,2020-01-07T10:47:00,145.81,146.1,146.1,144.32,1,500.12137500000006,-0.28999999999999204,-0.0005798592391696756,stop
PDH-PDL-Fade,AAL,2020-01-07,short,2020-01-07T09:41:00,2020-01-07T10:44:00,27.48,27.59,27.59,27.09,17,500.1199250000001,-1.8699999999999903,-0.0037391031761031916,stop
PDH-PDL-Fade,NVDA,2020-01-07,short,2020-01-07T09:42:00,2020-01-07T09:47:00,237.18,237.35999999999999,237.35999999999999,231.3,1,500.1105750000001,-0.1799999999999784,-0.0003599204036027,stop
PDH-PDL-Fade,CRM,2020-01-07,short,2020-01-07T10:00:00,2020-01-07T10:01:00,173.63,173.76999999999998,173.76999999999998,164.48,2,500.10967500000015,-0.2799999999999727,-0.0005598771909381129,stop
PDH-PDL-Fade,AMD,2020-01-08,long,2020-01-08T09:33:00,2020-01-08T09:36:00,48.05,47.94,47.94,49.39,52,500.10827500000016,-5.71999999999997,-0.011437523204350035,stop
PDH-PDL-Fade,CSCO,2020-01-08,long,2020-01-08T09:33:00,2020-01-08T10:28:00,47.18,47.004999999999995,47.004999999999995,47.74,25,500.0796750000001,-4.375000000000107,-0.008748605909648509,stop
PDH-PDL-Fade,INTC,2020-01-08,long,2020-01-08T09:34:00,2020-01-08T10:43:00,58.94,58.79,58.79,59.88,30,500.05780000000016,-4.499999999999957,-0.00899895972025625,stop
PDH-PDL-Fade,WFC,2020-01-08,short,2020-01-08T09:34:00,2020-01-08T09:36:00,53.05,53.15,53.15,52.47,2,500.0353000000001,-0.20000000000000284,-0.00039997176199360883,stop
PDH-PDL-Fade,DAL,2020-01-08,short,2020-01-08T09:36:00,2020-01-08T09:38:00,58.01,58.17,58.17,57.5,4,500.03430000000014,-0.6400000000000148,-0.0012799121980232447,stop
PDH-PDL-Fade,TSLA,2020-01-08,short,2020-01-08T09:38:00,2020-01-08T09:39:00,471.32,471.75,471.75,453.36,5,500.03110000000015,-2.150000000000034,-0.004299732556635044,stop
PDH-PDL-Fade,AAPL,2020-01-08,long,2020-01-08T10:50:00,2020-01-08T12:08:00,297.62,300.9,297.38,300.9,3,500.0203500000002,9.839999999999918,0.019679199056598224,target
PDH-PDL-Fade,TSLA,2020-01-09,short,2020-01-09T09:33:00,2020-01-09T15:55:00,497.55,479.85,498.49,468.25,5,500.06955000000016,88.49999999999994,0.1769753827242629,session_close
PDH-PDL-Fade,CSCO,2020-01-09,short,2020-01-09T09:33:00,2020-01-09T15:55:00,47.77,47.345,47.885,46.815,12,500.51205000000016,5.100000000000051,0.010189564866620194,session_close
PDH-PDL-Fade,AAL,2020-01-09,short,2020-01-09T09:34:00,2020-01-09T09:35:00,28.09,28.085,28.185000000000002,28.085,40,500.5375500000002,0.1999999999999602,0.00039957042183940073,target
PDH-PDL-Fade,BAC,2020-01-09,short,2020-01-09T09:36:00,2020-01-09T15:55:00,35.13,35.02,35.285000000000004,34.55,71,500.5385500000002,7.80999999999996,0.015603193799957978,session_close
PDH-PDL-Fade,NKE,2020-01-09,short,2020-01-09T09:37:00,2020-01-09T10:20:00,102.12,102.235,102.235,100.9,1,500.5776000000002,-0.11499999999999488,-0.00022973461057785015,stop
PDH-PDL-Fade,INTC,2020-01-09,short,2020-01-09T09:38:00,2020-01-09T15:54:00,59.29,59.42,59.42,58.53,20,500.57702500000016,-2.600000000000051,-0.005194005857540206,stop
PDH-PDL-Fade,DAL,2020-01-09,short,2020-01-09T10:45:00,2020-01-09T15:55:00,59.36,58.945,59.5,57.74,2,500.56402500000013,0.8299999999999983,0.0016581295469645428,session_close
PDH-PDL-Fade,CRM,2020-01-10,short,2020-01-10T09:33:00,2020-01-10T09:37:00,179.54,180.0,180.0,177.27,1,500.5681750000001,-0.46000000000000796,-0.0009189557446395945,stop
PDH-PDL-Fade,QCOM,2020-01-10,short,2020-01-10T09:34:00,2020-01-10T09:45:00,90.62,90.82,90.82,88.83,3,500.5658750000001,-0.5999999999999659,-0.0011986434352920397,stop
PDH-PDL-Fade,AAPL,2020-01-10,short,2020-01-10T09:35:00,2020-01-10T09:36:00,309.92,310.52000000000004,310.52000000000004,306.2,15,500.5628750000001,-9.000000000000341,-0.017979759285984484,stop
PDH-PDL-Fade,AAL,2020-01-10,long,2020-01-10T09:35:00,2020-01-10T09:36:00,27.74,27.619999999999997,27.619999999999997,28.23,6,500.51787500000006,-0.720000000000006,-0.0014385100632020502,stop
PDH-PDL-Fade,BAC,2020-01-10,long,2020-01-10T09:50:00,2020-01-10T11:27:00,34.965,34.85,34.85,35.32,18,500.51427500000005,-2.070000000000036,-0.004135746178268413,stop
PDH-PDL-Fade,NVDA,2020-01-10,short,2020-01-10T09:57:00,2020-01-10T09:58:00,245.77,246.01999999999998,246.01999999999998,240.9,3,500.50392500000004,-0.7499999999999147,-0.0014984897471082064,stop
PDH-PDL-Fade,MSFT,2020-01-14,short,2020-01-14T09:33:00,2020-01-14T09:34:00,163.23,163.41,163.41,161.27,12,500.500175,-2.160000000000082,-0.004315682806704477,stop
PDH-PDL-Fade,AMD,2020-01-14,short,2020-01-14T09:33:00,2020-01-14T09:34:00,48.85,48.955,48.955,48.245,75,500.489375,-7.8749999999997655,-0.01573459976048396,stop
PDH-PDL-Fade,CSCO,2020-01-14,short,2020-01-14T09:34:00,2020-01-14T15:55:00,47.95,47.8,48.07,47.3,16,500.45,2.400000000000091,0.004795683884504128,session_close
PDH-PDL-Fade,NFLX,2020-01-14,short,2020-01-14T09:37:00,2020-01-14T09:38:00,339.88,340.89000000000004,340.89000000000004,331.51,5,500.462,-5.050000000000239,-0.010090676215177653,stop
PDH-PDL-Fade,AAPL,2020-01-14,short,2020-01-14T09:40:00,2020-01-14T10:32:00,316.85,317.16,317.16,311.15,7,500.43674999999996,-2.170000000000016,-0.004336212318539787,stop
