strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
Round-Number,MU,2020-01-02,long,2020-01-02T10:13:00,2020-01-02T10:15:00,55.02,54.9,54.9,60.0,945,1000.0,-113.4000000000043,-0.1134000000000043,stop
Round-Number,INTC,2020-01-06,short,2020-01-06T09:39:00,2020-01-06T10:46:00,59.73,60.1,60.1,55.0,1311,1000.0,-485.07000000000596,-0.48507000000000594,stop
Round-Number,DIS,2020-01-06,long,2020-01-06T09:56:00,2020-01-06T10:13:00,145.19,144.9,144.9,150.0,419,1000.0,-121.50999999999667,-0.12150999999999666,stop
Round-Number,ROKU,2020-01-07,short,2020-01-07T10:08:00,2020-01-07T10:09:00,140.02,140.0,140.1,140.0,405,1000.0,8.100000000004144,0.008100000000004144,target
Round-Number,DIS,2020-01-08,short,2020-01-08T09:45:00,2020-01-08T09:50:00,144.925,145.1,145.1,140.0,170,1000.0,-29.7499999999971,-0.0297499999999971,stop
Round-Number,INTC,2020-01-10,short,2020-01-10T09:35:00,2020-01-10T15:55:00,59.75,58.99,60.1,55.0,1012,1000.0,769.119999999998,0.7691199999999979,session_close
Round-Number,ROKU,2020-01-10,short,2020-01-10T09:51:00,2020-01-10T09:54:00,130.0,130.1,130.1,125.0,744,1000.0,-74.39999999999577,-0.07439999999999578,stop
Round-Number,DIS,2020-01-10,long,2020-01-10T09:51:00,2020-01-10T10:18:00,145.11,144.9,144.9,150.0,39,1000.0,-8.19000000000031,-0.00819000000000031,stop
Round-Number,WFC,2020-01-14,long,2020-01-14T09:34:00,2020-01-14T09:35:00,50.11,49.9,49.9,55.0,4093,1000.0,-859.5300000000035,-0.8595300000000035,stop
Round-Number,DIS,2020-01-15,long,2020-01-15T09:42:00,2020-01-15T09:45:00,145.0,144.9,144.9,150.0,245,1000.0,-24.499999999998607,-0.024499999999998606,stop
Round-Number,ORCL,2020-01-15,long,2020-01-15T09:45:00,2020-01-15T11:12:00,55.01,54.9,54.9,60.0,60,1000.0,-6.599999999999966,-0.006599999999999966,stop
Round-Number,QCOM,2020-01-16,long,2020-01-16T09:36:00,2020-01-16T15:55:00,90.14,91.585,89.9,95.0,544,1000.0,786.0799999999963,0.7860799999999963,session_close
Round-Number,DIS,2020-01-16,short,2020-01-16T09:48:00,2020-01-16T09:49:00,144.98,145.1,145.1,140.0,69,1000.0,-8.280000000000314,-0.008280000000000313,stop
Round-Number,ROKU,2020-01-17,short,2020-01-17T09:34:00,2020-01-17T09:35:00,129.98,130.1,130.1,125.0,741,1000.0,-88.92000000000337,-0.08892000000000337,stop
Round-Number,QCOM,2020-01-21,short,2020-01-21T09:42:00,2020-01-21T09:44:00,94.87,95.1,95.1,90.0,728,1000.0,-167.43999999999255,-0.16743999999999254,stop
Round-Number,ORCL,2020-01-21,short,2020-01-21T09:45:00,2020-01-21T10:04:00,54.99,55.1,55.1,50.0,80,1000.0,-8.799999999999955,-0.008799999999999954,stop
Round-Number,ROKU,2020-01-21,long,2020-01-21T09:50:00,2020-01-21T09:51:00,135.08,134.9,134.9,140.0,576,1000.0,-103.68000000000393,-0.10368000000000394,stop
Round-Number,QCOM,2020-01-22,short,2020-01-22T09:37:00,2020-01-22T09:39:00,94.795,95.1,95.1,90.0,377,1000.0,-114.98499999999721,-0.11498499999999721,stop
Round-Number,MU,2020-01-22,short,2020-01-22T09:41:00,2020-01-22T10:46:00,59.79,60.1,60.1,55.0,1247,1000.0,-386.57000000000284,-0.38657000000000286,stop
Round-Number,DAL,2020-01-22,short,2020-01-22T10:22:00,2020-01-22T10:47:00,59.86,60.1,60.1,55.0,534,1000.0,-128.16000000000105,-0.12816000000000105,stop
Round-Number,ROKU,2020-01-23,long,2020-01-23T09:42:00,2020-01-23T09:43:00,130.09,129.9,129.9,135.0,1506,1000.0,-286.1399999999966,-0.28613999999999656,stop
Round-Number,MU,2020-01-27,short,2020-01-27T09:34:00,2020-01-27T09:38:00,54.96,55.1,55.1,50.0,2520,1000.0,-352.80000000000143,-0.35280000000000145,stop
Round-Number,NKE,2020-01-27,short,2020-01-27T10:46:00,2020-01-27T11:06:00,99.81,100.1,100.1,95.0,94,1000.0,-27.259999999999252,-0.027259999999999254,stop
Round-Number,NKE,2020-01-28,long,2020-01-28T09:38:00,2020-01-28T09:39:00,100.1,99.9,99.9,105.0,117,1000.0,-23.39999999999867,-0.02339999999999867,stop
Round-Number,NKE,2020-02-03,long,2020-02-03T09:55:00,2020-02-03T13:12:00,100.04,99.9,99.9,105.0,373,1000.0,-52.22000000000021,-0.05222000000000021,stop
Round-Number,MU,2020-02-04,long,2020-02-04T09:40:00,2020-02-04T15:55:00,55.26,55.52,54.9,60.0,2614,1000.0,679.6400000000134,0.6796400000000135,session_close
Round-Number,INTC,2020-02-04,long,2020-02-04T10:09:00,2020-02-04T15:55:00,65.07,65.43,64.9,70.0,1671,1000.0,601.5600000000228,0.6015600000000227,session_close
Round-Number,ORCL,2020-02-06,long,2020-02-06T09:47:00,2020-02-06T11:00:00,55.08,54.9,54.9,60.0,125,1000.0,-22.499999999999964,-0.022499999999999964,stop
Round-Number,NKE,2020-02-06,long,2020-02-06T13:37:00,2020-02-06T15:55:00,100.22,100.375,99.9,105.0,150,1000.0,23.25000000000017,0.02325000000000017,session_close
Round-Number,ROKU,2020-02-07,long,2020-02-07T11:10:00,2020-02-07T13:18:00,125.13,124.9,124.9,130.0,133,1000.0,-30.58999999999864,-0.03058999999999864,stop
Round-Number,AMD,2020-02-10,long,2020-02-10T09:35:00,2020-02-10T09:37:00,50.04,49.9,49.9,55.0,3906,1000.0,-546.8400000000022,-0.5468400000000022,stop
