strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
Round-Number,MU,2020-01-02,long,2020-01-02T10:13:00,2020-01-02T10:15:00,55.02,54.9,54.9,60.0,17,500.0,-2.0400000000000773,-0.004080000000000155,stop
Round-Number,INTC,2020-01-06,short,2020-01-06T09:39:00,2020-01-06T10:46:00,59.73,60.1,60.1,55.0,21,499.98980000000006,-7.7700000000000955,-0.015540317022467448,stop
Round-Number,DIS,2020-01-06,long,2020-01-06T09:56:00,2020-01-06T10:13:00,145.19,144.9,144.9,150.0,2,499.95095000000003,-0.5799999999999841,-0.0011601138071644509,stop
Round-Number,ROKU,2020-01-07,short,2020-01-07T10:08:00,2020-01-07T10:09:00,140.02,140.0,140.1,140.0,2,499.94805,0.040000000000020464,8.000831286374747e-05,target
Round-Number,DIS,2020-01-08,short,2020-01-08T09:45:00,2020-01-08T09:50:00,144.925,145.1,145.1,140.0,1,499.94825,-0.17499999999998295,-0.0003500362287496415,stop
Round-Number,INTC,2020-01-10,short,2020-01-10T09:35:00,2020-01-10T15:55:00,59.75,58.99,60.1,55.0,16,499.94737499999997,12.159999999999968,0.024322559949434615,session_close
Round-Number,ROKU,2020-01-10,short,2020-01-10T09:51:00,2020-01-10T09:54:00,130.0,130.1,130.1,125.0,5,500.008175,-0.4999999999999716,-0.0009999836502672613,stop
Round-Number,WFC,2020-01-14,long,2020-01-14T09:34:00,2020-01-14T09:35:00,50.11,49.9,49.9,55.0,81,500.005675,-17.01000000000007,-0.03401961387738263,stop
Round-Number,DIS,2020-01-15,long,2020-01-15T09:42:00,2020-01-15T09:45:00,145.0,144.9,144.9,150.0,1,499.92062500000003,-0.09999999999999432,-0.0002000317550411014,stop
Round-Number,ORCL,2020-01-15,long,2020-01-15T09:45:00,2020-01-15T11:12:00,55.01,54.9,54.9,60.0,1,499.920125,-0.10999999999999943,-0.00022003515061530966,stop
Round-Number,QCOM,2020-01-16,long,2020-01-16T09:36:00,2020-01-16T15:55:00,90.14,91.585,89.9,95.0,6,499.91957499999995,8.669999999999959,0.0173427895877051,session_close
Round-Number,ROKU,2020-01-17,short,2020-01-17T09:34:00,2020-01-17T09:35:00,129.98,130.1,130.1,125.0,5,499.962925,-0.6000000000000227,-0.0012000889865984017,stop
