fill_ts,symbol,session_date,winning_strategy,blocked_strategy,blocked_direction,blocked_intended_entry_price
2020-01-02 09:58:00,NKE,2020-01-02,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-02 10:51:00,ROKU,2020-01-02,ORB-5min,Round-Number,short,
2020-01-02 11:00:00,CRM,2020-01-02,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-02 12:01:00,BAC,2020-01-02,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-02 12:05:00,INTC,2020-01-02,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-02 13:12:00,TSLA,2020-01-02,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-02 14:29:00,DIS,2020-01-02,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-02 15:33:00,F,2020-01-02,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-03 09:40:00,WFC,2020-01-03,ORB-5min,PDH-PDL-Breakout,short,
2020-01-03 10:01:00,ADBE,2020-01-03,PDH-PDL-Fade,ORB-5min,long,
2020-01-03 10:01:00,QCOM,2020-01-03,ORB-5min,PDH-PDL-Breakout,short,
2020-01-03 10:04:00,CSCO,2020-01-03,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-03 10:28:00,SNAP,2020-01-03,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-03 10:59:00,ROKU,2020-01-03,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-03 11:08:00,MU,2020-01-03,PDH-PDL-Fade,Round-Number,short,
2020-01-03 11:11:00,AVGO,2020-01-03,ORB-5min,PDH-PDL-Breakout,short,
2020-01-03 11:18:00,WFC,2020-01-03,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-03 12:01:00,ORCL,2020-01-03,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-03 12:02:00,ORCL,2020-01-03,PDH-PDL-Fade,ORB-5min,long,
2020-01-03 12:03:00,INTC,2020-01-03,Round-Number,VWAP-Mean-Reversion,short,
2020-01-03 12:20:00,BAC,2020-01-03,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-03 12:52:00,AAPL,2020-01-03,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-03 13:24:00,NKE,2020-01-03,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-06 10:50:00,BAC,2020-01-06,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-07 09:48:00,NKE,2020-01-07,ORB-5min,PDH-PDL-Breakout,long,
2020-01-07 10:01:00,CRM,2020-01-07,PDH-PDL-Fade,ORB-5min,long,
2020-01-07 10:01:00,NVDA,2020-01-07,ORB-5min,PDH-PDL-Breakout,long,
2020-01-07 10:01:00,CRM,2020-01-07,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-07 10:02:00,QCOM,2020-01-07,ORB-5min,PDH-PDL-Breakout,long,
2020-01-07 10:14:00,F,2020-01-07,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-07 10:20:00,AAPL,2020-01-07,PDH-PDL-Fade,ORB-5min,short,
2020-01-07 10:22:00,AMD,2020-01-07,PDH-PDL-Fade,ORB-5min,short,
2020-01-07 10:22:00,ROKU,2020-01-07,Round-Number,ORB-5min,short,
2020-01-07 10:40:00,AAL,2020-01-07,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-07 10:43:00,MU,2020-01-07,ORB-5min,PDH-PDL-Breakout,long,
2020-01-07 10:44:00,ORCL,2020-01-07,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-07 10:46:00,SNAP,2020-01-07,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-07 11:05:00,ORCL,2020-01-07,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-07 11:19:00,ORCL,2020-01-07,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-07 12:06:00,F,2020-01-07,PDH-PDL-Fade,ORB-5min,short,
2020-01-07 12:11:00,MSFT,2020-01-07,PDH-PDL-Fade,ORB-5min,short,
2020-01-07 12:12:00,WFC,2020-01-07,ORB-5min,PDH-PDL-Breakout,short,
2020-01-07 15:04:00,WFC,2020-01-07,ORB-5min,PDH-PDL-Fade,long,
2020-01-08 09:41:00,DAL,2020-01-08,ORB-5min,PDH-PDL-Breakout,long,
2020-01-08 09:47:00,ROKU,2020-01-08,ORB-5min,PDH-PDL-Breakout,short,
2020-01-08 09:48:00,DIS,2020-01-08,Round-Number,ORB-5min,short,
2020-01-08 09:48:00,DIS,2020-01-08,Round-Number,PDH-PDL-Breakout,short,
2020-01-08 09:59:00,AVGO,2020-01-08,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-08 10:00:00,ROKU,2020-01-08,ORB-5min,Round-Number,long,
2020-01-08 10:08:00,DIS,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-08 10:15:00,AMD,2020-01-08,ORB-5min,PDH-PDL-Breakout,short,
2020-01-08 10:30:00,INTC,2020-01-08,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-08 10:31:00,ORCL,2020-01-08,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-08 10:32:00,AVGO,2020-01-08,PDH-PDL-Breakout,ORB-5min,short,
2020-01-08 10:52:00,NVDA,2020-01-08,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-08 11:15:00,NFLX,2020-01-08,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-08 11:15:00,CRM,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-08 11:23:00,CRM,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-08 11:30:00,AAPL,2020-01-08,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-08 11:30:00,BAC,2020-01-08,ORB-5min,PDH-PDL-Fade,short,
2020-01-08 11:39:00,AAPL,2020-01-08,PDH-PDL-Fade,ORB-5min,long,
2020-01-08 11:41:00,NFLX,2020-01-08,ORB-5min,PDH-PDL-Fade,short,
2020-01-08 11:43:00,NFLX,2020-01-08,ORB-5min,PDH-PDL-Breakout,long,
2020-01-08 11:43:00,BAC,2020-01-08,ORB-5min,PDH-PDL-Breakout,long,
2020-01-08 11:44:00,AAL,2020-01-08,ORB-5min,PDH-PDL-Fade,short,
2020-01-08 11:44:00,MSFT,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-08 11:47:00,ORCL,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-08 11:55:00,F,2020-01-08,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-08 12:07:00,BAC,2020-01-08,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-08 12:08:00,AAL,2020-01-08,ORB-5min,PDH-PDL-Breakout,long,
2020-01-08 12:09:00,AAPL,2020-01-08,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-08 12:13:00,WFC,2020-01-08,PDH-PDL-Breakout,VWAP-Mean-Reversion,short,
2020-01-08 12:18:00,ORCL,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-08 13:12:00,MSFT,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-08 14:10:00,AMD,2020-01-08,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-08 15:15:00,NVDA,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-08 15:18:00,NVDA,2020-01-08,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-09 09:38:00,WFC,2020-01-09,ORB-5min,PDH-PDL-Fade,long,
2020-01-09 09:39:00,ORCL,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 09:41:00,QCOM,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 09:44:00,ORCL,2020-01-09,ORB-5min,PDH-PDL-Fade,short,
2020-01-09 09:52:00,NVDA,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 09:54:00,TSLA,2020-01-09,PDH-PDL-Fade,ORB-5min,short,
2020-01-09 09:59:00,BAC,2020-01-09,PDH-PDL-Fade,ORB-5min,short,
2020-01-09 10:00:00,AMD,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 10:01:00,WFC,2020-01-09,ORB-5min,PDH-PDL-Breakout,short,
2020-01-09 10:04:00,AAL,2020-01-09,PDH-PDL-Fade,ORB-5min,short,
2020-01-09 10:04:00,ROKU,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 10:09:00,MU,2020-01-09,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-09 10:10:00,NKE,2020-01-09,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-09 10:10:00,QCOM,2020-01-09,ORB-5min,Round-Number,long,
2020-01-09 10:19:00,NKE,2020-01-09,PDH-PDL-Fade,ORB-5min,long,
2020-01-09 10:19:00,NKE,2020-01-09,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-09 10:24:00,ROKU,2020-01-09,ORB-5min,PDH-PDL-Fade,short,
2020-01-09 10:33:00,MSFT,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 10:40:00,AAPL,2020-01-09,ORB-5min,PDH-PDL-Breakout,long,
2020-01-09 10:42:00,AAL,2020-01-09,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-09 10:53:00,DAL,2020-01-09,PDH-PDL-Fade,ORB-5min,long,
2020-01-09 10:53:00,DAL,2020-01-09,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-09 11:44:00,MSFT,2020-01-09,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-09 12:24:00,QCOM,2020-01-09,ORB-5min,PDH-PDL-Fade,short,
2020-01-09 12:44:00,DIS,2020-01-09,PDH-PDL-Fade,Round-Number,short,
2020-01-09 15:50:00,F,2020-01-09,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-10 09:42:00,INTC,2020-01-10,Round-Number,ORB-5min,long,
2020-01-10 09:42:00,INTC,2020-01-10,Round-Number,PDH-PDL-Breakout,long,
2020-01-10 09:48:00,AAL,2020-01-10,ORB-5min,PDH-PDL-Breakout,short,
2020-01-10 09:58:00,AAPL,2020-01-10,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-10 09:58:00,AAPL,2020-01-10,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-10 10:01:00,QCOM,2020-01-10,ORB-5min,PDH-PDL-Breakout,long,
2020-01-10 10:03:00,F,2020-01-10,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-10 10:04:00,MSFT,2020-01-10,ORB-5min,PDH-PDL-Breakout,long,
2020-01-10 10:13:00,NKE,2020-01-10,PDH-PDL-Fade,ORB-5min,short,
