strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
PDH-PDL-Fade,INTC,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T09:53:00,60.27,60.12,60.12,60.965,1455,1000.0,-218.25000000000827,-0.21825000000000827,stop,False
PDH-PDL-Fade,MU,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T15:55:00,54.53,54.58,54.415,55.49,1233,1000.0,61.649999999996496,0.06164999999999649,session_close,False
PDH-PDL-Fade,SNAP,2020-01-03,long,2020-01-03T09:33:00,2020-01-03T09:56:00,16.54,16.94,16.36,16.94,450,1000.0,180.00000000000097,0.18000000000000096,target,False
PDH-PDL-Fade,ADBE,2020-01-03,long,2020-01-03T09:34:00,2020-01-03T15:55:00,330.51,332.01,329.34999999999997,334.48,332,1000.0,498.0,0.498,session_close,False
PDH-PDL-Fade,AVGO,2020-01-03,long,2020-01-03T09:35:00,2020-01-03T11:10:00,317.33,317.15,317.15,322.5,83,1000.0,-14.940000000000566,-0.014940000000000566,stop,False
PDH-PDL-Fade,ORCL,2020-01-03,short,2020-01-03T09:37:00,2020-01-03T15:55:00,53.92,53.83,54.055,53.24,128,1000.0,11.520000000000437,0.011520000000000436,session_close,False
PDH-PDL-Fade,NVDA,2020-01-03,long,2020-01-03T09:39:00,2020-01-03T09:41:00,236.9,236.65,236.65,239.91,222,1000.0,-55.5,-0.0555,stop,False
PDH-PDL-Fade,CSCO,2020-01-03,long,2020-01-03T09:54:00,2020-01-03T10:05:00,47.91,47.78,47.78,48.42,475,1000.0,-61.74999999999784,-0.06174999999999784,stop,False
PDH-PDL-Fade,WFC,2020-01-03,long,2020-01-03T12:36:00,2020-01-03T13:34:00,53.52,53.41,53.41,54.03,147,1000.0,-16.17000000000096,-0.01617000000000096,stop,True
PDH-PDL-Fade,AMD,2020-01-03,short,2020-01-03T12:44:00,2020-01-03T12:54:00,49.22,49.35,49.35,46.64,2751,1000.0,-357.63000000000704,-0.35763000000000705,stop,False
PDH-PDL-Fade,F,2020-01-03,long,2020-01-03T13:53:00,2020-01-03T15:55:00,9.2,9.205,9.09,9.415,1342,1000.0,6.710000000001049,0.006710000000001049,session_close,True
PDH-PDL-Fade,NKE,2020-01-07,short,2020-01-07T09:33:00,2020-01-07T09:35:00,101.81,101.94,101.94,100.87,89,1000.0,-11.569999999999595,-0.011569999999999594,stop,False
PDH-PDL-Fade,F,2020-01-07,short,2020-01-07T09:34:00,2020-01-07T15:55:00,9.155,9.23,9.264999999999999,9.065,2108,1000.0,-158.10000000000224,-0.15810000000000224,session_close,False
