strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,MU,2020-01-02,long,2020-01-02T10:13:00,2020-01-02T10:15:00,55.02,54.9,54.9,60.0,945,1000.0,-113.4000000000043,-0.1134000000000043,stop,False
Round-Number,INTC,2020-01-03,long,2020-01-03T10:05:00,2020-01-03T15:55:00,60.06,60.22,59.9,65.0,434,1000.0,69.43999999999852,0.06943999999999852,session_close,True
Round-Number,INTC,2020-01-06,short,2020-01-06T09:39:00,2020-01-06T10:46:00,59.73,60.1,60.1,55.0,1311,1000.0,-485.07000000000596,-0.48507000000000594,stop,False
Round-Number,DIS,2020-01-06,long,2020-01-06T09:56:00,2020-01-06T10:13:00,145.19,144.9,144.9,150.0,419,1000.0,-121.50999999999667,-0.12150999999999666,stop,False
Round-Number,ROKU,2020-01-07,short,2020-01-07T10:08:00,2020-01-07T10:09:00,140.02,140.0,140.1,140.0,405,1000.0,8.100000000004144,0.008100000000004144,target,False
Round-Number,DIS,2020-01-08,short,2020-01-08T09:45:00,2020-01-08T09:50:00,144.925,145.1,145.1,140.0,170,1000.0,-29.7499999999971,-0.0297499999999971,stop,False
Round-Number,ROKU,2020-01-09,long,2020-01-09T11:53:00,2020-01-09T11:54:00,135.03,134.9,134.9,140.0,618,1000.0,-80.33999999999719,-0.08033999999999719,stop,True
Round-Number,INTC,2020-01-10,short,2020-01-10T09:35:00,2020-01-10T15:55:00,59.75,58.99,60.1,55.0,1012,1000.0,769.119999999998,0.7691199999999979,session_close,False
Round-Number,ROKU,2020-01-10,short,2020-01-10T09:51:00,2020-01-10T09:54:00,130.0,130.1,130.1,125.0,744,1000.0,-74.39999999999577,-0.07439999999999578,stop,False
Round-Number,DIS,2020-01-10,long,2020-01-10T09:51:00,2020-01-10T10:18:00,145.11,144.9,144.9,150.0,39,1000.0,-8.19000000000031,-0.00819000000000031,stop,False
Round-Number,QCOM,2020-01-10,long,2020-01-10T15:37:00,2020-01-10T15:43:00,90.13,89.9,89.9,95.0,274,1000.0,-63.0199999999972,-0.0630199999999972,stop,True
Round-Number,ROKU,2020-01-13,short,2020-01-13T15:28:00,2020-01-13T15:55:00,134.88,133.95,135.1,130.0,530,1000.0,492.9000000000036,0.4929000000000036,session_close,True
Round-Number,WFC,2020-01-14,long,2020-01-14T09:34:00,2020-01-14T09:35:00,50.11,49.9,49.9,55.0,4093,1000.0,-859.5300000000035,-0.8595300000000035,stop,False
Round-Number,DIS,2020-01-15,long,2020-01-15T09:42:00,2020-01-15T09:45:00,145.0,144.9,144.9,150.0,245,1000.0,-24.499999999998607,-0.024499999999998606,stop,False
Round-Number,ORCL,2020-01-15,long,2020-01-15T09:45:00,2020-01-15T11:12:00,55.01,54.9,54.9,60.0,60,1000.0,-6.599999999999966,-0.006599999999999966,stop,False
Round-Number,QCOM,2020-01-16,long,2020-01-16T09:36:00,2020-01-16T15:55:00,90.14,91.585,89.9,95.0,544,1000.0,786.0799999999963,0.7860799999999963,session_close,False
Round-Number,DIS,2020-01-16,short,2020-01-16T09:48:00,2020-01-16T09:49:00,144.98,145.1,145.1,140.0,69,1000.0,-8.280000000000314,-0.008280000000000313,stop,False
Round-Number,ROKU,2020-01-17,short,2020-01-17T09:34:00,2020-01-17T09:35:00,129.98,130.1,130.1,125.0,741,1000.0,-88.92000000000337,-0.08892000000000337,stop,False
Round-Number,QCOM,2020-01-21,short,2020-01-21T09:42:00,2020-01-21T09:44:00,94.87,95.1,95.1,90.0,728,1000.0,-167.43999999999255,-0.16743999999999254,stop,False
Round-Number,ORCL,2020-01-21,short,2020-01-21T09:45:00,2020-01-21T10:04:00,54.99,55.1,55.1,50.0,80,1000.0,-8.799999999999955,-0.008799999999999954,stop,False
Round-Number,ROKU,2020-01-21,long,2020-01-21T09:50:00,2020-01-21T09:51:00,135.08,134.9,134.9,140.0,576,1000.0,-103.68000000000393,-0.10368000000000394,stop,False
Round-Number,QCOM,2020-01-22,short,2020-01-22T09:37:00,2020-01-22T09:39:00,94.795,95.1,95.1,90.0,377,1000.0,-114.98499999999721,-0.11498499999999721,stop,False
