date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-02,CCL,2026-01-02 15:22:00+00:00,30.41,2026-01-02 17:16:00+00:00,31.19,686,535.08,2.5649,target_sell_zone,114.0,31.45,30.27,1.18,31.6,46196.0
2026-01-05,TEVA,2026-01-05 15:10:00+00:00,30.57,2026-01-05 20:45:00+00:00,30.95,792,300.96,1.243,time_stop,335.0,31.73,30.47,1.26,26.7,29904.0
2026-01-05,LYFT,2026-01-05 17:36:00+00:00,19.12,2026-01-05 20:45:00+00:00,19.3,975,175.5,0.9414,time_stop,189.0,19.96,19.01,0.95,21.6,85601.0
2026-01-05,HPE,2026-01-05 15:01:00+00:00,23.87,2026-01-05 20:45:00+00:00,24.02,773,115.95,0.6284,time_stop,344.0,24.53,23.73,0.8,31.0,29769.0
2026-01-06,KO,2026-01-06 15:57:00+00:00,67.78,2026-01-06 20:45:00+00:00,67.84,401,24.06,0.0885,time_stop,288.0,70.24,67.62,2.62,30.3,47497.0
2026-01-06,CSCO,2026-01-06 15:56:00+00:00,75.2,2026-01-06 20:45:00+00:00,75.37,261,44.37,0.2261,time_stop,289.0,77.93,74.81,3.12,32.1,29061.0
2026-01-06,VZ,2026-01-06 15:15:00+00:00,40.05,2026-01-06 20:45:00+00:00,40.2,477,71.55,0.3745,time_stop,330.0,40.96,39.83,1.13,34.0,82456.0
2026-01-07,RBLX,2026-01-07 17:43:00+00:00,76.38,2026-01-07 20:45:00+00:00,76.41,110,3.3,0.0393,time_stop,182.0,82.38,74.95,7.43,30.3,8696.0
2026-01-07,KO,2026-01-07 18:35:00+00:00,67.36,2026-01-07 20:45:00+00:00,67.47,469,51.59,0.1633,time_stop,130.0,70.16,67.27,2.89,28.1,40756.0
2026-01-08,MRVL,2026-01-08 18:56:00+00:00,83.26,2026-01-08 20:45:00+00:00,83.29,251,7.53,0.036,time_stop,109.0,94.2,82.88,11.32,32.4,5594.0
2026-01-08,LYFT,2026-01-08 19:05:00+00:00,19.17,2026-01-08 20:45:00+00:00,19.42,784,196.0,1.3041,time_stop,100.0,20.15,19.01,1.14,28.8,14040.0
2026-01-08,WBD,2026-01-08 15:30:00+00:00,28.11,2026-01-08 20:45:00+00:00,28.39,998,279.44,0.9961,time_stop,315.0,28.92,28.05,0.87,20.7,441811.0
2026-01-08,PYPL,2026-01-08 16:11:00+00:00,58.15,2026-01-08 20:45:00+00:00,58.37,253,55.66,0.3783,time_stop,274.0,60.14,57.65,2.49,34.2,22633.0
2026-01-09,MRVL,2026-01-09 15:05:00+00:00,82.54,2026-01-09 20:45:00+00:00,83.43,262,233.18,1.0783,time_stop,340.0,94.2,82.19,12.01,33.2,32453.0
2026-01-09,LYFT,2026-01-09 15:10:00+00:00,19.03,2026-01-09 20:45:00+00:00,19.18,1291,193.65,0.7882,time_stop,335.0,20.15,18.97,1.18,34.0,41715.0
2026-01-12,PYPL,2026-01-12 17:46:00+00:00,57.45,2026-01-12 20:45:00+00:00,57.29,205,-32.8,-0.2785,time_stop,179.0,60.14,56.76,3.38,31.6,22648.0
2026-01-12,WBD,2026-01-12 15:25:00+00:00,28.29,2026-01-12 20:45:00+00:00,28.44,525,78.75,0.5302,time_stop,320.0,29.04,28.05,0.99,24.9,95817.0
