date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-02,CCL,2026-01-02 15:22:00+00:00,30.41,2026-01-02 16:12:00+00:00,30.88,686,322.42,1.5455,midbox_target,50.0,31.45,30.27,1.18,31.6,46196.0
2026-01-05,TEVA,2026-01-05 15:10:00+00:00,30.57,2026-01-05 20:45:00+00:00,30.95,792,300.96,1.243,time_stop,335.0,31.73,30.47,1.26,26.7,29904.0
2026-01-05,LYFT,2026-01-05 17:36:00+00:00,19.12,2026-01-05 20:45:00+00:00,19.3,975,175.5,0.9414,time_stop,189.0,19.96,19.01,0.95,21.6,85601.0
2026-01-05,HPE,2026-01-05 15:01:00+00:00,23.87,2026-01-05 15:29:00+00:00,24.16,773,224.17,1.2149,midbox_target,28.0,24.53,23.73,0.8,31.0,29769.0
2026-01-06,KO,2026-01-06 15:57:00+00:00,67.78,2026-01-06 20:45:00+00:00,67.84,401,24.06,0.0885,time_stop,288.0,70.24,67.62,2.62,30.3,47497.0
2026-01-06,VZ,2026-01-06 15:15:00+00:00,40.05,2026-01-06 20:45:00+00:00,40.2,477,71.55,0.3745,time_stop,330.0,40.96,39.83,1.13,34.0,82456.0
2026-01-07,KO,2026-01-07 18:35:00+00:00,67.36,2026-01-07 20:45:00+00:00,67.47,469,51.59,0.1633,time_stop,130.0,70.16,67.27,2.89,28.1,40756.0
2026-01-08,LYFT,2026-01-08 19:05:00+00:00,19.17,2026-01-08 20:45:00+00:00,19.42,784,196.0,1.3041,time_stop,100.0,20.15,19.01,1.14,28.8,14040.0
2026-01-08,WBD,2026-01-08 15:30:00+00:00,28.11,2026-01-08 17:08:00+00:00,28.49,998,379.24,1.3518,midbox_target,98.0,28.92,28.05,0.87,20.7,441811.0
2026-01-08,PYPL,2026-01-08 16:11:00+00:00,58.15,2026-01-08 17:34:00+00:00,58.91,253,192.28,1.307,midbox_target,83.0,60.14,57.65,2.49,34.2,22633.0
2026-01-12,WBD,2026-01-12 15:25:00+00:00,28.29,2026-01-12 20:45:00+00:00,28.44,525,78.75,0.5302,time_stop,320.0,29.04,28.05,0.99,24.9,95817.0
2026-01-13,KEY,2026-01-13 19:04:00+00:00,20.98,2026-01-13 20:45:00+00:00,20.82,729,-116.64,-0.7626,time_stop,101.0,21.75,20.81,0.94,33.0,32874.0
2026-01-13,TFC,2026-01-13 19:11:00+00:00,49.88,2026-01-13 20:45:00+00:00,49.54,308,-104.72,-0.6816,time_stop,94.0,51.52,49.48,2.04,26.1,10778.0
2026-01-13,BAC,2026-01-13 15:01:00+00:00,54.85,2026-01-13 20:45:00+00:00,54.32,243,-128.79,-0.9663,time_stop,344.0,56.81,54.3,2.51,30.7,115778.0
2026-01-14,GM,2026-01-14 15:45:00+00:00,81.84,2026-01-14 20:45:00+00:00,81.32,154,-80.08,-0.6354,time_stop,300.0,85.18,80.95,4.23,34.4,13009.0
2026-01-14,HPE,2026-01-14 19:16:00+00:00,21.94,2026-01-14 20:45:00+00:00,22.05,692,76.12,0.5014,time_stop,89.0,22.72,21.76,0.96,25.2,53531.0
2026-01-15,GM,2026-01-15 18:20:00+00:00,81.16,2026-01-15 20:45:00+00:00,80.68,209,-100.32,-0.5914,time_stop,145.0,84.41,80.61,3.8,28.5,4777.0
2026-01-16,GM,2026-01-16 15:03:00+00:00,80.56,2026-01-16 20:45:00+00:00,80.83,273,73.71,0.3352,time_stop,342.0,83.86,80.23,3.63,33.8,16383.0
2026-01-16,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 17:41:00+00:00,26.64,488,214.72,1.6794,midbox_target,118.0,27.33,25.92,1.41,34.5,140330.0
2026-01-16,VZ,2026-01-16 16:44:00+00:00,39.02,2026-01-16 20:45:00+00:00,39.02,483,0,0,time_stop,241.0,40.06,38.8,1.26,27.0,80571.0
2026-01-19,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 17:41:00+00:00,26.64,488,214.72,1.6794,midbox_target,118.0,27.33,25.92,1.41,34.5,140330.0
2026-01-20,UBER,2026-01-20 17:36:00+00:00,83.17,2026-01-20 20:45:00+00:00,83.2,162,4.86,0.0361,time_stop,189.0,86.35,82.35,4.0,32.5,31326.0
2026-01-21,UBER,2026-01-21 18:08:00+00:00,83.31,2026-01-21 18:33:00+00:00,84.44,145,163.85,1.3564,midbox_target,25.0,86.35,82.35,4.0,24.1,21952.0
2026-01-23,UBER,2026-01-23 18:18:00+00:00,82.17,2026-01-23 20:45:00+00:00,81.88,180,-52.2,-0.3529,time_stop,147.0,85.61,81.47,4.14,31.7,14088.0
2026-01-23,WFC,2026-01-23 15:43:00+00:00,86.71,2026-01-23 20:45:00+00:00,87.0,180,52.2,0.3344,time_stop,302.0,89.7,86.03,3.67,31.1,36255.0
2026-01-28,WBD,2026-01-28 15:17:00+00:00,27.94,2026-01-28 20:45:00+00:00,28.03,1253,112.77,0.3221,time_stop,328.0,28.7,27.92,0.78,33.9,82071.0
2026-01-28,USB,2026-01-28 18:01:00+00:00,55.61,2026-01-28 19:31:00+00:00,56.02,329,134.89,0.7373,midbox_target,90.0,56.7,55.28,1.42,33.8,15808.0
2026-01-29,JD,2026-01-29 15:54:00+00:00,28.91,2026-01-29 20:45:00+00:00,28.98,854,59.78,0.2421,time_stop,291.0,30.02,28.82,1.2,34.3,27314.0
2026-02-05,WBD,2026-02-05 15:09:00+00:00,26.86,2026-02-05 20:45:00+00:00,26.85,522,-5.22,-0.0372,time_stop,336.0,27.87,26.61,1.26,34.6,56033.0
2026-02-10,BAC,2026-02-10 18:34:00+00:00,54.8,2026-02-10 20:31:00+00:00,55.56,243,184.68,1.3869,midbox_target,117.0,56.87,54.25,2.62,26.6,219440.0
