date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-01-05,GM,7.6,83.38,79.56,4.8,21.2,3,2,0.53,0.07,2.57,3268713,80.37,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,U,7.03,46.29,43.78,5.73,25.1,2,3,0.533,0.63,0.62,3082409,44.41,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,TEVA,6.59,31.73,30.47,4.14,22.2,4,2,0.764,0.4,3.28,5625406,30.75,1,300.96,300.96,300.96,1.0,335.0,time_stop,
2026-01-05,JD,6.44,29.87,28.51,4.77,41.9,2,3,0.669,0.17,-0.6,8229670,29.08,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,LYFT,5.78,19.96,19.01,5.0,47.4,2,4,0.758,0.96,-3.09,5674857,19.46,1,175.5,175.5,175.5,1.0,189.0,time_stop,
2026-01-05,HPE,5.61,24.53,23.73,3.37,25.0,4,3,0.725,1.14,2.07,9244940,23.93,1,224.17,224.17,224.17,1.0,28.0,midbox_target,
2026-01-06,KO,7.77,70.24,67.62,3.87,10.7,3,2,0.51,0.19,-0.64,8714195,67.9,1,24.06,24.06,24.06,1.0,288.0,time_stop,
2026-01-06,TFC,7.25,51.27,48.83,5.0,65.6,2,3,0.336,0.11,1.49,3451190,50.43,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,GME,7.15,20.91,19.99,4.6,80.4,3,2,0.221,0.33,-2.74,3468765,20.73,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,PYPL,6.92,60.11,57.65,4.27,66.7,3,2,0.34,0.15,-1.32,8863619,59.29,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,PINS,6.76,27.21,25.72,5.79,88.6,2,3,0.545,0.2,-0.58,8621754,27.04,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,LUV,6.69,43.2,40.85,5.75,75.3,2,4,0.512,0.38,3.7,4339427,42.62,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,BAC,6.65,57.55,54.88,4.87,74.5,2,3,0.553,0.25,1.07,16742321,56.87,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,VZ,5.58,40.96,39.83,2.84,39.8,3,2,0.75,0.08,-0.31,18661297,40.28,1,71.55,71.55,71.55,1.0,330.0,time_stop,
2026-01-07,KMI,7.39,28.0,26.59,5.3,29.1,3,2,0.389,0.22,0.0,10078435,27.0,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,KO,7.36,70.16,67.27,4.3,12.5,2,3,0.756,0.2,-0.7,10072209,67.63,1,51.59,51.59,51.59,1.0,130.0,time_stop,
2026-01-07,PFE,6.68,26.01,24.83,4.75,82.2,2,3,0.474,0.36,-0.44,34076209,25.8,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,LUV,6.54,43.2,40.85,5.75,84.3,3,3,0.65,0.21,3.44,4694459,42.83,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,T,6.49,24.97,23.87,4.61,47.3,3,2,0.645,0.09,-0.8,25501362,24.39,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,GM,6.44,83.38,79.56,4.8,62.6,3,2,0.641,0.27,2.13,4097503,81.95,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,TFC,6.4,51.27,48.83,5.0,76.6,3,3,0.699,0.27,1.47,3664950,50.7,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-07,LYFT,6.34,20.15,19.01,6.0,83.3,3,3,0.641,0.5,-3.6,6143930,19.96,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-08,LYFT,7.19,20.15,19.01,6.0,14.9,3,3,0.662,0.85,-3.49,6711563,19.18,1,196.0,196.0,196.0,1.0,100.0,time_stop,
2026-01-08,WBD,6.77,28.92,28.05,3.1,50.6,3,2,0.196,0.11,2.08,17364592,28.49,1,379.24,379.24,379.24,1.0,98.0,midbox_target,
2026-01-08,PYPL,6.69,60.14,57.65,4.32,28.5,3,3,0.525,0.48,-1.09,9342870,58.36,1,192.28,192.28,192.28,1.0,83.0,midbox_target,
2026-01-08,TFC,6.25,51.52,48.83,5.51,79.9,4,2,0.734,0.37,1.5,4210897,50.98,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-08,T,5.83,24.81,23.87,3.94,36.2,2,3,0.699,0.47,-0.73,28143569,24.21,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-12,PINS,6.36,27.68,26.51,4.41,51.3,3,3,0.541,0.43,-0.08,7137946,27.11,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-12,WBD,6.19,29.04,28.05,3.53,43.4,2,4,0.557,0.15,0.36,18088905,28.48,1,78.75,78.75,78.75,1.0,320.0,time_stop,
2026-01-12,TFC,6.08,51.52,49.8,3.45,28.5,4,2,0.676,0.43,1.11,5049748,50.29,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-13,GM,7.15,85.18,81.0,5.16,45.9,2,3,0.416,0.03,1.27,4896692,82.92,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-13,KEY,6.85,21.75,20.81,4.52,26.6,3,2,0.678,0.11,1.12,11956025,21.06,1,-116.64,-116.64,-116.64,0.0,101.0,time_stop,
2026-01-13,PFE,6.83,25.81,24.97,3.36,16.7,3,4,0.723,0.15,-0.41,34476264,25.11,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-13,TFC,6.7,51.52,49.48,4.12,29.4,3,2,0.582,0.14,0.72,5187429,50.08,1,-104.72,-104.72,-104.72,0.0,94.0,time_stop,
2026-01-13,BAC,6.68,56.81,54.3,4.62,22.7,3,2,0.776,0.5,0.56,26258512,54.87,1,-128.79,-128.79,-128.79,0.0,344.0,time_stop,
2026-01-13,KO,6.49,71.24,67.27,5.9,85.9,3,2,0.707,0.13,-0.07,12321607,70.68,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-13,KMI,6.3,27.51,26.69,3.07,61.0,4,3,0.44,0.07,0.17,9618127,27.19,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-14,USB,8.01,55.98,53.22,5.19,2.9,2,3,0.762,0.43,0.63,7628984,53.3,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-14,GM,6.26,85.18,80.95,5.23,38.8,2,3,0.736,0.36,0.84,5115027,82.59,1,-80.08,-80.08,-80.08,0.0,300.0,time_stop,
2026-01-14,HPE,6.16,22.72,21.76,4.41,69.8,2,4,0.557,0.65,-2.44,12032352,22.43,1,76.12,76.12,76.12,1.0,89.0,time_stop,
2026-01-14,PFE,5.81,25.77,24.97,3.2,58.8,4,4,0.535,0.53,-0.48,34173772,25.44,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-15,GM,7.36,84.41,80.61,4.71,21.1,3,4,0.567,0.25,0.3,4346987,81.41,1,-100.32,-100.32,-100.32,0.0,145.0,time_stop,
2026-01-15,HPE,6.05,22.72,21.76,4.41,52.1,3,4,0.77,0.29,-2.37,10275087,22.26,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-15,PFE,5.67,25.89,24.97,3.68,38.0,3,3,0.762,0.4,-0.4,36839967,25.32,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-19,SOFI,7.08,27.33,25.92,5.44,14.9,4,2,0.703,0.89,0.18,36264384,26.13,1,214.72,214.72,214.72,1.0,118.0,midbox_target,
2026-01-19,TFC,5.75,50.7,49.28,2.88,50.7,4,2,0.626,0.2,0.07,5293880,50.0,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-19,PYPL,5.54,57.87,56.24,2.9,39.9,4,5,0.636,0.47,-1.72,10548754,56.89,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-20,UBER,8.15,86.35,82.35,4.86,6.2,3,3,0.557,0.43,0.99,10623011,82.6,1,4.86,4.86,4.86,1.0,189.0,time_stop,
2026-01-20,VZ,7.67,39.92,38.68,3.21,3.2,3,3,0.604,0.3,-0.93,23731212,38.72,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-20,GME,7.19,21.47,20.69,3.77,20.5,2,4,0.474,0.26,-1.31,2847412,20.85,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-20,KO,6.95,71.78,69.79,2.85,12.1,4,4,0.7,0.13,0.18,11311274,70.03,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-20,CSCO,6.12,76.05,73.21,3.88,40.1,3,3,0.607,0.29,-0.84,10321572,74.35,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-21,UBER,6.13,86.35,82.35,4.86,41.5,3,4,0.743,0.44,1.27,11505544,84.01,1,163.85,163.85,163.85,1.0,25.0,midbox_target,
2026-01-21,VZ,6.07,39.86,38.68,3.05,29.7,2,3,0.608,0.32,-0.77,20974007,39.03,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-21,PFE,6.06,25.92,25.08,3.35,45.2,4,3,0.558,0.22,0.26,38974648,25.46,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-21,BAC,5.99,53.48,51.66,3.52,51.1,4,3,0.67,0.1,-1.08,36315655,52.59,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-21,KO,5.66,72.24,69.79,3.51,73.9,4,3,0.707,0.44,0.26,10969235,71.6,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,OWL,6.94,16.12,15.27,5.57,72.9,3,2,0.466,0.17,0.18,7500579,15.89,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,VZ,6.43,39.86,38.68,3.05,61.9,2,3,0.341,0.15,-0.72,19828034,39.41,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,KO,6.05,72.24,69.79,3.51,69.4,4,3,0.551,0.33,0.35,10688584,71.49,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,WBD,6.05,28.86,28.07,2.81,62.0,5,3,0.513,0.06,0.17,13895946,28.56,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,WFC,6.05,89.91,86.03,4.51,42.0,2,3,0.767,0.34,-1.35,13107354,87.66,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-22,BAC,5.83,53.48,51.96,2.93,56.6,4,5,0.669,0.0,-1.14,28877104,52.82,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,UBER,7.58,85.61,81.47,5.08,19.8,2,3,0.472,0.46,0.75,12039504,82.29,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,PYPL,6.49,57.55,55.01,4.62,63.0,3,2,0.573,0.28,-1.47,9169962,56.61,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,WBD,6.21,28.84,28.07,2.74,49.4,4,5,0.418,0.06,-0.1,12784628,28.45,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,WFC,6.21,89.0,86.03,3.45,59.3,3,4,0.573,0.03,-1.74,10756300,87.79,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,CCL,6.18,28.97,27.76,4.36,63.6,4,2,0.679,0.27,-2.03,11721142,28.53,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,VZ,6.0,39.8,38.68,2.9,85.7,3,3,0.53,0.13,-0.44,16591279,39.64,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,KEY,7.65,22.07,21.05,4.85,21.6,2,4,0.397,0.35,0.36,12849406,21.27,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,OXY,6.9,44.79,42.35,5.76,78.7,3,2,0.537,0.04,2.33,6052762,44.27,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,BAC,6.54,53.13,51.38,3.41,34.3,2,3,0.397,0.1,-1.73,21486082,51.98,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,USB,6.46,56.7,54.75,3.56,65.6,3,2,0.446,0.09,0.55,10540533,56.03,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,WFC,6.4,89.07,86.03,3.53,61.8,3,3,0.436,0.19,-1.84,10693944,87.91,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,CCL,6.33,28.97,28.02,3.39,44.2,4,2,0.457,0.15,-2.31,10461930,28.44,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,KO,6.07,73.56,70.83,3.85,70.7,3,2,0.678,0.15,0.91,9165571,72.76,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,VZ,5.39,39.8,38.96,2.16,50.0,4,4,0.612,0.33,-0.42,16011182,39.38,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,WBD,7.05,28.7,27.92,2.79,23.1,3,2,0.338,0.09,-0.61,10030934,28.1,1,112.77,112.77,112.77,1.0,328.0,time_stop,
2026-01-28,KMI,6.96,30.31,28.93,4.77,60.9,2,3,0.411,0.17,2.25,13625585,29.77,0,0.0,0.0,0.0,0.0,0.0,,
