date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-02,CCL,2026-01-02 15:22:00+00:00,30.41,2026-01-02 15:34:00+00:00,30.59,514,92.52,0.5919,tiered_vwap_partial,12.0,31.45,30.27,1.18,31.6,46196.0
2026-01-02,CCL,2026-01-02 15:22:00+00:00,30.41,2026-01-02 20:41:00+00:00,30.86,172,77.4,1.4798,trailing_stop,319.0,31.45,30.27,1.18,31.6,46196.0
2026-01-05,TEVA,2026-01-05 15:10:00+00:00,30.57,2026-01-05 15:36:00+00:00,30.78,594,124.74,0.6869,tiered_vwap_partial,26.0,31.73,30.47,1.26,26.7,29904.0
2026-01-05,TEVA,2026-01-05 15:10:00+00:00,30.57,2026-01-05 20:45:00+00:00,30.95,198,75.24,1.243,time_stop,335.0,31.73,30.47,1.26,26.7,29904.0
2026-01-05,LYFT,2026-01-05 17:36:00+00:00,19.12,2026-01-05 20:45:00+00:00,19.3,975,175.5,0.9414,time_stop,189.0,19.96,19.01,0.95,21.6,85601.0
2026-01-05,HPE,2026-01-05 15:01:00+00:00,23.87,2026-01-05 15:22:00+00:00,24.07,579,115.8,0.8379,tiered_vwap_partial,21.0,24.53,23.73,0.8,31.0,29769.0
2026-01-05,HPE,2026-01-05 15:01:00+00:00,23.87,2026-01-05 20:45:00+00:00,24.02,194,29.1,0.6284,time_stop,344.0,24.53,23.73,0.8,31.0,29769.0
2026-01-06,KO,2026-01-06 15:57:00+00:00,67.78,2026-01-06 16:34:00+00:00,67.97,300,57.0,0.2803,tiered_vwap_partial,37.0,70.24,67.62,2.62,30.3,47497.0
2026-01-06,KO,2026-01-06 15:57:00+00:00,67.78,2026-01-06 20:45:00+00:00,67.84,101,6.06,0.0885,time_stop,288.0,70.24,67.62,2.62,30.3,47497.0
2026-01-06,CSCO,2026-01-06 15:56:00+00:00,75.2,2026-01-06 18:33:00+00:00,75.26,195,11.7,0.0798,tiered_vwap_partial,157.0,77.93,74.81,3.12,32.1,29061.0
2026-01-06,CSCO,2026-01-06 15:56:00+00:00,75.2,2026-01-06 20:45:00+00:00,75.37,66,11.22,0.2261,time_stop,289.0,77.93,74.81,3.12,32.1,29061.0
2026-01-06,VZ,2026-01-06 15:15:00+00:00,40.05,2026-01-06 17:42:00+00:00,40.13,357,28.56,0.1998,tiered_vwap_partial,147.0,40.96,39.83,1.13,34.0,82456.0
2026-01-06,VZ,2026-01-06 15:15:00+00:00,40.05,2026-01-06 20:45:00+00:00,40.2,120,18.0,0.3745,time_stop,330.0,40.96,39.83,1.13,34.0,82456.0
2026-01-07,RBLX,2026-01-07 17:43:00+00:00,76.38,2026-01-07 17:56:00+00:00,76.58,82,16.4,0.2618,tiered_vwap_partial,13.0,82.38,74.95,7.43,30.3,8696.0
2026-01-07,RBLX,2026-01-07 17:43:00+00:00,76.38,2026-01-07 20:45:00+00:00,76.41,28,0.84,0.0393,time_stop,182.0,82.38,74.95,7.43,30.3,8696.0
2026-01-07,KO,2026-01-07 18:35:00+00:00,67.36,2026-01-07 20:05:00+00:00,67.59,351,80.73,0.3414,tiered_vwap_partial,90.0,70.16,67.27,2.89,28.1,40756.0
2026-01-07,KO,2026-01-07 18:35:00+00:00,67.36,2026-01-07 20:45:00+00:00,67.47,118,12.98,0.1633,time_stop,130.0,70.16,67.27,2.89,28.1,40756.0
2026-01-08,MRVL,2026-01-08 18:56:00+00:00,83.26,2026-01-08 20:45:00+00:00,83.29,251,7.53,0.036,time_stop,109.0,94.2,82.88,11.32,32.4,5594.0
2026-01-08,LYFT,2026-01-08 19:05:00+00:00,19.17,2026-01-08 20:16:00+00:00,19.3,588,76.44,0.6781,tiered_vwap_partial,71.0,20.15,19.01,1.14,28.8,14040.0
2026-01-08,LYFT,2026-01-08 19:05:00+00:00,19.17,2026-01-08 20:45:00+00:00,19.42,196,49.0,1.3041,time_stop,100.0,20.15,19.01,1.14,28.8,14040.0
2026-01-08,WBD,2026-01-08 15:30:00+00:00,28.11,2026-01-08 15:51:00+00:00,28.29,748,134.64,0.6403,tiered_vwap_partial,21.0,28.92,28.05,0.87,20.7,441811.0
2026-01-08,WBD,2026-01-08 15:30:00+00:00,28.11,2026-01-08 20:45:00+00:00,28.39,250,70.0,0.9961,time_stop,315.0,28.92,28.05,0.87,20.7,441811.0
2026-01-08,PYPL,2026-01-08 16:11:00+00:00,58.15,2026-01-08 16:13:00+00:00,58.19,189,7.56,0.0688,tiered_vwap_partial,2.0,60.14,57.65,2.49,34.2,22633.0
2026-01-08,PYPL,2026-01-08 16:11:00+00:00,58.15,2026-01-08 20:45:00+00:00,58.37,64,14.08,0.3783,time_stop,274.0,60.14,57.65,2.49,34.2,22633.0
2026-01-09,MRVL,2026-01-09 15:05:00+00:00,82.54,2026-01-09 15:15:00+00:00,83.19,196,127.4,0.7875,tiered_vwap_partial,10.0,94.2,82.19,12.01,33.2,32453.0
2026-01-09,MRVL,2026-01-09 15:05:00+00:00,82.54,2026-01-09 20:45:00+00:00,83.43,66,58.74,1.0783,time_stop,340.0,94.2,82.19,12.01,33.2,32453.0
2026-01-09,LYFT,2026-01-09 15:10:00+00:00,19.03,2026-01-09 16:10:00+00:00,19.16,968,125.84,0.6831,tiered_vwap_partial,60.0,20.15,18.97,1.18,34.0,41715.0
2026-01-09,LYFT,2026-01-09 15:10:00+00:00,19.03,2026-01-09 20:45:00+00:00,19.18,323,48.45,0.7882,time_stop,335.0,20.15,18.97,1.18,34.0,41715.0
2026-01-12,PYPL,2026-01-12 17:46:00+00:00,57.45,2026-01-12 20:45:00+00:00,57.29,205,-32.8,-0.2785,time_stop,179.0,60.14,56.76,3.38,31.6,22648.0
2026-01-12,WBD,2026-01-12 15:25:00+00:00,28.29,2026-01-12 15:53:00+00:00,28.45,393,62.88,0.5656,tiered_vwap_partial,28.0,29.04,28.05,0.99,24.9,95817.0
2026-01-12,WBD,2026-01-12 15:25:00+00:00,28.29,2026-01-12 20:45:00+00:00,28.44,132,19.8,0.5302,time_stop,320.0,29.04,28.05,0.99,24.9,95817.0
2026-01-13,DKNG,2026-01-13 15:07:00+00:00,34.35,2026-01-13 16:09:00+00:00,34.47,272,32.64,0.3493,tiered_vwap_partial,62.0,36.95,33.97,2.98,33.6,26384.0
2026-01-13,DKNG,2026-01-13 15:07:00+00:00,34.35,2026-01-13 20:45:00+00:00,34.05,91,-27.3,-0.8734,time_stop,338.0,36.95,33.97,2.98,33.6,26384.0
2026-01-13,KEY,2026-01-13 19:04:00+00:00,20.98,2026-01-13 20:45:00+00:00,20.82,729,-116.64,-0.7626,time_stop,101.0,21.75,20.81,0.94,33.0,32874.0
2026-01-13,TFC,2026-01-13 19:11:00+00:00,49.88,2026-01-13 20:45:00+00:00,49.54,308,-104.72,-0.6816,time_stop,94.0,51.52,49.48,2.04,26.1,10778.0
2026-01-13,BAC,2026-01-13 15:01:00+00:00,54.85,2026-01-13 15:32:00+00:00,54.93,182,14.56,0.1459,tiered_vwap_partial,31.0,56.81,54.3,2.51,30.7,115778.0
2026-01-13,BAC,2026-01-13 15:01:00+00:00,54.85,2026-01-13 20:45:00+00:00,54.32,61,-32.33,-0.9663,time_stop,344.0,56.81,54.3,2.51,30.7,115778.0
2026-01-13,OWL,2026-01-13 16:27:00+00:00,15.32,2026-01-13 20:45:00+00:00,15.23,725,-65.25,-0.5875,time_stop,258.0,16.11,15.12,0.99,22.9,34170.0
2026-01-13,LCID,2026-01-13 15:10:00+00:00,10.91,2026-01-13 19:56:00+00:00,11.025,670,77.05,1.0541,tiered_vwap_partial,286.0,11.61,10.74,0.87,27.2,34869.0
2026-01-13,LCID,2026-01-13 15:10:00+00:00,10.91,2026-01-13 20:45:00+00:00,10.955,224,10.08,0.4125,time_stop,335.0,11.61,10.74,0.87,27.2,34869.0
2026-01-14,DKNG,2026-01-14 19:21:00+00:00,34.3,2026-01-14 20:45:00+00:00,34.46,263,42.08,0.4665,time_stop,84.0,36.95,33.71,3.24,33.2,73271.0
2026-01-14,OWL,2026-01-14 15:54:00+00:00,15.27,2026-01-14 15:57:00+00:00,15.33,525,31.5,0.3929,tiered_vwap_partial,3.0,16.06,15.06,1.0,25.7,21577.0
2026-01-14,OWL,2026-01-14 15:54:00+00:00,15.27,2026-01-14 20:45:00+00:00,15.46,176,33.44,1.2443,time_stop,291.0,16.06,15.06,1.0,25.7,21577.0
2026-01-14,OKTA,2026-01-14 19:07:00+00:00,92.65,2026-01-14 20:45:00+00:00,93.17,99,51.48,0.5613,time_stop,98.0,97.36,91.1,6.26,30.4,2145.0
2026-01-14,GM,2026-01-14 15:45:00+00:00,81.84,2026-01-14 20:45:00+00:00,81.32,154,-80.08,-0.6354,time_stop,300.0,85.18,80.95,4.23,34.4,13009.0
2026-01-14,HPE,2026-01-14 19:16:00+00:00,21.94,2026-01-14 20:45:00+00:00,22.05,692,76.12,0.5014,time_stop,89.0,22.72,21.76,0.96,25.2,53531.0
2026-01-15,GM,2026-01-15 18:20:00+00:00,81.16,2026-01-15 20:45:00+00:00,80.68,209,-100.32,-0.5914,time_stop,145.0,84.41,80.61,3.8,28.5,4777.0
2026-01-15,CCL,2026-01-15 17:56:00+00:00,29.7,2026-01-15 20:45:00+00:00,29.44,419,-108.94,-0.8754,time_stop,169.0,32.18,29.37,2.81,30.7,28180.0
2026-01-16,GM,2026-01-16 15:03:00+00:00,80.56,2026-01-16 15:49:00+00:00,80.78,204,44.88,0.2731,tiered_vwap_partial,46.0,83.86,80.23,3.63,33.8,16383.0
2026-01-16,GM,2026-01-16 15:03:00+00:00,80.56,2026-01-16 20:45:00+00:00,80.83,69,18.63,0.3352,time_stop,342.0,83.86,80.23,3.63,33.8,16383.0
2026-01-16,ENPH,2026-01-16 16:53:00+00:00,35.23,2026-01-16 17:41:00+00:00,35.36,213,27.69,0.369,tiered_vwap_partial,48.0,37.65,34.7,2.95,29.8,13246.0
2026-01-16,ENPH,2026-01-16 16:53:00+00:00,35.23,2026-01-16 20:45:00+00:00,35.31,71,5.68,0.2271,time_stop,232.0,37.65,34.7,2.95,29.8,13246.0
2026-01-16,WFC,2026-01-16 18:45:00+00:00,89.11,2026-01-16 20:45:00+00:00,88.19,134,-123.28,-1.0324,time_stop,120.0,95.75,88.06,7.69,27.0,30606.0
2026-01-16,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 15:57:00+00:00,26.38,366,65.88,0.687,tiered_vwap_partial,14.0,27.33,25.92,1.41,34.5,140330.0
2026-01-16,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 20:45:00+00:00,26.04,122,-19.52,-0.6107,time_stop,302.0,27.33,25.92,1.41,34.5,140330.0
