date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-01-02,GME,8.14,21.5,19.99,7.55,19.9,2,2,0.284,0.21,-2.27,3701467,20.29,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,WFC,7.1,95.61,92.8,3.03,19.6,5,2,0.39,0.28,2.21,3849283,93.35,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,KEY,6.92,21.25,20.49,3.71,22.4,3,2,0.545,0.26,3.03,7278041,20.66,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,BAC,6.74,56.55,54.88,3.04,21.6,3,4,0.492,0.34,0.97,12933150,55.24,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,TFC,6.72,50.8,48.83,4.03,20.8,2,2,0.771,0.27,1.63,2449072,49.24,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,KMI,6.66,27.9,27.08,3.03,15.9,2,3,0.709,0.3,0.33,5497609,27.21,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,CCL,6.39,31.45,30.27,3.9,39.0,2,3,0.437,0.39,4.46,7360922,30.73,2,169.92,92.52,77.4,1.0,165.5,tiered_vwap_partial|trailing_stop,
2026-01-02,LYFT,6.03,19.88,19.07,4.25,86.4,2,4,0.533,0.81,-2.39,4764247,19.77,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-02,LUV,5.21,41.84,40.85,2.42,49.5,5,5,0.79,0.34,3.92,3599783,41.34,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,GM,7.6,83.38,79.56,4.8,21.2,3,2,0.53,0.07,2.57,3268713,80.37,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,U,7.03,46.29,43.78,5.73,25.1,2,3,0.533,0.63,0.62,3082409,44.41,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,TEVA,6.59,31.73,30.47,4.14,22.2,4,2,0.764,0.4,3.28,5625406,30.75,2,199.98,124.74,75.24,1.0,180.5,tiered_vwap_partial|time_stop,
2026-01-05,JD,6.44,29.87,28.51,4.77,41.9,2,3,0.669,0.17,-0.6,8229670,29.08,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-05,LYFT,5.78,19.96,19.01,5.0,47.4,2,4,0.758,0.96,-3.09,5674857,19.46,1,175.5,175.5,175.5,1.0,189.0,time_stop,
2026-01-05,HPE,5.61,24.53,23.73,3.37,25.0,4,3,0.725,1.14,2.07,9244940,23.93,2,144.9,115.8,29.1,1.0,182.5,tiered_vwap_partial|time_stop,
2026-01-06,KO,7.77,70.24,67.62,3.87,10.7,3,2,0.51,0.19,-0.64,8714195,67.9,2,63.06,57.0,6.06,1.0,162.5,tiered_vwap_partial|time_stop,
2026-01-06,CSCO,7.53,77.93,74.81,4.17,18.9,2,2,0.509,0.05,-0.33,7934716,75.4,2,22.92,11.7,11.22,1.0,223.0,tiered_vwap_partial|time_stop,
2026-01-06,DOCU,7.52,69.77,64.05,8.93,15.7,2,3,0.672,0.32,-0.92,1485831,64.95,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,TFC,7.25,51.27,48.83,5.0,65.6,2,3,0.336,0.11,1.49,3451190,50.43,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,GME,7.15,20.91,19.99,4.6,80.4,3,2,0.221,0.33,-2.74,3468765,20.73,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,PATH,7.12,17.33,15.49,11.88,33.7,2,2,0.459,0.05,0.56,23868060,16.11,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,AI,7.08,14.21,13.38,6.2,65.1,3,2,0.438,0.06,-1.62,4022450,13.92,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,OWL,6.99,16.16,14.9,8.46,52.4,2,3,0.458,0.12,-0.24,8390105,15.56,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,USB,6.98,56.2,52.99,6.06,78.5,2,2,0.492,0.05,1.94,5338787,55.51,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,PYPL,6.92,60.11,57.65,4.27,66.7,3,2,0.34,0.15,-1.32,8863619,59.29,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,DAL,6.79,73.16,68.5,6.8,68.7,2,3,0.553,0.14,1.5,3394965,71.7,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-06,KEY,6.76,21.74,20.49,6.1,64.0,2,2,0.608,0.03,2.79,10514228,21.29,0,0.0,0.0,0.0,0.0,0.0,,
