symbol,dimension,a_median,a_p95,a_max,a_minutes,b_median,b_p95,b_max,b_minutes,b_over_a,a_value,b_value,delta,price,limit,fill_px
AEHL,tick_density,15.0,94.0,332,841,15.0,84.59999999999991,337,878,1.0,,,,,,
ATRA,tick_density,1.0,16.0,49,716,0.0,14.0,49,800,0.0,,,,,,
CORD,tick_density,19.0,120.29999999999995,257,638,49.0,109.69999999999993,172,683,2.5789473684210527,,,,,,
FCHL,tick_density,4.0,27.0,88,762,4.0,27.0,54,764,1.0,,,,,,
LESL,tick_density,15.0,102.89999999999986,625,832,15.0,98.0,610,864,1.0,,,,,,
LNKS,tick_density,5.0,28.0,70,799,6.0,25.0,48,812,1.2,,,,,,
MOBX,tick_density,25.0,135.04999999999973,520,854,33.0,110.0,308,882,1.32,,,,,,
ONDG,tick_density,14.0,104.29999999999995,397,835,21.0,98.0,255,875,1.5,,,,,,
PIII,tick_density,38.0,176.2,502,209,36.0,117.64999999999998,229,208,0.9473684210526315,,,,,,
QUCY,tick_density,48.0,1470.5,11921,891,61.0,439.65,821,928,1.2708333333333333,,,,,,
SKK,tick_density,4.0,12.949999999999989,22,182,3.0,12.0,23,177,0.75,,,,,,
SKYQ,tick_density,2.0,8.0,22,181,1.0,7.449999999999989,22,172,0.5,,,,,,
SLE,tick_density,89.0,3082.749999999998,14323,662,91.5,549.0,817,690,1.0280898876404494,,,,,,
SST,tick_density,2.0,36.0,100,705,2.0,35.0,55,734,1.0,,,,,,
TEST,tick_density,15.5,37.64999999999999,72,130,15.0,33.69999999999999,44,134,0.967741935483871,,,,,,
AEHL,first_tick_delta_s,,,,,,,,,,-8,89,97,,,
ATRA,first_tick_delta_s,,,,,,,,,,-1,124,125,,,
CORD,first_tick_delta_s,,,,,,,,,,188,18,-170,,,
FCHL,first_tick_delta_s,,,,,,,,,,-8,89,97,,,
LESL,first_tick_delta_s,,,,,,,,,,-13,93,106,,,
LNKS,first_tick_delta_s,,,,,,,,,,-15,89,104,,,
MOBX,first_tick_delta_s,,,,,,,,,,-8,94,102,,,
ONDG,first_tick_delta_s,,,,,,,,,,51,79,28,,,
PIII,first_tick_delta_s,,,,,,,,,,185,410,225,,,
QUCY,first_tick_delta_s,,,,,,,,,,-8,94,102,,,
SKK,first_tick_delta_s,,,,,,,,,,46,290,244,,,
SKYQ,first_tick_delta_s,,,,,,,,,,20,98,78,,,
SLE,first_tick_delta_s,,,,,,,,,,90,80,-10,,,
SST,first_tick_delta_s,,,,,,,,,,82,142,60,,,
TEST,first_tick_delta_s,,,,,,,,,,17,31,14,,,
SLE,trigger_a_only,,,,,,,,,,30720,,,6.02,,
LESL,trigger_a_only,,,,,,,,,,32280,,,4.02,,
SLE,trigger_a_only,,,,,,,,,,33546,,,7.02,,
ONDG,trigger_a_only,,,,,,,,,,34260,,,7.24,,
QUCY,trigger_a_only,,,,,,,,,,36600,,,3.02,,
SLE,trigger_a_only,,,,,,,,,,38760,,,6.02,,
SLE,trigger_a_only,,,,,,,,,,58635,,,5.02,,
SLE,trigger_a_only,,,,,,,,,,59136,,,5.02,,
SLE,trigger_a_only,,,,,,,,,,62198,,,5.02,,
SLE,trigger_a_only,,,,,,,,,,62746,,,5.02,,
SLE,trigger_a_only,,,,,,,,,,63976,,,5.02,,
SLE,trigger_a_only,,,,,,,,,,64214,,,5.02,,
SLE,signal_to_fill_s_a,,,,,,,,,,30720,,1,,6.09,6.1229
LESL,signal_to_fill_s_a,,,,,,,,,,32280,,0,,4.09,4.04
SLE,signal_to_fill_s_a,,,,,,,,,,33546,,0,,7.09,7.0615
LESL,trade_count,,,,,,,,,,1,0,-1,,,
ONDG,trade_count,,,,,,,,,,1,0,-1,,,
QUCY,trade_count,,,,,,,,,,1,0,-1,,,
SLE,trade_count,,,,,,,,,,9,0,-9,,,
