date,sym,giveup_time_et,entry_type,entry_score,entry_qty,entry_limit,entry_stop,entry_r,market_at_giveup,max_chase_cap,chase_pct,fill_price_w_slip,target_2r,target_1p5r,sim_status_2r,sim_exit_price_2r,sim_pnl_2r,sim_status_1p5r,sim_pnl_1p5r,max_excursion_price,max_favorable_pnl,num_retries,latency_sec_submit_to_giveup,latency_sec_inferred,near_resume_boot,broker_oid,log_line,hi_5m,lo_5m,hi_15m,lo_15m,hi_30m,lo_30m,hi_60m,lo_60m,hi_120m,lo_120m
2026-05-04,CLNN,15:40,squeeze,11.0,1913,8.07,7.75,0.27,8.45,8.23,2.0,8.4922,8.99,8.855,stop_hit,7.75,-1419.92,stop_hit,-1419.92,8.67,340.04,0,0,10,False,19494,16258,8.67,8.2,8.67,8.06,8.67,7.66,8.67,7.513,8.67,7.51
2026-05-11,ODYS,08:48:00,squeeze,10.0,1497,10.07,9.9,0.12,11.22,10.27,2.0,11.2761,11.46,11.4,target_hit,11.46,275.3,target_hit,185.48,11.34,95.66,0,0,10,False,f96f1593-ebaa-40b8-abd2-8ce5a4167b59,8547,13.04,10.61,13.5,8.38,13.5,8.38,13.5,8.38,13.5,6.06
2026-05-14,LNKS,13:48:00,squeeze,12.0,6848,2.24,2.13,0.0604,2.29,2.28,2.0,2.3014,2.4108,2.3806,stop_hit,2.13,-1174.09,stop_hit,-1174.09,2.31,58.55,0,0,10,False,7dfb8074-805e-471b-a410-6f5e2b8710ce,6658,2.31,2.16,2.31,2.1,2.31,1.57,2.31,1.14,2.31,1.14
2026-05-15,ONDG,09:31:01,squeeze,12.0,2050,7.31,7.12,0.12,7.57,7.57,3.5,7.6078,7.81,7.75,target_hit,7.8100000000000005,414.41,target_hit,291.41,7.8,393.91,1,0,20,False,b4d5a63b-181d-4c67-a4a6-074be6c729c3,12957,8.4,7.29,8.4,7.18,8.4,7.01,8.4,6.96,8.4,6.96
2026-05-15,QUCY,10:10,squeeze,7.9,4723,3.09,2.91,0.11,3.17,3.15,2.0,3.1858,3.39,3.335,target_hit,3.39,964.2,target_hit,704.44,3.385,940.59,0,0,10,False,fc38e043-7a00-457f-a8a5-5071bce19246,14740,3.42,3.095,4.03,3.095,4.93,3.095,4.93,3.095,4.93,3.02
2026-05-15,SLE,10:46:01,squeeze,7.0,4931,6.09,5.82,0.2,6.39,6.21,2.0,6.4219,6.79,6.69,target_hit,6.79,1814.85,target_hit,1321.75,6.78,1765.54,0,1,10,False,64098599-7145-4026-8a38-49d9165fe4d3,16323,6.78,6.05,6.93,6.05,6.93,5.83,6.93,5.83,6.93,5.76
2026-05-15,SLE,16:17,squeeze,11.0,2956,5.09,4.9,0.12,5.9,5.27,3.5,5.9295,6.14,6.08,target_hit,6.140000000000001,622.24,target_hit,444.88,6.12,563.12,0,-15,10,True,7e504bcf-7e03-4b2d-9a00-9f30fcb301e2,31019,6.04,5.88,6.05,5.75,6.5,5.75,6.5,5.75,6.5,5.53
2026-05-15,SLE,16:25,squeeze,11.0,2956,5.09,4.9,0.12,5.97,5.27,3.5,5.9998,6.21,6.15,target_hit,6.21,621.2,target_hit,443.84,6.2,591.64,0,-36,10,True,bd4013ec-cd22-4acb-89a2-4ca70087702a,33998,5.99,5.87,6.5,5.75,6.5,5.75,6.5,5.75,6.5,5.53
2026-05-15,SLE,17:16,squeeze,11.0,2956,5.09,4.9,0.12,6.09,5.27,3.5,6.1204,6.33,6.27,session_close,5.53,-1745.37,session_close,-1745.37,6.1,-60.45,0,-38,10,True,abf7fb60-e015-4e7f-b662-66992c452a81,37098,6.1,6.01,6.1,5.82,6.1,5.82,6.1,5.53,6.1,5.53
2026-05-15,SLE,17:25,squeeze,11.0,2956,5.09,4.9,0.12,5.82,5.27,3.5,5.8491,6.06,6.0,session_close,5.53,-943.26,target_hit,446.06,6.03,534.74,0,-46,10,True,600a1f2c-2357-474a-b0f9-6ccc3cbfcd88,46100,6.0,5.82,6.02,5.82,6.03,5.82,6.03,5.53,6.03,5.53
2026-05-15,SLE,17:46,squeeze,11.0,2956,5.09,4.9,0.12,5.88,5.27,3.5,5.9094,6.12,6.06,session_close,5.53,-1121.51,session_close,-1121.51,6.03,356.49,0,-16,10,True,e38be93b-45a3-449f-a96a-3676de79442c,47415,6.03,5.88,6.03,5.53,6.03,5.53,6.03,5.53,6.03,5.53
2026-05-15,SLE,17:50,squeeze,11.0,2956,5.09,4.9,0.12,5.93,5.27,3.5,5.9596,6.17,6.11,session_close,5.53,-1270.05,session_close,-1270.05,5.93,-87.65,0,-14,10,True,714e51ff-f3df-4500-ac0e-00b17340fdcf,58307,5.93,5.88,5.93,5.53,5.93,5.53,5.93,5.53,5.93,5.53
2026-05-18,CORD,09:31:01,squeeze,8.5,1965,6.2,5.87,0.26,6.33,6.32,2.0,6.3616,6.85,6.72,target_hit,6.85,959.61,target_hit,704.16,6.84,939.96,1,0,20,False,ff735165-d495-4998-9fdc-d9039ff7cb55,16890,6.45,6.26,6.64,6.26,6.64,6.26,6.64,6.26,6.73,6.26
2026-05-18,GOVX,09:32:01,squeeze,11.0,4835,3.09,2.94,0.08,3.34,3.2,3.5,3.3567,3.5,3.46,target_hit,3.5,692.86,target_hit,499.46,3.49,644.51,0,1,10,False,108736e2-208f-4fd3-8d47-b90b5ad8d10d,16933,3.8899,3.15,4.26,3.15,4.32,3.15,4.39,2.97,4.39,2.77
