date,trades,wins,losses,day_pnl,end_of_day_equity,running_peak,max_drawdown_to_date_pct,symbols
2026-01-02,0,0,0,0,30000,30000,0.00,
2026-01-03,0,0,0,0,30000,30000,0.00,
2026-01-05,0,0,0,0,30000,30000,0.00,
2026-01-06,0,0,0,0,30000,30000,0.00,
2026-01-07,0,0,0,0,30000,30000,0.00,
2026-01-08,0,0,0,0,30000,30000,0.00,
2026-01-09,0,0,0,0,30000,30000,0.00,
2026-01-12,5,3,1,6763,36763,36763,0.00,BDSX
2026-01-13,5,4,1,17104,53867,53867,0.00,AHMA
2026-01-14,5,3,2,24027,77894,77894,0.00,ROLR
2026-01-15,0,0,0,0,77894,77894,0.00,
2026-01-16,3,2,1,33680,111574,111574,0.00,ACCL
2026-01-20,0,0,0,0,111574,111574,0.00,
2026-01-21,0,0,0,0,111574,111574,0.00,
2026-01-22,0,0,0,0,111574,111574,0.00,
2026-01-23,1,1,0,2533,114107,114107,0.00,BGL
2026-01-26,5,4,1,38040,152147,152147,0.00,BATL
2026-01-27,1,0,0,0,152147,152147,0.00,CYN
2026-01-28,0,0,0,0,152147,152147,0.00,
2026-01-29,0,0,0,0,152147,152147,0.00,
2026-01-30,0,0,0,0,152147,152147,0.00,
2026-02-02,1,1,0,3763,155910,155910,0.00,FUSE
2026-02-03,4,3,1,70263,226173,226173,0.00,NPT
2026-02-04,0,0,0,0,226173,226173,0.00,
2026-02-05,0,0,0,0,226173,226173,0.00,
2026-02-06,0,0,0,0,226173,226173,0.00,
2026-02-09,0,0,0,0,226173,226173,0.00,
2026-02-10,0,0,0,0,226173,226173,0.00,
2026-02-11,0,0,0,0,226173,226173,0.00,
2026-02-12,0,0,0,0,226173,226173,0.00,
2026-02-13,0,0,0,0,226173,226173,0.00,
2026-02-17,5,4,1,17366,243539,243539,0.00,OBAI
2026-02-18,0,0,0,0,243539,243539,0.00,
2026-02-19,0,0,0,0,243539,243539,0.00,
2026-02-20,0,0,0,0,243539,243539,0.00,
2026-02-23,0,0,0,0,243539,243539,0.00,
2026-02-24,0,0,0,0,243539,243539,0.00,
2026-02-25,0,0,0,0,243539,243539,0.00,
2026-02-26,0,0,0,0,243539,243539,0.00,
2026-02-27,0,0,0,0,243539,243539,0.00,
2026-03-02,1,1,0,1210,244749,244749,0.00,RLYB
2026-03-03,0,0,0,0,244749,244749,0.00,
2026-03-04,0,0,0,0,244749,244749,0.00,
2026-03-05,0,0,0,0,244749,244749,0.00,
2026-03-06,0,0,0,0,244749,244749,0.00,
2026-03-09,1,1,0,1342,246091,246091,0.00,AGH
2026-03-10,0,0,0,0,246091,246091,0.00,
2026-03-11,0,0,0,0,246091,246091,0.00,
2026-03-12,0,0,0,0,246091,246091,0.00,
2026-03-13,0,0,0,0,246091,246091,0.00,
2026-03-16,0,0,0,0,246091,246091,0.00,
2026-03-17,0,0,0,0,246091,246091,0.00,
2026-03-18,2,0,2,-204,245887,246091,0.08,ARTL
2026-03-19,1,1,0,1013,246900,246900,0.00,SER
2026-03-20,1,1,0,2631,249531,249531,0.00,ANNA
2026-03-23,0,0,0,0,249531,249531,0.00,
2026-03-24,0,0,0,0,249531,249531,0.00,
2026-03-25,0,0,0,0,249531,249531,0.00,
2026-03-26,0,0,0,0,249531,249531,0.00,
2026-03-27,0,0,0,0,249531,249531,0.00,
2026-03-30,0,0,0,0,249531,249531,0.00,
2026-03-31,0,0,0,0,249531,249531,0.00,
2026-04-01,2,2,0,6922,256453,256453,0.00,CYCN
2026-04-02,1,1,0,166,256619,256619,0.00,SKYQ
2026-04-06,5,5,0,20377,276996,276996,0.00,MLEC FCUV
2026-04-10,0,0,0,0,276996,276996,0.00,
2026-05-06,0,0,0,0,276996,276996,0.00,
2026-05-07,0,0,0,0,276996,276996,0.00,
2026-05-08,0,0,0,0,276996,276996,0.00,
2026-05-11,0,0,0,0,276996,276996,0.00,
2026-05-12,0,0,0,0,276996,276996,0.00,
2026-05-13,0,0,0,0,276996,276996,0.00,
2026-05-14,0,0,0,0,276996,276996,0.00,
2026-05-15,4,2,2,11284,288280,288280,0.00,SLE
2026-05-18,2,1,1,2222,290502,290502,0.00,GOVX
