date,symbol,pnl,reason,window
2026-01-12,BDSX,0,sq_para_trail_exit,08:00-12:00
2026-01-12,BDSX,-450,sq_max_loss_hit,08:00-12:00
2026-01-12,BDSX,850,sq_target_hit_exit_full,08:00-12:00
2026-01-12,BDSX,3206,sq_target_hit_exit_full,08:00-12:00
2026-01-12,BDSX,3157,sq_target_hit,08:00-12:00
2026-01-13,AHMA,1529,sq_target_hit_exit_full,07:31-12:00
2026-01-13,AHMA,2691,sq_target_hit,07:31-12:00
2026-01-13,AHMA,8769,bearish_engulfing_exit_full,07:31-12:00
2026-01-13,AHMA,-967,max_loss_hit,07:31-12:00
2026-01-13,AHMA,5082,sq_target_hit_exit_full,07:31-12:00
2026-01-14,ROLR,10000,sq_target_hit,08:23-12:00
2026-01-14,ROLR,-460,sq_max_loss_hit,08:23-12:00
2026-01-14,ROLR,2300,sq_target_hit,08:23-12:00
2026-01-14,ROLR,13540,sq_target_hit,08:23-12:00
2026-01-14,ROLR,-1353,bearish_engulfing_exit_full,08:23-12:00
2026-01-16,ACCL,3539,sq_target_hit,04:07-12:00
2026-01-16,ACCL,-349,sq_para_trail_exit,04:07-12:00
2026-01-16,ACCL,30490,sq_target_hit,04:07-12:00
2026-01-23,BGL,2533,sq_target_hit_exit_full,05:24-12:00
2026-01-26,BATL,2742,sq_target_hit_exit_full,04:16-12:00
2026-01-26,BATL,3055,sq_target_hit_exit_full,04:16-12:00
2026-01-26,BATL,31411,sq_target_hit,04:16-12:00
2026-01-26,BATL,-924,max_loss_hit,04:16-12:00
2026-01-26,BATL,1756,epl_mp_trail_exit(R=2.3),04:16-12:00
2026-01-27,CYN,0,sq_para_trail_exit,07:13-12:00
2026-02-02,FUSE,3763,sq_target_hit_exit_full,08:08-12:00
2026-02-03,NPT,4751,sq_target_hit,07:42-12:00
2026-02-03,NPT,1175,sq_target_hit,07:42-12:00
2026-02-03,NPT,-2078,bearish_engulfing_exit_full,07:42-12:00
2026-02-03,NPT,66415,sq_target_hit,07:42-12:00
2026-02-17,OBAI,2232,sq_target_hit_exit_full,04:14-12:00
2026-02-17,OBAI,3444,sq_target_hit,04:14-12:00
2026-02-17,OBAI,7989,sq_target_hit_exit_full,04:14-12:00
2026-02-17,OBAI,-1243,bearish_engulfing_exit_full,04:14-12:00
2026-02-17,OBAI,4944,epl_mp_trail_exit(R=2.3),04:14-12:00
2026-03-02,RLYB,1210,sq_target_hit,08:47-12:00
2026-03-09,AGH,1342,sq_target_hit_exit_full,06:09-12:00
2026-03-18,ARTL,-62,sq_para_trail_exit,07:42-12:00
2026-03-18,ARTL,-142,sq_para_trail_exit,07:42-12:00
2026-03-19,SER,1013,sq_para_trail_exit_exit_full,08:17-12:00
2026-03-20,ANNA,2631,sq_target_hit_exit_full,07:14-12:00
2026-04-01,CYCN,248,sq_para_trail_exit,07:15-12:00
2026-04-01,CYCN,6674,sq_target_hit_exit_full,07:15-12:00
2026-04-02,SKYQ,166,sq_para_trail_exit,07:36-12:00
2026-04-06,MLEC,12853,sq_target_hit,07:43-12:00
2026-04-06,FCUV,1318,sq_target_hit,07:58-12:00
2026-04-06,FCUV,311,sq_para_trail_exit,07:58-12:00
2026-04-06,FCUV,2057,sq_target_hit,07:58-12:00
2026-04-06,FCUV,3838,sq_target_hit,07:58-12:00
2026-05-15,SLE,1722,sq_target_hit,07:52-12:00
2026-05-15,SLE,11341,sq_target_hit,07:52-12:00
2026-05-15,SLE,-979,bearish_engulfing_exit_full,07:52-12:00
2026-05-15,SLE,-800,bearish_engulfing_exit_full,07:52-12:00
2026-05-18,GOVX,2339,sq_target_hit,07:52-12:00
2026-05-18,GOVX,-117,sq_para_trail_exit,07:52-12:00
