date,time_et,sym,session,near_seed_marker,sq_seed_gate_count,order_oid_short,score,qty,orig_limit,orig_stop,orig_R,pre_signal_last_at_lim_offset_sec,pre_signal_last_at_lim_p,pre1min_max,pre1min_min,ticks_in_10s_window,min_price_10s,max_price_10s,first_tick_at_or_below_lim_plus_2c,first_tick_offset_2c_sec,first_tick_at_or_below_lim_plus_5c,first_tick_offset_5c_sec,first_tick_at_or_below_lim_plus_10c,first_tick_offset_10c_sec,volume_at_or_below_lim_10s,volume_at_or_below_2c_10s,volume_at_or_below_5c_10s,volume_at_or_below_10c_10s,min_price_30s,min_price_60s,min_price_300s,volume_at_or_below_lim_30s,volume_at_or_below_lim_60s,volume_at_or_below_lim_300s,classification,counterfactual_fill_price,sim_target_2r,sim_status,sim_exit_price,sim_pnl_2r,sim_minutes_to_exit,magic_fill_price,magic_target_2r,magic_status,magic_exit_price,magic_pnl_2r,magic_minutes_to_exit
2026-04-06,09:48:00,FCUV,rth,False,0,400639bd,9.2,2062,8.47,8.27,0.18,-49.0,8.461,9.48,8.31,2936,8.7101,9.27,,,,,,,0,0,0,0,8.7101,8.49,7.94,0,0,386010,UNFILLABLE,,,NO_FILL,,,,8.5123,8.8723,TARGET_HIT,8.8723,742.32,0.0
2026-04-06,16:03:26,FCUV,extended_hours,False,0,dbe8cc09,11.0,3093,5.04,4.9,0.12,,,5.57,5.4,19,5.47,5.54,,,,,,,0,0,0,0,5.47,5.46,5.2,0,0,0,UNFILLABLE,,,NO_FILL,,,,5.0652,5.3052,TARGET_HIT,5.3052,742.32,0.016666666666666666
2026-04-06,16:07:26,MLEC,extended_hours,False,0,1098d2cc,10.0,3093,10.04,9.9,0.12,,,11.69,11.51,16,11.6,11.66,,,,,,,0,0,0,0,11.51,11.51,11.03,0,0,0,UNFILLABLE,,,NO_FILL,,,,10.0902,10.3302,TARGET_HIT,10.3302,742.32,0.016666666666666666
2026-04-08,19:30:30,BBGI,extended_hours,False,8,1556088a,11.0,4330,5.04,4.9,0.12,,,5.54,5.54,5,5.48,5.54,,,,,,,0,0,0,0,5.48,5.48,5.48,0,0,0,UNFILLABLE,,,NO_FILL,,,,5.0652,5.3052,TARGET_HIT,5.3052,1039.2,0.7424862999999999
2026-04-08,19:34:03,ELPW,extended_hours,False,7,cdc6a3e0,10.0,7424,2.04,1.95,0.07,,,2.2,2.19,1,2.19,2.19,,,,,,,0,0,0,0,2.19,2.18,2.1,0,0,0,UNFILLABLE,,,NO_FILL,,,,2.0502,2.1902,TIME_EXPIRED,2.19,1037.88,
2026-04-09,16:06:01,CLIK,extended_hours,False,26,d44987b2,10.4,4330,3.04,2.9,0.12,,,3.3,3.2003,10,3.2303,3.3,,,,,,,0,0,0,0,3.23,3.08,3.06,0,0,0,UNFILLABLE,,,NO_FILL,,,,3.0552,3.2952,TIME_EXPIRED,3.25,843.48,
2026-04-09,16:08:04,ELAB,extended_hours,False,16,418c0da3,11.0,4330,5.04,4.9,0.12,,,5.3674,5.34,9,5.32,5.3493,,,,,,,0,0,0,0,5.31,5.3,4.95,0,0,6176,UNFILLABLE,,,NO_FILL,,,,5.0652,5.3052,TARGET_HIT,5.3052,1039.2,0.027240166666666666
2026-04-13,07:34:00,SKYQ,premarket,True,9,4d17ab60,8.0,3121,16.04,15.9,0.12,,,17.52,17.34,377,17.0,17.39,,,,,,,0,0,0,0,16.89,16.89,16.89,0,0,0,UNFILLABLE,,,NO_FILL,,,,16.1202,16.3602,TARGET_HIT,16.3602,749.04,0.0
2026-04-13,16:06:05,RECT,extended_hours,False,26,3a2ca40b,10.0,4305,2.04,1.9,0.12,,,2.24,2.16,27,2.16,2.1798,,,,,,,0,0,0,0,2.16,2.16,2.09,0,0,0,UNFILLABLE,,,NO_FILL,,,,2.0502,2.2902,TIME_EXPIRED,2.18,558.79,
2026-04-15,09:41:00,OKLL,rth,False,0,7de14e32,9.3,1237,9.52,9.0814,0.4186,,,,,0,,,,,,,,,0,0,0,0,,,,0,0,0,NO_DATA,,,,,,,9.5676,10.4048,TIME_EXPIRED,10.35,967.83,
2026-04-15,10:11:00,MNTS,rth,False,26,35f2b208,12.0,4316,5.71,5.5697,0.12,,,,,0,,,,,,,,,0,0,0,0,,,,0,0,0,NO_DATA,,,,,,,5.7385,5.9785,TIME_EXPIRED,5.7385,0.0,
