symbol,date,scanner_time,float_m,gap_pct,group,nol2_pnl,l2_pnl,delta,nol2_trades,l2_trades,l2_impact
ACON,2026-01-06,07:00,0.7,6.9,study,0,0,0,0,0,none
ALMS,2026-01-06,07:00,66.3,0.1,study,3407,2138,-1269,4,3,"hurt:l2_bearish_exit,bid_stack_blocked"
ANPA,2026-01-06,07:00,12.5,2.3,study,-2730,-2730,0,2,2,none
AZI,2026-01-06,07:27,44.5,-1.0,study,783,-1551,-2334,4,3,"hurt:l2_bearish_exit,warmup_gate,bid_stack_active,bid_stack_blocked"
ELAB,2026-01-06,07:00,0.2,-4.2,study,0,0,0,0,0,neutral:warmup_gate
FLYX,2026-01-06,07:00,5.7,1.0,study,0,0,0,0,0,none
GWAV,2026-01-06,07:00,0.8,-1.4,study,0,0,0,0,0,none
IBIO,2026-01-06,07:46,27.1,-2.1,study,-1444,-1278,166,2,2,helped:l2_bearish_exit
MLEC,2026-01-06,07:00,0.7,-21.7,study,0,0,0,0,0,neutral:warmup_gate
OPTX,2026-01-06,07:00,6.0,19.9,study,-78,-78,0,2,2,neutral:bid_stack_blocked
ROLR,2026-01-06,07:00,3.6,-6.2,study,-1422,-1422,0,2,2,none
TNMG,2026-01-06,07:00,1.2,-0.7,study,0,0,0,0,0,none
VERO,2026-01-06,07:00,1.6,-9.1,study,0,0,0,0,0,none
ACON,2026-01-08,07:00,0.7,6.9,study,-2122,-2122,0,3,3,"neutral:bid_stack_active,bid_stack_blocked"
ELAB,2026-01-08,07:00,0.2,-4.2,study,0,0,0,0,0,none
FLYX,2026-01-08,07:00,5.7,1.0,study,473,-80,-553,1,1,"hurt:l2_bearish_exit,bid_stack_active"
IBIO,2026-01-08,07:00,27.1,-2.1,study,0,0,0,0,0,none
OPTX,2026-01-08,07:00,6.0,19.9,study,-223,-223,0,1,1,none
ALMS,2026-01-09,07:00,66.3,0.1,study,-1154,-744,410,2,1,helped:bid_stack_blocked
