BOOT: COLD start (reason=no_marker)
============================================================
  WARRIOR BOT — SUB-BOT (IBKR data + Alpaca exec hybrid)
  Data:    IB Gateway port 4002 clientId=2
  Exec:    AlpacaBroker (paper=true)
  State:   session_state_alpaca/
  Cache:   tick_cache_alpaca/
  Squeeze: OFF
  MP: OFF
  MP V2 (Re-Entry): OFF
  Short: OFF
  Max entries/day: unlimited
  Buying power: 50% of 2x margin
  Port: 4002
  Risk: 3.5% per trade
  Starting Equity: $30,000
  Max Daily Loss: $3,000 (2% of equity, scaling)
  Windows: 04:00-20:00
  SQ Target R: 1.5
  WB notional cap (at starting equity $30,000): effective=$30,000 (equity_cap=$30,000, floor=$10,000, ceiling=$50,000)
  WB pyramid: OFF
============================================================
⚠️  WARNING: WB_SQUEEZE_ENABLED is OFF — bot will not trade squeezes!
  Set WB_SQUEEZE_ENABLED=1 in .env or environment to enable.

Pre-flight port check:
  Port 4002: IN USE
  Port 7497: free
  Watchdog: armed (kills bot if main thread frozen >120s)
Alpaca connected (PAPER)
📦 Tick flush thread started (every 30s)
📊 Risk flush thread started (every 60s)
Connected: True
Account: ['DUQ143444']
Broker: ALPACA
  Position sync: No open positions at broker. Clean start.
Account equity: $28,321
EPL initialized: 1 strategies registered

Bot running. Windows: 04:00-20:00 ET. Ctrl+C to stop.
[04:01:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:01:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:02:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:02:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:03:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:03:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:04:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:04:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:05:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:05:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:06:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:06:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:07:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:07:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:08:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:08:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:09:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:09:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:10:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:10:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:11:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:11:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:12:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:12:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:13:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:13:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:14:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:14:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:15:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:15:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:16:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:16:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:17:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:17:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:18:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:18:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:19:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:19:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:20:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:20:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:21:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:21:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:22:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:22:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:23:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:23:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:24:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:24:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:25:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:25:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:26:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:26:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:27:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:27:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:28:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:28:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:29:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:29:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:30:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:30:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[04:31:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
