YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+775   | eq=$30,775 (cap=$60,000) | YTD SQ=$+775 SH=$+0 Combined=$+775
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,334   | eq=$37,109 (cap=$61,550) | YTD SQ=$+7,109 SH=$+0 Combined=$+7,109
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+7,748   | eq=$44,857 (cap=$74,218) | YTD SQ=$+14,857 SH=$+0 Combined=$+14,857
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+23,898   | eq=$68,755 (cap=$89,714) | YTD SQ=$+38,755 SH=$+0 Combined=$+38,755
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+26,113   | eq=$94,868 (cap=$137,510) | YTD SQ=$+64,868 SH=$+0 Combined=$+64,868
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-14,795   | eq=$80,073 (cap=$189,736) | YTD SQ=$+50,073 SH=$+0 Combined=$+50,073
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+23,013   | eq=$103,086 (cap=$160,146) | YTD SQ=$+73,086 SH=$+0 Combined=$+73,086
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-7,311   | eq=$95,775 (cap=$206,172) | YTD SQ=$+65,775 SH=$+0 Combined=$+65,775
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-385   | eq=$95,390 (cap=$191,550) | YTD SQ=$+65,390 SH=$+0 Combined=$+65,390
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-4,839   | eq=$90,551 (cap=$190,780) | YTD SQ=$+60,551 SH=$+0 Combined=$+60,551
[16/84] 2026-01-23 (7 syms) | SQ: 12t $+16,098   | eq=$106,649 (cap=$181,102) | YTD SQ=$+76,649 SH=$+0 Combined=$+76,649
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+6,299   | eq=$112,948 (cap=$213,298) | YTD SQ=$+82,948 SH=$+0 Combined=$+82,948
[18/84] 2026-01-27 (5 syms) | SQ: 4t $+5,849   | eq=$118,797 (cap=$225,896) | YTD SQ=$+88,797 SH=$+0 Combined=$+88,797
[19/84] 2026-01-28 (3 syms) | SQ: 1t $-357   | eq=$118,440 (cap=$237,594) | YTD SQ=$+88,440 SH=$+0 Combined=$+88,440
[20/84] 2026-01-29 (3 syms) | SQ: 1t $-500   | eq=$117,940 (cap=$236,880) | YTD SQ=$+87,940 SH=$+0 Combined=$+87,940
