YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+900   | eq=$30,900 (cap=$60,000) | YTD SQ=$+900 SH=$+0 Combined=$+900
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,359   | eq=$37,259 (cap=$61,800) | YTD SQ=$+7,259 SH=$+0 Combined=$+7,259
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+6,736   | eq=$43,995 (cap=$74,518) | YTD SQ=$+13,995 SH=$+0 Combined=$+13,995
[9/84] 2026-01-13 (3 syms) | SQ: 13t $+37,143   | eq=$81,138 (cap=$87,990) | YTD SQ=$+51,138 SH=$+0 Combined=$+51,138
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+49,813   | eq=$130,951 (cap=$162,276) | YTD SQ=$+100,951 SH=$+0 Combined=$+100,951
[11/84] 2026-01-15 (4 syms) | SQ: 23t $-4,573   | eq=$126,378 (cap=$261,902) | YTD SQ=$+96,378 SH=$+0 Combined=$+96,378
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+22,412   | eq=$148,790 (cap=$252,756) | YTD SQ=$+118,790 SH=$+0 Combined=$+118,790
[13/84] 2026-01-20 (6 syms) | SQ: 17t $-6,241   | eq=$142,549 (cap=$297,580) | YTD SQ=$+112,549 SH=$+0 Combined=$+112,549
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-385   | eq=$142,164 (cap=$285,098) | YTD SQ=$+112,164 SH=$+0 Combined=$+112,164
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-5,981   | eq=$136,183 (cap=$284,328) | YTD SQ=$+106,183 SH=$+0 Combined=$+106,183
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+16,068   | eq=$152,251 (cap=$272,366) | YTD SQ=$+122,251 SH=$+0 Combined=$+122,251
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+6,527   | eq=$158,778 (cap=$304,502) | YTD SQ=$+128,778 SH=$+0 Combined=$+128,778
