YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+900   | eq=$30,900 (cap=$60,000) | YTD SQ=$+900 SH=$+0 Combined=$+900
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,359   | eq=$37,259 (cap=$61,800) | YTD SQ=$+7,259 SH=$+0 Combined=$+7,259
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+6,736   | eq=$43,995 (cap=$74,518) | YTD SQ=$+13,995 SH=$+0 Combined=$+13,995
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+33,724   | eq=$77,719 (cap=$87,990) | YTD SQ=$+47,719 SH=$+0 Combined=$+47,719
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+50,282   | eq=$128,001 (cap=$155,438) | YTD SQ=$+98,001 SH=$+0 Combined=$+98,001
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-15,072   | eq=$112,929 (cap=$256,002) | YTD SQ=$+82,929 SH=$+0 Combined=$+82,929
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+22,412   | eq=$135,341 (cap=$225,858) | YTD SQ=$+105,341 SH=$+0 Combined=$+105,341
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-5,777   | eq=$129,564 (cap=$270,682) | YTD SQ=$+99,564 SH=$+0 Combined=$+99,564
[14/84] 2026-01-21 (5 syms) | SQ: 8t $+3,285   | eq=$132,849 (cap=$259,128) | YTD SQ=$+102,849 SH=$+0 Combined=$+102,849
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-5,981   | eq=$126,868 (cap=$265,698) | YTD SQ=$+96,868 SH=$+0 Combined=$+96,868
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+16,068   | eq=$142,936 (cap=$253,736) | YTD SQ=$+112,936 SH=$+0 Combined=$+112,936
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+6,527   | eq=$149,463 (cap=$285,872) | YTD SQ=$+119,463 SH=$+0 Combined=$+119,463
