YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+500   | eq=$30,500 (cap=$60,000) | YTD SQ=$+500 SH=$+0 Combined=$+500
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,888   | eq=$37,388 (cap=$61,000) | YTD SQ=$+7,388 SH=$+0 Combined=$+7,388
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+4,097   | eq=$41,485 (cap=$74,776) | YTD SQ=$+11,485 SH=$+0 Combined=$+11,485
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+29,952   | eq=$71,437 (cap=$82,970) | YTD SQ=$+41,437 SH=$+0 Combined=$+41,437
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+50,221   | eq=$121,658 (cap=$142,874) | YTD SQ=$+91,658 SH=$+0 Combined=$+91,658
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-18,099   | eq=$103,559 (cap=$243,316) | YTD SQ=$+73,559 SH=$+0 Combined=$+73,559
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+21,683   | eq=$125,242 (cap=$207,118) | YTD SQ=$+95,242 SH=$+0 Combined=$+95,242
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-7,344   | eq=$117,898 (cap=$250,484) | YTD SQ=$+87,898 SH=$+0 Combined=$+87,898
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-771   | eq=$117,127 (cap=$235,796) | YTD SQ=$+87,127 SH=$+0 Combined=$+87,127
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-7,038   | eq=$110,089 (cap=$234,254) | YTD SQ=$+80,089 SH=$+0 Combined=$+80,089
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+12,000   | eq=$122,089 (cap=$220,178) | YTD SQ=$+92,089 SH=$+0 Combined=$+92,089
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+3,654   | eq=$125,743 (cap=$244,178) | YTD SQ=$+95,743 SH=$+0 Combined=$+95,743
[18/84] 2026-01-27 (5 syms) | SQ: 4t $+4,499   | eq=$130,242 (cap=$251,486) | YTD SQ=$+100,242 SH=$+0 Combined=$+100,242
[19/84] 2026-01-28 (3 syms) | SQ: 1t $-357   | eq=$129,885 (cap=$260,484) | YTD SQ=$+99,885 SH=$+0 Combined=$+99,885
[20/84] 2026-01-29 (3 syms) | SQ: 1t $-500   | eq=$129,385 (cap=$259,770) | YTD SQ=$+99,385 SH=$+0 Combined=$+99,385
[21/84] 2026-01-30 (3 syms) | SQ: 0t $+0   | eq=$129,385 (cap=$258,770) | YTD SQ=$+99,385 SH=$+0 Combined=$+99,385
[22/84] 2026-02-02 (5 syms) | SQ: 2t $+9   | eq=$129,394 (cap=$258,770) | YTD SQ=$+99,394 SH=$+0 Combined=$+99,394
