YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+900   | eq=$30,900 (cap=$60,000) | YTD SQ=$+900 SH=$+0 Combined=$+900
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,163   | eq=$37,063 (cap=$61,800) | YTD SQ=$+7,063 SH=$+0 Combined=$+7,063
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+5,446   | eq=$42,509 (cap=$74,126) | YTD SQ=$+12,509 SH=$+0 Combined=$+12,509
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+30,037   | eq=$72,546 (cap=$85,018) | YTD SQ=$+42,546 SH=$+0 Combined=$+42,546
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+52,466   | eq=$125,012 (cap=$145,092) | YTD SQ=$+95,012 SH=$+0 Combined=$+95,012
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-15,090   | eq=$109,922 (cap=$250,024) | YTD SQ=$+79,922 SH=$+0 Combined=$+79,922
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+21,436   | eq=$131,358 (cap=$219,844) | YTD SQ=$+101,358 SH=$+0 Combined=$+101,358
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-5,421   | eq=$125,937 (cap=$262,716) | YTD SQ=$+95,937 SH=$+0 Combined=$+95,937
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-1,403   | eq=$124,534 (cap=$251,874) | YTD SQ=$+94,534 SH=$+0 Combined=$+94,534
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-5,981   | eq=$118,553 (cap=$249,068) | YTD SQ=$+88,553 SH=$+0 Combined=$+88,553
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+16,327   | eq=$134,880 (cap=$237,106) | YTD SQ=$+104,880 SH=$+0 Combined=$+104,880
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+6,527   | eq=$141,407 (cap=$269,760) | YTD SQ=$+111,407 SH=$+0 Combined=$+111,407
