YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+900   | eq=$30,900 (cap=$60,000) | YTD SQ=$+900 SH=$+0 Combined=$+900
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,359   | eq=$37,259 (cap=$61,800) | YTD SQ=$+7,259 SH=$+0 Combined=$+7,259
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+6,736   | eq=$43,995 (cap=$74,518) | YTD SQ=$+13,995 SH=$+0 Combined=$+13,995
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+33,724   | eq=$77,719 (cap=$87,990) | YTD SQ=$+47,719 SH=$+0 Combined=$+47,719
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+49,813   | eq=$127,532 (cap=$155,438) | YTD SQ=$+97,532 SH=$+0 Combined=$+97,532
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-15,072   | eq=$112,460 (cap=$255,064) | YTD SQ=$+82,460 SH=$+0 Combined=$+82,460
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+22,412   | eq=$134,872 (cap=$224,920) | YTD SQ=$+104,872 SH=$+0 Combined=$+104,872
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-5,777   | eq=$129,095 (cap=$269,744) | YTD SQ=$+99,095 SH=$+0 Combined=$+99,095
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-385   | eq=$128,710 (cap=$258,190) | YTD SQ=$+98,710 SH=$+0 Combined=$+98,710
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-5,981   | eq=$122,729 (cap=$257,420) | YTD SQ=$+92,729 SH=$+0 Combined=$+92,729
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+16,068   | eq=$138,797 (cap=$245,458) | YTD SQ=$+108,797 SH=$+0 Combined=$+108,797
[17/84] 2026-01-26 (3 syms) | SQ: 9t $+6,527   | eq=$145,324 (cap=$277,594) | YTD SQ=$+115,324 SH=$+0 Combined=$+115,324
