YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[4/84] 2026-01-06 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[5/84] 2026-01-07 (1 syms) | SQ: 0t $+0   | eq=$30,000 (cap=$60,000) | YTD SQ=$+0 SH=$+0 Combined=$+0
[6/84] 2026-01-08 (1 syms) | SQ: 1t $+900   | eq=$30,900 (cap=$60,000) | YTD SQ=$+900 SH=$+0 Combined=$+900
[7/84] 2026-01-09 (3 syms) | SQ: 1t $+6,253   | eq=$37,153 (cap=$61,800) | YTD SQ=$+7,153 SH=$+0 Combined=$+7,153
[8/84] 2026-01-12 (3 syms) | SQ: 7t $+4,839   | eq=$41,992 (cap=$74,306) | YTD SQ=$+11,992 SH=$+0 Combined=$+11,992
[9/84] 2026-01-13 (3 syms) | SQ: 11t $+30,058   | eq=$72,050 (cap=$83,984) | YTD SQ=$+42,050 SH=$+0 Combined=$+42,050
[10/84] 2026-01-14 (4 syms) | SQ: 10t $+52,140   | eq=$124,190 (cap=$144,100) | YTD SQ=$+94,190 SH=$+0 Combined=$+94,190
[11/84] 2026-01-15 (4 syms) | SQ: 19t $-12,967   | eq=$111,223 (cap=$248,380) | YTD SQ=$+81,223 SH=$+0 Combined=$+81,223
[12/84] 2026-01-16 (5 syms) | SQ: 9t $+21,282   | eq=$132,505 (cap=$222,446) | YTD SQ=$+102,505 SH=$+0 Combined=$+102,505
[13/84] 2026-01-20 (6 syms) | SQ: 15t $-6,027   | eq=$126,478 (cap=$265,010) | YTD SQ=$+96,478 SH=$+0 Combined=$+96,478
[14/84] 2026-01-21 (5 syms) | SQ: 8t $-1,796   | eq=$124,682 (cap=$252,956) | YTD SQ=$+94,682 SH=$+0 Combined=$+94,682
[15/84] 2026-01-22 (3 syms) | SQ: 14t $-6,224   | eq=$118,458 (cap=$249,364) | YTD SQ=$+88,458 SH=$+0 Combined=$+88,458
[16/84] 2026-01-23 (7 syms) | SQ: 14t $+15,602   | eq=$134,060 (cap=$236,916) | YTD SQ=$+104,060 SH=$+0 Combined=$+104,060
[17/84] 2026-01-26 (3 syms) | SQ: 10t $+7,013   | eq=$141,073 (cap=$268,120) | YTD SQ=$+111,073 SH=$+0 Combined=$+111,073
