Scanner Results — 2025-11-06
============================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol
──────── ─────── ─────── ──────── ─────── ──────── ──────────
ENGS      +210.6%   12.30    9.44M       B    09:30 3,376,861.0
CELT       +57.7%   18.51      N/A       X    07:00   28,251.0
EPSM       +50.4%   10.60    2.64M       A    07:02    1,900.0
SMU        +40.8%   18.38      N/A       X    07:00   55,610.0
FLYT       +39.4%   18.20    0.31M       A    07:09      100.0
SMUP       +37.0%    9.70      N/A       X    07:00    2,569.0
GP         +35.8%    2.35     2.2M       A    09:30    8,626.0
GNPX       +34.5%    6.31    0.67M       A    07:00    3,784.0
VEEE       +33.5%    2.75    8.22M       B    07:00   34,499.0
CCUP       +32.2%   10.43      N/A       X    07:00    3,009.0
CRCA       +31.5%    9.73      N/A       X    07:00   56,971.0
CRCG       +31.3%    6.21    4.32M       A    07:00   36,577.0
NHTC       +30.6%    3.29    3.96M       A    07:00      201.0
FATN       +28.5%    4.24    6.23M       B    09:30   22,506.0
ACFN       +26.8%   18.00    1.68M       A    09:30    4,866.0
NBIG       +26.5%   16.00    0.85M       A    07:00    4,891.0
BMNG       +25.6%    9.70    1.98M       A    07:00    2,053.0
BMNU       +24.7%   14.98      N/A       X    07:00  158,943.0
PXIU       +24.5%    7.98      N/A       X    07:00    4,990.0
AVX        +24.1%    3.09    1.98M       A    07:00   35,715.0
GDTC       +24.0%    2.53      N/A       X    09:30  489,285.0
UPSX       +23.8%    9.87      N/A       X    07:00   28,260.0
OSCG       +23.4%   17.11      N/A       X    09:30    1,350.0
TULP       +23.4%    5.20     1.0M       A    09:30    1,044.0
DASX       +22.5%   17.60      N/A       X    07:00    2,986.0
ZSTK       +22.2%    9.84    2.32M       A    09:30      227.0
CRWU       +21.9%   17.38      N/A       X    07:00   10,198.0
LRHC       +21.7%    4.66    0.13M       A    09:30      622.0
CWVX       +21.3%   14.25      N/A       X    07:00   57,561.0
CRWG       +21.0%    9.32     5.2M       B    07:00   61,880.0
GRDX       +20.8%    4.18      N/A       X    09:30    9,369.0
QUBX       +20.7%   10.55      N/A       X    07:00   22,167.0
NCEL       +19.5%    4.96    2.06M       A    07:00      703.0
BAIG       +19.1%   14.51    0.84M       A    07:00    1,374.0
MSOX       +18.8%    5.68      N/A       X    09:30    2,936.0
AFRU       +18.8%   15.06      N/A       X    07:00      200.0
ENVB       +18.7%    7.17     0.5M       A    09:30    9,843.0
WHLR       +17.9%    2.50    0.19M       A    09:30    7,647.0
MPG        +17.8%    9.25    0.28M       A    07:00      400.0
CLNN       +17.7%   10.89    6.13M       B    09:30    1,155.0
ARCX       +17.6%   13.02      N/A       X    07:00    4,246.0
MPL        +17.6%    8.75    0.81M       A    07:00    5,804.0
AXUP       +17.4%   16.21      N/A       X    07:00      406.0
SPPL       +17.3%    5.64    3.12M       A    09:30    1,134.0
PBM        +16.6%    2.93    0.29M       A    07:00    6,330.0
SST        +16.1%    5.20    4.54M       A    09:30    6,511.0
NOMA       +15.8%    8.95    3.96M       A    09:30   10,432.0
QVCGA      +15.7%    6.55    6.67M       B    07:00    1,230.0
NOTE       +15.3%    3.46     9.3M       B    07:00      300.0
MRAL       +15.3%   18.63    2.96M       A    07:00   20,677.0
ZJK        +15.2%    2.73    7.15M       B    07:00      100.0
HIMZ       +15.1%   12.25     6.0M       B    07:00  108,068.0
OSCX       +15.1%   16.80    0.06M       A    07:00   30,853.0
LYRA       +14.7%    5.62    1.63M       A    09:30    2,143.0
HYFM       +14.7%    2.50     3.5M       A    09:30    8,266.0
BULX       +14.6%   13.41      N/A       X    07:00      100.0
QSU        +14.4%   19.64    2.59M       A    07:00    4,698.0
MOB        +14.2%    6.92    6.86M       B    09:30    3,205.0
ARMG       +14.1%   14.85      N/A       X    07:00   17,581.0
STEM       +13.9%   19.74    8.04M       B    07:00      745.0
QCLS       +13.6%    3.17    1.65M       A    07:03      110.0
DJTU       +13.6%    5.51      N/A       X    07:00    3,094.0
BULG       +13.6%    6.10      N/A       X    07:00   36,204.0
NTHI       +13.4%   11.17    4.05M       A    09:30      558.0
MST        +13.3%    4.85    0.67M       A    07:00   11,410.0
SMCL       +13.2%   10.59      N/A       X    07:00   26,965.0
SLGB       +12.9%    2.28    0.98M       A    07:15      170.0
LIQT       +12.8%    2.53     7.7M       B    09:30      435.0
ARAI       +12.7%    4.97    6.23M       B    09:30   10,392.0
MSTP       +12.6%    8.41    0.04M       A    07:00      100.0
ONCO       +12.4%    3.00    1.26M       A    07:00      500.0
SSM        +12.2%    7.00    1.15M       A    09:30      636.0
APUS       +12.2%    2.82      N/A       X    09:30    4,669.0
SBTU       +12.1%   15.16      N/A       X    09:30    3,980.0
EGHT       +11.7%    2.20      N/A       X    09:30   72,502.0
AGH        +11.6%    5.74     4.6M       A    09:30      776.0
PSIG       +11.4%    4.00    0.57M       A    09:30      100.0
YDES       +11.4%   10.48    1.42M       A    09:30   10,745.0
LFVN       +11.3%    7.51    8.39M       B    09:30    5,991.0
SPRC       +11.2%    2.97     0.4M       A    09:30      768.0
UXRP       +11.2%   16.42    9.27M       B    07:00    9,986.0
LESL       +11.0%    3.37    9.13M       B    09:30    5,100.0
CRMG       +10.9%   12.74    1.17M       A    07:00      800.0
ANEL       +10.7%   19.50    0.27M       A    07:00      196.0
KPLT       +10.6%   11.21    3.92M       A    09:30      961.0
DRIO       +10.4%   13.34    5.27M       B    09:30      231.0
SKIL       +10.2%   12.58     4.5M       A    09:30    1,686.0
SLMT       +10.1%    7.50    1.51M       A    07:00    1,567.0
SVCO       +10.0%    5.38    9.43M       B    09:30    1,009.0
IPW        +10.0%   10.89    0.45M       A    09:30    1,001.0
XRPT        +9.9%    8.87      N/A       X    07:00   67,678.0
FLYE        +9.8%    6.41    1.46M       A    07:09      200.0
RETL        +9.6%    8.20      N/A       X    07:00      850.0
AEI         +9.5%    2.65    3.86M       A    09:30      238.0
BULU        +9.5%   10.66      N/A       X    09:30    2,778.0
KMLI        +9.5%   19.50    0.13M       A    09:30      139.0
MSOS        +9.5%    4.28      N/A       X    07:05      100.0
WEED        +9.5%   18.39    0.49M       A    09:30      273.0
AIMD        +9.4%    3.19    1.69M       A    09:30      183.0
STRR        +9.4%   11.21    2.31M       A    09:30      818.0
AGCC        +9.3%    5.85    4.83M       A    09:30    9,934.0
IMNN        +9.3%    4.33    2.72M       A    07:00      455.0
IQST        +9.3%    5.41    4.07M       A    09:30   11,682.0
VELO        +9.3%    4.95     3.9M       A    09:30    9,665.0
SRPU        +9.3%   12.03      N/A       X    07:00    2,075.0
CVNX        +9.3%   14.47      N/A       X    09:30      521.0
SCLX        +9.2%   18.51    3.69M       A    09:30    8,140.0
TOYO        +9.2%    7.46    9.07M       B    07:00      737.0
BIRD        +9.1%    8.30    5.25M       B    09:30      262.0
AMST        +9.0%    3.15    3.04M       A    09:30    8,674.0
MTEN        +9.0%    2.55    0.03M       A    09:30      995.0
ALMU        +8.9%   15.81     9.9M       B    09:30    5,821.0
BOF         +8.8%    3.20     9.2M       B    09:30      395.0
NVNI        +8.8%    3.45    7.03M       B    07:00      746.0
VENU        +8.7%   13.06    6.26M       B    09:30      738.0
SOPA        +8.7%    2.00     5.7M       B    09:30   13,441.0
ZENA        +8.6%    4.41    8.36M       B    07:00    1,651.0
TSLG        +8.6%   11.05      N/A       X    07:00   74,662.0
WLDS        +8.5%    2.04    0.84M       A    07:00    1,400.0
CREX        +8.5%    3.06    8.71M       B    09:30    3,306.0
PPSI        +8.4%    4.24     8.6M       B    07:00      711.0
CVM         +8.4%    7.20    7.39M       B    09:30      422.0
GVH         +8.3%    4.93    1.23M       A    09:30      206.0
BIAF        +8.3%    2.22    4.35M       A    09:30    8,403.0
ALOY        +8.2%    7.36    3.14M       A    09:30    1,396.0
MEME        +8.2%    8.06    0.07M       A    07:00      500.0
LNSR        +8.1%   12.37    8.53M       B    07:00    7,138.0
STI         +8.1%   11.07    2.19M       A    09:30    3,583.0
UPC         +8.1%    4.28    0.56M       A    09:30      596.0
DCOY        +7.8%    3.04     0.5M       A    09:30      644.0
SQFT        +7.7%    6.03    0.69M       A    09:30   22,775.0
TVRD        +7.6%    4.24    6.46M       B    07:14      114.0
CYCU        +7.5%    2.58    2.21M       A    07:00    7,946.0
JACK        +7.5%   17.12      N/A       X    09:30   12,190.0
WKSP        +7.5%    2.88    7.17M       B    09:30    3,660.0
EKSO        +7.4%    5.21    1.81M       A    07:00      300.0
RAYA        +7.4%    4.08     0.6M       A    09:30      522.0
BQ          +7.3%    3.07    2.78M       A    07:00   65,263.0
IPDN        +7.3%    2.49    2.82M       A    09:30    1,309.0
NEPH        +7.3%    5.58    9.62M       B    09:30    7,790.0
SSTI        +7.3%    8.56    7.72M       B    09:30      834.0
VBIX        +7.2%    2.09    5.32M       B    07:00      425.0
CONY        +7.2%    5.83      N/A       X    07:00   55,331.0
MOVE        +7.2%    5.68     0.6M       A    09:30      180.0
NPT         +7.2%    4.34    3.51M       A    09:30    8,339.0
TRAW        +7.2%    2.17    3.95M       A    09:30    2,415.0
AMDY        +7.1%    9.82      N/A       X    07:00    3,603.0
ENPX        +7.1%   16.19      N/A       X    07:00      100.0
AEYE        +7.0%   14.43    8.37M       B    07:11      108.0
UNX         +7.0%   17.85      N/A       X    09:30    2,172.0
INFQ        +7.0%   18.96      N/A       X    07:00   26,798.0
MSII        +7.0%   13.82      N/A       X    09:30      434.0
CHAI        +6.9%    3.55      N/A       A    09:30    2,773.0
FGNX        +6.9%    3.40    5.98M       B    07:00      350.0
NTRB        +6.9%    5.91    4.91M       A    09:30      321.0
MAXN        +6.8%    3.79    6.81M       B    09:30    2,444.0
GRRR        +6.8%   15.02      N/A       X    07:00    2,691.0
GENK        +6.8%    2.94    4.71M       A    09:30    1,466.0
SHFS        +6.7%    2.54    1.32M       A    09:30      214.0
MARO        +6.6%   15.10      N/A       X    09:30   13,822.0
CETX        +6.6%    4.67    0.75M       A    09:30    1,832.0
AIYY        +6.6%    2.27    3.97M       A    07:00    2,026.0
AHMA        +6.6%    4.54    2.02M       A    09:30      999.0
BOSC        +6.5%    6.55     5.5M       B    09:30    3,892.0
VNCE        +6.5%    2.79    2.61M       A    09:30    7,268.0
YDDL        +6.5%    4.60    6.37M       B    07:00      100.0
BDSX        +6.5%    8.29     3.7M       A    09:30    3,952.0
JOBY        +6.4%   15.24      N/A       X    07:00  207,359.0
RETO        +6.4%    2.99    0.77M       A    09:30    7,030.0
JAKK        +6.4%   17.82    9.02M       B    09:30    1,123.0
SDHC        +6.3%   17.82    6.98M       B    09:30      564.0
SMCY        +6.3%   12.34      N/A       X    07:00    2,947.0
SNTG        +6.3%    2.20    1.06M       A    09:30    1,324.0
OPTX        +6.3%    2.37    5.98M       B    09:30      613.0
SEGG        +6.2%    2.91    3.54M       A    07:00      100.0
LNZA        +6.2%   19.02     1.2M       A    09:30      736.0
NOWL        +6.2%   19.86      N/A       X    07:00      250.0
AENT        +6.0%    6.68      N/A       X    09:30    1,565.0
BTCT        +6.0%    2.12    7.18M       B    07:00      927.0
TDOC        +5.9%    8.07      N/A       X    07:00    1,382.0
AGPU        +5.9%    6.67    1.82M       A    09:30      199.0
NVOX        +5.8%    2.55      N/A       X    09:30  367,671.0
DKUP        +5.8%    9.04      N/A       X    09:30      680.0
DWTX        +5.8%    5.50    1.35M       A    09:30      849.0
KLRS        +5.7%    5.00    4.63M       A    09:30      443.0
ASTC        +5.7%    3.53    1.32M       A    09:30      913.0
OPXS        +5.7%   17.00    4.28M       A    09:30      740.0
UUU         +5.6%    4.71    1.57M       A    09:30      890.0
DZZ         +5.6%    5.51      N/A       X    07:00      610.0
MSTY        +5.6%   10.07      N/A       X    07:00   73,354.0
MYSE        +5.5%    2.30    3.97M       A    09:30    4,155.0
MIND        +5.5%   13.14    8.87M       B    07:00      380.0
LGCL        +5.5%    2.90      N/A       X    07:00      700.0
GMEU        +5.4%   11.11      N/A       X    09:30    7,511.0
DOMH        +5.4%    4.89    7.51M       B    09:30    3,311.0
TIVC        +5.4%    2.36    1.53M       A    07:00      629.0
PYPG        +5.3%   15.47      N/A       X    07:00      880.0
SMHB        +5.3%    3.97      N/A       X    09:30    4,040.0
