Scanner Results — 2026-02-09
================================================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol  Discovery     Method
──────── ─────── ─────── ──────── ─────── ──────── ────────── ────────── ──────────
PFSA     +6949.7%    4.11    0.83M       A    09:30   12,637.0      09:30     rescan
UGRO     +2016.9%    3.26    0.67M       A    09:30    3,304.0      09:30     rescan
EDHL     +1514.0%    2.76    0.54M       A    09:30    1,871.0      09:30     rescan
FCUV      +965.8%    7.13    0.46M       A    09:30      144.0      09:30     rescan
HERZ      +897.4%   19.25      N/A       X    10:00    2,852.0      10:00     rescan
UOKA       +84.0%    2.19    1.06M       A    07:00 22,276,513.0      04:00  premarket
MNTS       +45.5%    8.73     1.3M       A    08:00  319,338.0      08:00     rescan
GITS       +22.6%    3.37    2.46M       A    08:30    7,014.0      08:30     rescan
BLSG       +20.7%    3.85    0.07M       A    10:00    4,622.0      10:00     rescan
BLSX       +19.6%    6.74      N/A       X    10:00    2,614.0      10:00     rescan
QSU        +19.2%    4.72    2.59M       A    07:00   51,755.0      04:01  premarket
HUHU       +16.6%    6.60    5.35M       B    10:00    3,114.0      10:00     rescan
LABX       +16.4%   17.00      N/A       X    10:00  646,324.0      10:00     rescan
WTF        +16.2%    3.99    6.35M       B    08:00      105.0      08:00     rescan
UNX        +16.0%    6.16      N/A       X    10:00   74,008.0      10:00     rescan
ELTK       +15.5%    9.76     2.8M       A    08:00  423,304.0      08:00     rescan
CRWG       +13.2%    4.28     5.2M       B    10:00 3,763,051.0      10:00     rescan
CRWU       +12.8%    7.94      N/A       X    10:00  191,014.0      10:00     rescan
RCAX       +12.0%   18.34    0.05M       A    10:00    8,718.0      10:00     rescan
JWEL       +11.1%    2.30    1.83M       A    09:30      502.0      09:30     rescan
CNSP       +11.1%    5.01    0.52M       A    09:00      201.0      09:00     rescan
NBIL       +10.9%    9.48      N/A       X    10:00  548,852.0      10:00     rescan
NBIG       +10.8%    6.72    0.85M       A    10:00  257,553.0      10:00     rescan
BEBE       +10.6%   11.00    5.87M       B    07:00    1,468.0      04:08  premarket
PAVM       +10.3%   11.91     0.7M       A    07:00      201.0      04:23  premarket
TRT        +10.2%    5.75    4.99M       A    10:30   13,235.0      10:30     rescan
SAIH       +10.1%    7.08    1.17M       A    10:30    1,416.0      10:30     rescan
EOSU       +10.1%   13.13    0.15M       A    08:00    8,909.0      08:00     rescan
NVOX        +9.8%   19.32      N/A       X    07:00   46,689.0      04:00  premarket
