symbol,date,fund_gap_pct,fund_float_shares,fund_price_at_sim_start,sm_new_high_count_30m,sm_new_high_cadence_avg_sec,sm_new_high_cadence_stdev_sec,sm_pullback_count_30m,sm_pullback_depth_avg_pct,sm_pullback_depth_max_pct,sm_pullback_recovery_avg_sec,sm_vol_spike_count_30m,sm_vol_total_30m,sm_vol_first_5m,sm_vol_last_5m_of_30,sm_vol_decay_ratio,sm_green_bar_ratio_30m,sm_max_consecutive_green,sm_max_consecutive_red,sm_price_range_30m_pct,sm_upper_wick_ratio_avg,sm_upper_wick_ratio_last_10m,sm_body_ratio_avg,sm_body_ratio_last_10m,sm_pct_bars_above_vwap_30m,sm_vwap_cross_count_30m,sm_max_vwap_distance_pct,sm_price_at_5m,sm_price_at_10m,sm_price_at_15m,sm_price_at_30m,sm_price_at_60m,sm_high_at_30m,sm_high_at_60m,sm_low_at_30m,sm_low_at_60m,trade_num,entry_price,entry_time,stop,r,score,score_detail,tags,exit_price,exit_time,exit_reason,pnl,r_multiple,qty,hold_time_sec,peak_price,peak_time,peak_unrealized_r,time_to_peak_sec,drawdown_from_peak_at_exit_pct,price_1m_after_exit,price_5m_after_exit,price_10m_after_exit,price_30m_after_exit,high_after_exit_30m,low_after_exit_30m,left_on_table_pct
AAOI,2026-02-18,52.784503631961265,71.693048,44.67,3,60.0,0.0,1,0.74,0.74,3180.0,7,7577,59,1899,32.186,0.77,7,2,1.6,0.105,0.266,0.839,0.567,0.43,6,0.67,44.6,44.51,44.7,44.4,44.6,44.71,44.71,44.5,44.38,1,44.095,10:12,43.79,0.305,11.0,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",43.79,10:19,stop_hit,-414.8,-1.0,1360,420,44.21,10:14,0.38,120,0.95,43.7901,43.965,43.92,44.08,44.2,43.75,100.0
AAOI,2026-02-27,52.542372881355945,71.693048,65.93,8,128.6,122.1,5,6.41,9.89,624.0,0,7242429,2379623,612606,0.257,0.53,6,6,18.61,0.328,0.525,0.46,0.392,0.83,1,8.79,72.1999,76.5377,77.3239,70.47,77.18,77.77,78.5,65.568,65.568,1,74.31,09:38,72.0266,2.2834,11.0,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",73.4767,09:38,bearish_engulfing_exit_full,-364.15,-0.36,437,0,74.6,09:38,0.13,0,1.51,76.585,73.48,74.86,74.17,77.77,70.0801,100.0
AAOI,2026-02-27,52.542372881355945,71.693048,65.93,8,128.6,122.1,5,6.41,9.89,624.0,0,7242429,2379623,612606,0.257,0.53,6,6,18.61,0.328,0.525,0.46,0.392,0.83,1,8.79,72.1999,76.5377,77.3239,70.47,77.18,77.77,78.5,65.568,65.568,2,74.66,09:39,73.34,1.32,11.0,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",73.1648,09:39,stop_hit,-1131.87,-1.13,757,0,75.93,09:39,0.96,0,3.64,76.5377,74.68,74.8885,74.786,77.77,70.0801,100.0
AAOI,2026-02-27,52.542372881355945,71.693048,65.93,8,128.6,122.1,5,6.41,9.89,624.0,0,7242429,2379623,612606,0.257,0.53,6,6,18.61,0.328,0.525,0.46,0.392,0.83,1,8.79,72.1999,76.5377,77.3239,70.47,77.18,77.77,78.5,65.568,65.568,3,78.32,10:27,76.7595,1.5605,8.8,macd=5.5*0.6;bull_struct=+3;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'r2g']",77.6101,10:28,bearish_engulfing_exit_full,-454.34,-0.45,640,60,78.5,10:27,0.12,0,1.13,77.5001,78.67,77.84,78.175,79.5,76.9,100.0
ACCL,2026-01-16,-4.1666666666666705,2.926923,7.1,6,132.0,130.1,2,19.41,19.9,270.0,3,2850697,272321,226604,0.832,0.5,6,3,79.69,0.252,0.195,0.47,0.458,0.4,2,20.2,6.89,10.22,9.74,7.9,6.86,11.5,11.5,6.4,6.4,1,10.12,04:08,8.18,1.94,5.5,macd=7.5*0.6;R>=0.08=+1,[],9.98,04:09,bearish_engulfing_exit_full,-72.1,-0.07,515,60,11.5,04:08,0.71,0,13.22,10.22,9.72,9.06,7.58,11.36,7.12,100.0
ACCL,2026-01-16,-4.1666666666666705,2.926923,7.1,6,132.0,130.1,2,19.41,19.9,270.0,3,2850697,272321,226604,0.832,0.5,6,3,79.69,0.252,0.195,0.47,0.458,0.4,2,20.2,6.89,10.22,9.74,7.9,6.86,11.5,11.5,6.4,6.4,2,10.31,04:11,9.56,0.75,5.5,macd=7.5*0.6;R>=0.08=+1,[],9.56,04:13,stop_hit,-999.75,-1.0,1333,120,11.36,04:11,1.4,0,15.85,9.72,9.29,8.0,7.49,10.2,7.12,0.0
ACON,2026-01-08,1.9626865671641784,0.671344,7.64,4,280.0,283.5,2,9.14,9.63,1140.0,4,4420273,1298425,378706,0.292,0.53,4,3,18.76,0.374,0.314,0.321,0.305,1.0,0,9.57,7.89,8.38,8.47,8.2,8.9049,8.8,9.36,7.41,7.41,1,8.22,07:01,7.4,0.82,12.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g']",8.12,07:01,bearish_engulfing_exit_full,-121.9,-0.12,1219,0,8.42,07:01,0.24,0,3.56,8.17,7.96,8.38,8.13,8.8,7.73,100.0
ACON,2026-01-08,1.9626865671641784,0.671344,7.64,4,280.0,283.5,2,9.14,9.63,1140.0,4,4420273,1298425,378706,0.292,0.53,4,3,18.76,0.374,0.314,0.321,0.305,1.0,0,9.57,7.89,8.38,8.47,8.2,8.9049,8.8,9.36,7.41,7.41,2,8.21,07:04,7.94,0.27,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",7.94,07:04,stop_hit,-999.81,-1.0,3703,0,8.23,07:04,0.07,0,3.52,7.89,8.14,8.49,8.36,8.8,7.73,100.0
ACON,2026-01-08,1.9626865671641784,0.671344,7.64,4,280.0,283.5,2,9.14,9.63,1140.0,4,4420273,1298425,378706,0.292,0.53,4,3,18.76,0.374,0.314,0.321,0.305,1.0,0,9.57,7.89,8.38,8.47,8.2,8.9049,8.8,9.36,7.41,7.41,3,8.52,09:38,8.19,0.33,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",8.19,09:39,stop_hit,-999.9,-1.0,3030,60,8.78,09:39,0.79,60,6.72,8.23,7.8301,7.87,8.496,8.98,7.56,100.0
ACON,2026-02-13,2.2350746268656656,0.671344,2.57,0,0.0,0.0,0,0.0,0.0,0.0,4,3414,1292,50,0.039,0.9,17,1,5.91,0.111,0.0,0.889,1.0,1.0,0,4.8,2.56,2.56,2.56,2.56,2.64,,2.57,,2.56,1,2.66,09:30,2.53,0.13,5.5,macd=7.5*0.6;R>=0.08=+1,[],2.665,11:58,topping_wicky_exit_full,38.46,0.04,7692,8880,2.69,10:03,0.23,1980,0.93,,,,,,,
