# Format: SYMBOL,DATE,START,END
# Section A: Already backtested (25 stocks)
VERO,2026-01-16,07:00,12:00
GWAV,2026-01-16,07:00,12:00
APVO,2026-01-09,07:00,12:00
ALMS,2026-01-06,07:00,12:00
ANPA,2026-01-09,07:00,12:00
FLYX,2026-01-08,07:00,12:00
HIND,2026-01-27,07:00,12:00
MLEC,2026-02-13,07:00,12:00
BNAI,2026-02-05,07:00,12:00
SNSE,2026-02-18,07:00,12:00
ELAB,2026-01-06,07:00,12:00
SXTP,2026-01-28,07:00,12:00
GRI,2026-01-28,07:00,12:00
OPTX,2026-01-06,07:00,12:00
MOVE,2026-01-23,07:00,12:00
SLE,2026-01-23,07:00,12:00
BCTX,2026-01-27,07:00,12:00
TNMG,2026-01-16,07:00,12:00
LCFY,2026-01-16,07:00,12:00
ROLR,2026-01-14,07:00,12:00
RVSN,2026-02-05,07:00,12:00
PAVM,2026-01-21,07:00,12:00
ACON,2026-01-08,07:00,12:00
# Section B: New from scanner screenshots (7 stocks)
FEED,2026-01-09,07:29,12:00
ACCL,2026-01-16,04:00,12:00
STKH,2026-01-16,07:14,12:00
AZI,2026-01-06,07:27,12:00
SHPH,2026-01-09,08:04,12:00
IBIO,2026-01-06,07:46,12:00
STSS,2026-01-16,07:01,12:00
# Section C: Today's live session (9 stocks)
ANNA,2026-02-27,08:30,12:00
ARLO,2026-02-27,09:20,12:00
CDIO,2026-02-27,09:45,12:00
AAOI,2026-02-27,09:30,12:00
FIGS,2026-02-27,09:00,12:00
ONMD,2026-02-27,08:30,12:00
MRM,2026-02-27,08:00,12:00
BATL,2026-02-27,08:00,12:00
LBGJ,2026-02-27,09:00,12:00
