date,time_et_or_event,equity
session_open,float,30000.0
2026-01-02,07:54:00,29241.48
2026-01-02,11:13:00,29504.47
2026-01-02,11:31:00,30106.55
2026-01-05,11:15:00,29886.64
2026-01-05,11:37:00,30517.38
2026-01-05,11:56:00,29377.09
2026-01-06,09:25:00,29861.97
2026-01-06,11:37:00,29736.81
2026-01-06,11:52:00,29736.81
2026-01-06,11:58:00,29915.69
2026-01-06,15:54:00,28415.73
2026-01-06,19:33:00,28486.78
2026-01-07,09:24:00,28681.08
2026-01-07,13:15:00,28096.59
2026-01-07,14:01:00,27357.18
2026-01-07,15:41:00,27469.67
2026-01-08,09:24:00,28005.22
2026-01-08,09:25:00,28734.44
2026-01-08,11:37:00,29388.01
2026-01-08,18:06:00,31568.69
2026-01-08,19:55:00,31378.42
2026-01-09,06:53:00,31476.81
2026-01-09,07:50:00,35373.33
2026-01-09,10:53:00,35487.1
2026-01-09,12:49:00,35626.43
2026-01-09,13:55:00,35757.8
2026-01-09,14:12:00,35889.17
2026-01-09,14:18:00,35110.5
2026-01-09,15:47:00,34984.79
2026-01-09,15:54:00,35122.82
2026-01-09,17:47:00,34998.66
2026-01-09,19:21:00,35314.86
2026-01-09,19:51:00,34608.64
2026-01-09,19:53:00,34876.85
2026-01-12,09:02:00,35143.22
2026-01-12,09:20:00,36162.7
2026-01-12,09:28:00,37887.46
2026-01-12,09:32:00,36893.24
2026-01-12,11:48:00,37416.44
2026-01-12,12:52:00,37945.49
2026-01-12,13:31:00,38260.46
2026-01-12,15:42:00,38787.61
2026-01-12,18:33:00,39522.24
2026-01-12,19:06:00,39958.08
2026-01-12,19:10:00,39653.03
2026-01-13,09:24:00,39184.46
2026-01-13,10:10:00,40302.34
2026-01-13,10:19:00,38802.49
2026-01-13,15:08:00,39401.62
2026-01-13,16:19:00,37902.07
2026-01-14,05:49:00,37777.07
2026-01-14,07:53:00,38589.29
2026-01-14,10:14:00,37808.62
2026-01-14,11:12:00,38469.77
2026-01-14,12:13:00,38195.1
2026-01-14,16:49:00,38523.22
2026-01-14,17:13:00,38721.13
2026-01-14,17:28:00,39404.78
2026-01-14,19:42:00,40106.81
2026-01-15,09:32:00,38754.87
2026-01-15,10:32:00,39293.62
2026-01-15,10:32:00,39895.87
2026-01-15,11:42:00,40076.09
2026-01-15,11:56:00,38576.23
2026-01-15,11:58:00,38576.23
2026-01-15,16:44:00,39670.19
2026-01-15,16:54:00,40648.74
2026-01-15,19:22:00,40856.29
2026-01-15,19:57:00,40991.06
2026-01-16,06:07:00,41560.67
2026-01-16,06:17:00,46331.35
2026-01-16,08:00:00,50116.35
2026-01-16,08:49:00,50562.78
2026-01-16,08:50:00,50437.78
2026-01-16,08:53:00,49971.88
2026-01-16,09:02:00,49618.68
2026-01-16,09:16:00,49786.11
2026-01-16,09:44:00,51151.18
2026-01-16,10:57:00,50934.97
2026-01-16,17:43:00,51563.6
2026-01-16,19:41:00,50994.72
2026-01-16,19:49:00,50870.1
2026-01-16,19:58:00,50648.38
2026-01-20,05:49:00,51142.81
2026-01-20,07:41:00,50752.45
2026-01-20,09:00:00,49931.55
2026-01-20,13:57:00,50211.88
2026-01-20,18:43:00,48711.91
2026-01-20,19:28:00,49592.64
2026-01-20,19:40:00,49110.55
2026-01-21,08:13:00,83743.78
2026-01-21,09:20:00,83806.43
2026-01-21,09:36:00,82306.52
2026-01-21,11:00:00,82955.79
