symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
SOLT,2026-01-02,15,7,11:09:00,6.92,7.266,6.8728,11:20:00,7.015,time_stop,0.095,7225,686.37,0.0472,11.0
SOLT,2026-01-02,17,7,11:23:00,7.0414,7.3935,6.9939,11:34:00,7.16,time_stop,0.1186,7100,842.06,0.0475,11.0
TBMC,2026-01-02,5,7,07:51:00,14.17,14.8785,13.955,07:54:00,13.955,stop_hit,-0.215,3528,-758.43,0.215,3.0
NCEL,2026-01-05,15,7,11:12:00,2.16,2.268,2.1505,11:15:00,2.1505,stop_hit,-0.0095,23148,-219.67,0.01,3.0
NCEL,2026-01-05,17,7,11:30:00,2.1799,2.2889,2.1347,11:39:00,2.2889,target_hit,0.109,22099,2408.68,0.0452,9.0
NCEL,2026-01-05,19,7,11:47:00,2.28,2.394,2.1945,11:56:00,2.215,session_end,-0.065,11695,-760.17,0.0855,9.0
CYCN,2026-01-06,23,10,15:49:00,2.105,2.2103,1.995,15:54:00,1.995,stop_hit,-0.11,9090,-999.9,0.11,5.0
CYCN,2026-01-06,28,7,19:32:00,1.9,1.995,1.8954,19:43:00,1.9,time_stop,0.0,26315,0.0,0.01,11.0
LGCB,2026-01-06,15,8,11:52:00,2.08,2.184,2.0449,11:52:00,2.08,session_end,0.0,24038,0.0,0.0351,0.0
NOMA,2026-01-06,4,8,09:23:00,4.0008,4.2008,3.9601,09:32:00,3.9601,stop_hit,-0.0407,12497,-508.94,0.0407,9.0
PASG,2026-01-06,4,9,11:20:00,18.165,19.0733,17.7954,11:31:00,18.185,time_stop,0.02,2705,54.1,0.3696,11.0
RNAZ,2026-01-06,7,7,11:36:00,7.55,7.9275,7.5311,11:37:00,7.5311,stop_hit,-0.0189,6622,-124.99,0.0189,1.0
CDIO,2026-01-07,11,10,13:10:00,2.84,2.982,2.8068,13:15:00,2.8068,stop_hit,-0.0332,17605,-585.09,0.0332,5.0
CDIO,2026-01-07,13,8,13:16:00,2.84,2.982,2.798,13:27:00,2.848,time_stop,0.008,17605,140.84,0.042,11.0
CDIO,2026-01-07,15,7,13:31:00,2.83,2.9715,2.8229,13:36:00,2.8229,stop_hit,-0.0071,17667,-124.99,0.01,5.0
CDIO,2026-01-07,28,8,15:36:00,2.8001,2.9401,2.793,15:47:00,2.83,time_stop,0.0299,17856,533.89,0.01,11.0
GNPX,2026-01-07,7,7,09:11:00,1.93,2.0265,1.9252,09:22:00,1.9332,time_stop,0.0032,25906,82.9,0.01,11.0
ACON,2026-01-08,17,7,18:05:00,7.8,8.19,7.7805,18:16:00,7.86,time_stop,0.06,6410,384.6,0.0195,11.0
ACON,2026-01-08,35,8,19:54:00,7.62,8.001,7.591,19:55:00,7.591,stop_hit,-0.029,6561,-190.43,0.029,1.0
CNCK,2026-01-08,8,8,09:00:00,2.53,2.6565,2.4843,09:11:00,2.4905,time_stop,-0.0395,19762,-780.6,0.0457,11.0
CNCK,2026-01-08,13,9,09:24:00,2.53,2.6565,2.5037,09:32:00,2.5037,stop_hit,-0.0263,19762,-519.25,0.0263,8.0
ELAB,2026-01-08,10,7,11:36:00,5.8063,6.0966,5.7306,11:46:00,5.7306,stop_hit,-0.0757,8611,-651.53,0.0757,10.0
ANPA,2026-01-09,8,8,06:45:00,30.99,32.5395,29.8253,07:28:00,32.0,time_stop,1.01,858,866.58,1.1647,43.0
ANPA,2026-01-09,14,8,19:20:00,79.28,83.244,78.3038,19:31:00,79.32,time_stop,0.04,630,25.2,0.9762,11.0
FEED,2026-01-09,6,9,10:52:00,2.2414,2.3535,2.2344,10:55:00,2.2344,stop_hit,-0.007,22307,-156.15,0.01,3.0
ICON,2026-01-09,18,8,14:06:00,3.05,3.2025,3.0025,14:17:00,3.04,time_stop,-0.01,16393,-163.93,0.0475,11.0
ICON,2026-01-09,35,7,17:46:00,2.98,3.129,2.9726,17:47:00,2.9726,stop_hit,-0.0074,16778,-125.0,0.01,1.0
ICON,2026-01-09,42,7,19:45:00,3.02,3.171,2.9925,19:56:00,3.01,time_stop,-0.01,16556,-165.56,0.0275,11.0
KUST,2026-01-09,8,7,06:52:00,3.1,3.255,3.0923,06:53:00,3.0923,stop_hit,-0.0077,16129,-125.0,0.01,1.0
KUST,2026-01-09,30,8,12:48:00,2.4401,2.5621,2.4339,12:59:00,2.535,time_stop,0.0949,20490,1944.5,0.01,11.0
