symbol,date,session_start_et,session_end_et,total_ticks,total_bars,total_waves,waves_per_hour,avg_wave_magnitude_pct,median_wave_magnitude_pct,max_wave_magnitude_pct,avg_wave_duration_min,up_waves,down_waves,setups_score_ge_7,trades_simulated,trades_pnl_total,waves_premarket,waves_morning,waves_midday,waves_close,waves_afterhours
FUTG,2026-01-02,10:03:59,11:54:27,39,26,3,1.63,1.368,1.198,1.757,6.67,1,2,0,0,0,0,3,0,0,0
PAVS,2026-01-02,08:30:00,11:59:56,65706,209,1,0.29,3.213,3.213,3.213,3.0,1,0,0,0,0,0,1,0,0,0
SMX,2026-01-02,10:30:00,11:59:58,24143,89,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
SNSE,2026-01-02,07:00:00,11:59:52,16595,296,3,0.6,3.766,2.013,7.439,3.0,2,1,0,0,0,1,2,0,0,0
SOLT,2026-01-02,07:00:00,11:59:56,12401,292,24,4.8,1.283,1.113,2.402,4.79,9,15,2,2,1528.43,3,21,0,0,0
TBMC,2026-01-02,07:00:00,11:58:15,739,158,33,6.64,2.877,2.905,4.728,6.52,18,15,1,1,-758.43,17,16,0,0,0
CVV,2026-01-05,10:00:08,11:57:00,252,86,15,7.7,2.555,2.411,4.533,4.13,12,3,0,0,0,0,15,0,0,0
NCEL,2026-01-05,08:00:00,11:59:52,2989,183,20,5.0,2.602,2.222,6.481,5.9,9,11,3,3,1428.84,8,12,0,0,0
RGTX,2026-01-05,10:00:00,11:59:59,8289,119,3,1.5,1.204,1.188,1.367,3.0,0,3,0,0,0,0,3,0,0,0
RKLZ,2026-01-05,09:30:00,11:59:59,6099,148,18,7.2,1.754,1.615,2.857,3.89,10,8,0,0,0,0,18,0,0,0
SOLT,2026-01-05,07:00:00,11:59:54,12117,298,21,4.2,1.211,1.177,1.731,6.29,15,6,0,0,0,6,15,0,0,0
SOUX,2026-01-05,10:00:01,11:59:25,1218,116,18,9.05,1.381,1.327,2.151,4.5,11,7,0,0,0,0,18,0,0,0
UUU,2026-01-05,10:00:00,11:59:49,1101,117,5,2.5,1.866,1.876,2.43,3.2,1,4,0,0,0,0,5,0,0,0
CELZ,2026-01-06,10:00:00,11:58:11,2060,97,8,4.06,2.639,2.857,4.652,3.5,7,1,0,0,0,0,8,0,0,0
CYCN,2026-01-06,04:00:00,19:59:59,358431,956,28,1.75,2.357,1.485,11.765,3.29,15,13,2,2,-999.9,12,3,4,4,5
ELAB,2026-01-06,09:30:00,11:59:56,35259,145,1,0.4,10.08,10.08,10.08,5.0,0,1,0,0,0,0,1,0,0,0
LGCB,2026-01-06,10:00:18,11:54:38,511,80,16,8.4,2.395,2.416,4.592,4.31,9,7,1,1,0.0,0,16,0,0,0
NOMA,2026-01-06,07:00:00,11:59:34,34394,298,8,1.6,2.132,2.158,3.261,4.0,2,6,1,1,-508.94,6,2,0,0,0
PASG,2026-01-06,10:00:00,11:59:59,955,109,8,4.0,2.135,2.333,3.359,3.38,4,4,1,1,54.1,0,8,0,0,0
