symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
SOLT,2026-01-02,15,7,11:09:00,6.92,6.96,6.8728,11:13:00,6.96,target_hit,0.04,7225,289.0,0.0472,4.0
TBMC,2026-01-02,5,7,07:51:00,14.17,14.63,13.955,07:54:00,13.955,stop_hit,-0.215,2325,-499.82,0.215,3.0
NCEL,2026-01-05,15,7,11:12:00,2.16,2.3,2.1505,11:15:00,2.1505,stop_hit,-0.0095,23148,-219.67,0.01,3.0
NCEL,2026-01-05,17,7,11:30:00,2.1799,2.18,2.1347,11:31:00,2.18,target_hit,0.0001,11049,1.1,0.0452,1.0
CYCN,2026-01-06,28,7,19:32:00,1.9,1.92,1.8954,19:43:00,1.9,time_stop,0.0,26315,0.0,0.01,11.0
RNAZ,2026-01-06,7,7,11:36:00,7.55,7.71,7.5311,11:37:00,7.5311,stop_hit,-0.0189,6622,-124.99,0.0189,1.0
CDIO,2026-01-07,15,7,13:31:00,2.83,2.86,2.8229,13:36:00,2.8229,stop_hit,-0.0071,17667,-124.99,0.01,5.0
CDIO,2026-01-07,28,8,15:36:00,2.8001,2.93,2.793,15:47:00,2.83,time_stop,0.0299,17856,533.89,0.01,11.0
GNPX,2026-01-07,7,7,09:11:00,1.93,2.0,1.9252,09:22:00,1.9332,time_stop,0.0032,25906,82.9,0.01,11.0
ACON,2026-01-08,35,8,19:54:00,7.62,7.87,7.591,19:55:00,7.591,stop_hit,-0.029,6561,-190.43,0.029,1.0
CNCK,2026-01-08,8,8,09:00:00,2.53,3.4499,2.4843,09:11:00,2.4905,time_stop,-0.0395,19762,-780.6,0.0457,11.0
ELAB,2026-01-08,10,7,11:36:00,5.8063,6.2,5.7306,11:46:00,5.7306,stop_hit,-0.0757,6608,-499.98,0.0757,10.0
ANPA,2026-01-09,14,8,19:20:00,79.28,86.85,78.3038,19:31:00,79.32,time_stop,0.04,630,25.2,0.9762,11.0
FEED,2026-01-09,6,9,10:52:00,2.2414,2.3197,2.2344,10:55:00,2.2344,stop_hit,-0.007,22307,-156.15,0.01,3.0
ICON,2026-01-09,35,7,17:46:00,2.98,3.02,2.9726,17:47:00,2.9726,stop_hit,-0.0074,16778,-125.0,0.01,1.0
ICON,2026-01-09,42,7,19:45:00,3.02,3.05,2.9925,19:53:00,3.05,target_hit,0.03,16556,496.68,0.0275,8.0
KUST,2026-01-09,8,7,06:52:00,3.1,3.17,3.0923,06:53:00,3.0923,stop_hit,-0.0077,16129,-125.0,0.01,1.0
KUST,2026-01-09,30,8,12:48:00,2.4401,2.5681,2.4339,12:59:00,2.535,time_stop,0.0949,20490,1944.5,0.01,11.0
KUST,2026-01-09,39,7,13:54:00,2.55,2.63,2.5436,14:03:00,2.5436,stop_hit,-0.0064,19607,-124.99,0.01,9.0
KUST,2026-01-09,41,9,14:10:00,2.5501,2.63,2.5437,14:21:00,2.5619,time_stop,0.0118,19607,231.36,0.01,11.0
KUST,2026-01-09,53,7,15:46:00,2.625,2.705,2.6184,15:47:00,2.6184,stop_hit,-0.0066,19047,-125.0,0.01,1.0
KUST,2026-01-09,54,7,15:53:00,2.608,2.705,2.5985,15:54:00,2.5985,stop_hit,-0.0095,19171,-182.36,0.01,1.0
KUST,2026-01-09,72,7,19:50:00,2.57,2.6,2.5337,19:51:00,2.5337,stop_hit,-0.0363,13755,-499.99,0.0363,1.0
BDSX,2026-01-12,17,7,18:25:00,7.84,7.95,7.8104,18:33:00,7.95,target_hit,0.11,6377,701.47,0.0296,8.0
GNPX,2026-01-12,3,8,09:01:00,2.29,2.3,2.2744,09:02:00,2.3,target_hit,0.01,21834,218.34,0.0156,1.0
NCEL,2026-01-12,15,8,09:14:00,2.31,2.34,2.2843,09:20:00,2.34,target_hit,0.03,21645,649.35,0.0257,6.0
NCEL,2026-01-12,27,7,12:50:00,2.4099,2.44,2.4009,12:53:00,2.44,target_hit,0.0301,20747,624.48,0.01,3.0
NCEL,2026-01-12,33,7,13:30:00,2.27,2.46,2.2643,13:41:00,2.32,time_stop,0.05,22026,1101.3,0.01,11.0
NCEL,2026-01-12,47,7,15:37:00,2.3996,2.44,2.3493,15:42:00,2.44,target_hit,0.0404,9942,401.66,0.0503,5.0
NCEL,2026-01-12,62,8,19:00:00,2.4206,2.46,2.404,19:08:00,2.46,target_hit,0.0394,20656,813.85,0.0166,8.0
OM,2026-01-12,31,7,17:09:00,5.54,5.665,5.5062,17:20:00,5.54,time_stop,0.0,9025,0.0,0.0338,11.0
OM,2026-01-12,32,9,17:20:00,5.54,5.665,5.5361,17:24:00,5.5361,stop_hit,-0.0039,9025,-34.97,0.01,4.0
AHMA,2026-01-13,5,7,10:18:00,11.09,12.53,10.6633,10:19:00,10.6633,stop_hit,-0.4267,1171,-499.69,0.4267,1.0
RZLV,2026-01-13,4,9,09:22:00,4.2895,4.32,4.2493,09:24:00,4.2493,stop_hit,-0.0402,11656,-467.99,0.0402,2.0
CMND,2026-01-14,15,7,11:09:00,2.42,2.44,2.384,11:10:00,2.44,target_hit,0.02,13898,277.96,0.036,1.0
CMND,2026-01-14,26,7,12:11:00,2.4574,2.535,2.4439,12:13:00,2.4439,stop_hit,-0.0135,20346,-275.18,0.0135,2.0
MVO,2026-01-14,56,7,16:16:00,1.92,1.97,1.9052,16:30:00,1.92,time_stop,0.0,26041,0.0,0.0148,14.0
MVO,2026-01-14,58,7,17:11:00,1.92,1.97,1.9152,17:15:00,1.9152,stop_hit,-0.0048,26041,-125.0,0.01,4.0
MVO,2026-01-14,60,9,17:27:00,1.9308,1.97,1.9252,17:43:00,1.96,time_stop,0.0292,25896,756.16,0.01,16.0
AGPU,2026-01-15,19,7,16:43:00,6.618,7.46,6.5835,16:52:00,6.5835,stop_hit,-0.0345,7555,-260.65,0.0345,9.0
