symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes,slot
TBMC,2026-01-02,5,7,07:51:00,14.17,0.0,13.955,07:54:00,13.955,stop_hit,-0.215,3528,-758.43,0.215,3.0,0
SOLT,2026-01-02,15,7,11:09:00,6.92,0.0,6.8728,11:13:00,6.9564,trailing_stop,0.0364,7225,262.9,0.0472,4.0,0
SOLT,2026-01-02,17,7,11:23:00,7.0414,0.0,6.9939,11:31:00,7.1262,trailing_stop,0.0848,7100,602.33,0.0475,8.0,0
NCEL,2026-01-05,15,7,11:12:00,2.16,0.0,2.1505,11:15:00,2.1505,stop_hit,-0.0095,23148,-219.67,0.01,3.0,0
NCEL,2026-01-05,17,7,11:30:00,2.1799,0.0,2.1347,11:37:00,2.2074,trailing_stop,0.0275,22936,630.08,0.0452,7.0,0
NCEL,2026-01-05,19,7,11:47:00,2.28,0.0,2.1945,11:56:00,2.215,session_end,-0.065,11695,-760.17,0.0855,9.0,0
NOMA,2026-01-06,4,8,09:23:00,4.0008,0.0,3.9601,09:25:00,4.0396,trailing_stop,0.0388,12497,485.35,0.0407,2.0,0
PASG,2026-01-06,4,9,11:20:00,18.165,0.0,17.7954,11:58:00,18.23,session_end,0.065,2705,175.83,0.3696,38.0,0
RNAZ,2026-01-06,7,7,11:36:00,7.55,0.0,7.5311,11:37:00,7.5311,stop_hit,-0.0189,6622,-124.99,0.0189,1.0,1
LGCB,2026-01-06,15,8,11:52:00,2.08,0.0,2.0449,11:52:00,2.08,session_end,0.0,24038,0.0,0.0351,0.0,1
CYCN,2026-01-06,23,10,15:49:00,2.105,0.0,1.995,15:54:00,1.995,stop_hit,-0.11,9090,-999.9,0.11,5.0,0
CYCN,2026-01-06,28,7,19:32:00,1.9,0.0,1.8954,19:33:00,1.9027,trailing_stop,0.0027,26315,71.7,0.01,1.0,0
GNPX,2026-01-07,7,7,09:11:00,1.93,0.0,1.9252,09:24:00,1.9375,trailing_stop,0.0075,25906,193.97,0.01,13.0,0
CDIO,2026-01-07,11,10,13:10:00,2.84,0.0,2.8068,13:15:00,2.8068,stop_hit,-0.0332,17605,-585.09,0.0332,5.0,0
CDIO,2026-01-07,13,8,13:16:00,2.84,0.0,2.798,14:01:00,2.798,stop_hit,-0.042,17605,-739.63,0.042,45.0,0
CDIO,2026-01-07,28,8,15:36:00,2.8001,0.0,2.793,15:41:00,2.8064,trailing_stop,0.0063,17856,113.39,0.01,5.0,0
CNCK,2026-01-08,8,8,09:00:00,2.53,0.0,2.4843,09:24:00,2.5571,trailing_stop,0.0271,19762,536.28,0.0457,24.0,0
CNCK,2026-01-08,13,9,09:24:00,2.53,0.0,2.5037,09:25:00,2.5669,trailing_stop,0.0369,19762,728.48,0.0263,1.0,0
ELAB,2026-01-08,10,7,11:36:00,5.8063,0.0,5.7306,11:37:00,5.8822,trailing_stop,0.0759,8611,653.31,0.0757,1.0,0
ACON,2026-01-08,17,7,18:05:00,7.8,0.0,7.7805,18:06:00,8.1402,trailing_stop,0.3403,6410,2181.0,0.0195,1.0,0
ACON,2026-01-08,35,8,19:54:00,7.62,0.0,7.591,19:55:00,7.591,stop_hit,-0.029,6561,-190.43,0.029,1.0,0
ANPA,2026-01-09,8,8,06:45:00,30.99,0.0,29.8253,07:50:00,34.0176,trailing_stop,3.0276,1631,5510.08,1.1647,65.0,0
KUST,2026-01-09,8,7,06:52:00,3.1,0.0,3.0923,06:53:00,3.1061,trailing_stop,0.0061,16129,98.79,0.01,1.0,1
FEED,2026-01-09,6,9,10:52:00,2.2414,0.0,2.2344,10:53:00,2.2465,trailing_stop,0.0051,22307,113.77,0.01,1.0,0
KUST,2026-01-09,30,8,12:48:00,2.4401,0.0,2.4339,12:49:00,2.4469,trailing_stop,0.0068,20490,139.33,0.01,1.0,0
KUST,2026-01-09,39,7,13:54:00,2.55,0.0,2.5436,13:55:00,2.5567,trailing_stop,0.0067,19607,131.61,0.01,1.0,0
ICON,2026-01-09,18,8,14:06:00,3.05,0.0,3.0025,14:18:00,3.0025,stop_hit,-0.0475,16393,-779.08,0.0475,12.0,0
KUST,2026-01-09,41,9,14:10:00,2.5501,0.0,2.5437,14:12:00,2.5568,trailing_stop,0.0067,19607,131.61,0.01,2.0,1
KUST,2026-01-09,53,7,15:46:00,2.625,0.0,2.6184,15:47:00,2.6184,stop_hit,-0.0066,19047,-125.0,0.01,1.0,0
KUST,2026-01-09,54,7,15:53:00,2.608,0.0,2.5985,15:54:00,2.6152,trailing_stop,0.0072,19171,138.87,0.01,1.0,0
ICON,2026-01-09,35,7,17:46:00,2.98,0.0,2.9726,17:47:00,2.9726,stop_hit,-0.0074,16778,-125.0,0.01,1.0,0
ANPA,2026-01-09,14,8,19:20:00,79.28,0.0,78.3038,19:21:00,79.7819,trailing_stop,0.5019,630,316.18,0.9762,1.0,0
ICON,2026-01-09,42,7,19:45:00,3.02,0.0,2.9925,19:53:00,3.0362,trailing_stop,0.0162,16556,269.03,0.0275,8.0,0
KUST,2026-01-09,72,7,19:50:00,2.57,0.0,2.5337,19:51:00,2.5337,stop_hit,-0.0363,19455,-707.19,0.0363,1.0,1
GNPX,2026-01-12,3,8,09:01:00,2.29,0.0,2.2744,09:02:00,2.3022,trailing_stop,0.0122,21834,266.37,0.0156,1.0,0
NCEL,2026-01-12,15,8,09:14:00,2.31,0.0,2.2843,09:20:00,2.3571,trailing_stop,0.0471,21645,1020.29,0.0257,6.0,0
NCEL,2026-01-12,17,7,09:26:00,2.38,0.0,2.3242,09:28:00,2.4621,trailing_stop,0.0821,20969,1629.61,0.0558,2.0,0
CLRB,2026-01-12,17,8,09:30:00,3.47,0.0,3.401,09:32:00,3.401,stop_hit,-0.069,14409,-994.56,0.069,2.0,0
AKAN,2026-01-12,2,7,11:47:00,2.4177,0.0,2.404,11:48:00,2.443,trailing_stop,0.0253,20680,523.98,0.0137,1.0,0
NCEL,2026-01-12,27,7,12:50:00,2.4099,0.0,2.4009,12:52:00,2.4354,trailing_stop,0.0255,20747,528.87,0.01,2.0,0
NCEL,2026-01-12,33,7,13:30:00,2.27,0.0,2.2643,13:31:00,2.2843,trailing_stop,0.0143,22026,314.15,0.01,1.0,0
NCEL,2026-01-12,47,7,15:37:00,2.3996,0.0,2.3493,15:42:00,2.4249,trailing_stop,0.0253,20820,486.37,0.0503,5.0,0
OM,2026-01-12,31,7,17:09:00,5.54,0.0,5.5062,19:10:00,5.5062,stop_hit,-0.0338,9025,-305.05,0.0338,121.0,0
BDSX,2026-01-12,17,7,18:25:00,7.84,0.0,7.8104,18:33:00,7.9552,trailing_stop,0.1152,6377,734.71,0.0296,8.0,1
NCEL,2026-01-12,62,8,19:00:00,2.4206,0.0,2.404,19:06:00,2.4417,trailing_stop,0.0211,20656,435.58,0.0166,6.0,1
RZLV,2026-01-13,4,9,09:22:00,4.2895,0.0,4.2493,09:24:00,4.2493,stop_hit,-0.0402,11656,-467.99,0.0402,2.0,0
PMAX,2026-01-13,7,8,10:09:00,2.12,0.0,2.0748,10:10:00,2.1674,trailing_stop,0.0474,23569,1085.5,0.0452,1.0,0
AHMA,2026-01-13,5,7,10:18:00,11.09,0.0,10.6633,10:19:00,10.6633,stop_hit,-0.4267,2343,-999.82,0.4267,1.0,0
BCTX,2026-01-13,4,7,15:06:00,10.58,0.0,10.4937,15:08:00,10.7068,trailing_stop,0.1268,4725,599.37,0.0863,2.0,0
AHMA,2026-01-13,6,7,16:17:00,12.8995,0.0,12.2992,16:19:00,12.2992,stop_hit,-0.6003,1665,-999.54,0.6003,2.0,0
CMND,2026-01-14,3,7,05:05:00,2.4,0.0,2.394,05:49:00,2.394,stop_hit,-0.006,20833,-125.0,0.01,44.0,0
MVO,2026-01-14,15,8,07:44:00,2.29,0.0,2.2244,07:53:00,2.3272,trailing_stop,0.0372,21638,357.97,0.0656,9.0,0
CMND,2026-01-14,7,8,10:11:00,2.4401,0.0,2.402,10:14:00,2.402,stop_hit,-0.0381,20490,-781.08,0.0381,3.0,0
CMND,2026-01-14,15,7,11:09:00,2.42,0.0,2.384,11:12:00,2.452,trailing_stop,0.032,20661,661.41,0.036,3.0,0
CMND,2026-01-14,26,7,12:11:00,2.4574,0.0,2.4439,12:13:00,2.4439,stop_hit,-0.0135,20346,-275.18,0.0135,2.0,0
MVO,2026-01-14,56,7,16:16:00,1.92,0.0,1.9052,16:49:00,1.9326,trailing_stop,0.0126,26041,328.44,0.0148,33.0,0
MVO,2026-01-14,58,7,17:11:00,1.92,0.0,1.9152,17:13:00,1.9276,trailing_stop,0.0076,26041,197.91,0.01,2.0,0
MVO,2026-01-14,60,9,17:27:00,1.9308,0.0,1.9252,17:28:00,1.9572,trailing_stop,0.0264,25896,683.33,0.01,1.0,0
ROLR,2026-01-14,19,9,19:39:00,18.0,0.0,17.7256,19:42:00,18.2528,trailing_stop,0.2528,2777,701.99,0.2744,3.0,0
ARAI,2026-01-15,7,8,08:34:00,2.77,0.0,2.6951,09:32:00,2.6951,stop_hit,-0.0749,13359,-999.98,0.0749,58.0,0
QMCO,2026-01-15,5,7,10:18:00,7.7768,0.0,7.678,10:32:00,7.8606,trailing_stop,0.0838,6429,538.61,0.0988,14.0,0
NUWE,2026-01-15,4,7,10:29:00,2.2831,0.0,2.2444,10:32:00,2.3106,trailing_stop,0.0275,21900,603.07,0.0387,3.0,1
CEPT,2026-01-15,7,8,11:37:00,11.9015,0.0,11.8303,11:42:00,11.9444,trailing_stop,0.0429,4201,180.33,0.0712,5.0,0
CHNR,2026-01-15,9,7,11:50:00,4.61,0.0,4.4389,11:56:00,4.4389,stop_hit,-0.1711,5843,-999.88,0.1711,6.0,0
CEPT,2026-01-15,9,8,11:57:00,11.935,0.0,11.8204,11:58:00,11.935,session_end,0.0,4189,0.0,0.1146,1.0,0
AGPU,2026-01-15,19,7,16:43:00,6.618,0.0,6.5835,16:44:00,6.7628,trailing_stop,0.1448,7555,1093.59,0.0345,1.0,0
AGPU,2026-01-15,20,8,16:53:00,6.55,0.0,6.5465,16:54:00,6.6782,trailing_stop,0.1282,7633,978.9,0.01,1.0,0
BNKK,2026-01-15,14,8,19:21:00,3.71,0.0,3.7007,19:22:00,3.7254,trailing_stop,0.0154,13477,207.04,0.01,1.0,0
BNKK,2026-01-15,18,7,19:56:00,3.71,0.0,3.7007,19:57:00,3.72,trailing_stop,0.01,13477,134.26,0.01,1.0,0
SVRE,2026-01-16,4,8,06:05:00,1.58,0.0,1.5761,06:07:00,1.598,trailing_stop,0.018,31645,570.4,0.01,2.0,0
SVRE,2026-01-16,5,8,06:16:00,1.75,0.0,1.6359,06:17:00,2.1129,trailing_stop,0.3629,17528,4258.43,0.1141,1.0,0
STSS,2026-01-16,5,8,07:48:00,2.21,0.0,2.1646,08:00:00,2.3773,trailing_stop,0.1673,22616,3765.31,0.0454,12.0,0
STKH,2026-01-16,5,7,08:47:00,1.96,0.0,1.9551,08:49:00,1.9775,trailing_stop,0.0175,25510,447.7,0.01,2.0,0
STSS,2026-01-16,11,7,08:49:00,2.2,0.0,2.1945,08:50:00,2.1945,stop_hit,-0.0055,22727,-125.0,0.01,1.0,0
STSS,2026-01-16,13,9,08:52:00,2.2,0.0,2.1795,08:53:00,2.1795,stop_hit,-0.0205,22727,-465.05,0.0205,1.0,0
BDRX,2026-01-16,10,7,09:01:00,2.18,0.0,2.1646,09:02:00,2.1646,stop_hit,-0.0154,22935,-353.77,0.0154,1.0,0
