date,time_et_or_event,equity
session_open,float,30000.0
2026-01-02,07:54:00,29250.08
2026-01-02,11:13:00,29513.07
2026-01-02,11:31:00,30115.15
2026-01-05,11:15:00,29895.24
2026-01-05,11:37:00,30351.52
2026-01-05,11:56:00,29781.41
2026-01-06,09:25:00,30266.29
2026-01-06,11:37:00,30141.13
2026-01-06,11:52:00,30141.13
2026-01-06,11:58:00,30273.02
2026-01-06,15:54:00,29523.04
2026-01-06,19:33:00,29594.09
2026-01-07,09:24:00,29788.39
2026-01-07,13:15:00,29203.9
2026-01-07,14:01:00,28464.49
2026-01-07,15:41:00,28576.98
2026-01-08,09:24:00,29021.72
2026-01-08,09:25:00,29750.94
2026-01-08,11:37:00,30404.51
2026-01-08,18:06:00,32585.19
2026-01-08,19:55:00,32394.92
2026-01-09,06:53:00,32493.31
2026-01-09,07:50:00,34440.06
2026-01-09,10:53:00,34553.83
2026-01-09,12:49:00,34693.16
2026-01-09,13:55:00,34824.53
2026-01-09,14:12:00,34955.9
2026-01-09,14:18:00,34205.92
2026-01-09,15:47:00,34080.21
2026-01-09,15:54:00,34218.24
2026-01-09,17:47:00,34094.08
2026-01-09,19:21:00,34410.28
2026-01-09,19:51:00,33704.06
2026-01-09,19:53:00,33972.27
2026-01-12,09:02:00,34238.64
2026-01-12,09:20:00,35258.12
2026-01-12,09:28:00,36361.54
2026-01-12,09:32:00,35611.58
2026-01-12,11:48:00,36134.78
2026-01-12,12:52:00,36663.83
2026-01-12,13:31:00,36978.8
2026-01-12,15:42:00,37356.02
2026-01-12,18:33:00,38090.65
2026-01-12,19:06:00,38526.49
2026-01-12,19:10:00,38221.44
2026-01-13,09:24:00,37752.87
2026-01-13,10:10:00,38539.33
2026-01-13,10:19:00,37789.62
2026-01-13,15:08:00,38388.75
2026-01-13,16:19:00,37638.98
2026-01-14,05:49:00,37513.98
2026-01-14,07:53:00,37939.25
2026-01-14,10:14:00,37189.25
2026-01-14,11:12:00,37850.4
2026-01-14,12:13:00,37575.73
2026-01-14,16:49:00,37903.85
2026-01-14,17:13:00,38101.76
2026-01-14,17:28:00,38785.41
2026-01-14,19:42:00,39476.31
2026-01-15,09:32:00,38726.34
2026-01-15,10:32:00,39265.09
2026-01-15,10:32:00,39798.01
2026-01-15,11:42:00,39978.23
2026-01-15,11:56:00,39228.3
2026-01-15,11:58:00,39228.3
2026-01-15,16:44:00,40322.26
2026-01-15,16:54:00,41300.81
2026-01-15,19:22:00,41508.36
2026-01-15,19:57:00,41643.13
2026-01-16,06:07:00,42212.74
2026-01-16,06:17:00,44598.08
2026-01-16,08:00:00,47361.71
2026-01-16,08:49:00,47808.14
2026-01-16,08:50:00,47683.14
2026-01-16,08:53:00,47217.24
2026-01-16,09:02:00,46864.04
2026-01-16,09:16:00,47031.47
2026-01-16,09:44:00,48396.54
2026-01-16,10:57:00,48269.78
2026-01-16,17:43:00,48898.41
