symbol,date,entry_time_et,exit_time_et,entry_price,exit_price,raw_risk_per_share,exit_reason,score,shares,risk_dollars,notional,pnl,pnl_per_share,equity_before,equity_after,bp_committed_before,skipped_reason
TBMC,2026-01-02,07:51:00,07:54:00,14.17,13.955,0.215,stop_hit,7,3488,750.0,49424.96,-749.92,-0.215,30000.0,29250.08,0.0,
SOLT,2026-01-02,11:09:00,11:13:00,6.92,6.9564,0.0472,trailing_stop,7,7225,750.0,49997.0,262.99,0.0364,29250.08,29513.07,0.0,
SOLT,2026-01-02,11:23:00,11:31:00,7.0414,7.1262,0.0475,trailing_stop,7,7100,750.0,49993.94,602.08,0.0848,29513.07,30115.15,0.0,
NCEL,2026-01-05,11:12:00,11:15:00,2.16,2.1505,0.01,stop_hit,7,23148,750.0,49999.68,-219.91,-0.0095,30115.15,29895.24,0.0,
NCEL,2026-01-05,11:30:00,11:37:00,2.1799,2.2074,0.0452,trailing_stop,7,16592,750.0,36168.9,456.28,0.0275,29895.24,30351.52,0.0,
NCEL,2026-01-05,11:47:00,11:56:00,2.28,2.215,0.0855,session_end,7,8771,750.0,19997.88,-570.11,-0.065,30351.52,29781.41,0.0,
NOMA,2026-01-06,09:23:00,09:25:00,4.0008,4.0396,0.0407,trailing_stop,8,12497,750.0,49998.0,484.88,0.0388,29781.41,30266.29,0.0,
PASG,2026-01-06,11:20:00,11:58:00,18.165,18.23,0.3696,session_end,9,2029,750.0,36856.78,131.89,0.065,30266.29,30273.02,0.0,
RNAZ,2026-01-06,11:36:00,11:37:00,7.55,7.5311,0.0189,stop_hit,7,6622,750.0,49996.1,-125.16,-0.0189,30266.29,30141.13,36856.78,
LGCB,2026-01-06,11:52:00,11:52:00,2.08,2.08,0.0351,session_end,8,21367,750.0,44443.36,0.0,0.0,30141.13,30141.13,36856.78,
CYCN,2026-01-06,15:49:00,15:54:00,2.105,1.995,0.11,stop_hit,10,6818,750.0,14351.89,-749.98,-0.11,30273.02,29523.04,0.0,
CYCN,2026-01-06,19:32:00,19:33:00,1.9,1.9027,0.01,trailing_stop,7,26315,750.0,49998.5,71.05,0.0027,29523.04,29594.09,0.0,
GNPX,2026-01-07,09:11:00,09:24:00,1.93,1.9375,0.01,trailing_stop,7,25906,750.0,49998.58,194.3,0.0075,29594.09,29788.39,0.0,
CDIO,2026-01-07,13:10:00,13:15:00,2.84,2.8068,0.0332,stop_hit,10,17605,750.0,49998.2,-584.49,-0.0332,29788.39,29203.9,0.0,
CDIO,2026-01-07,13:16:00,14:01:00,2.84,2.798,0.042,stop_hit,8,17605,750.0,49998.2,-739.41,-0.042,29203.9,28464.49,0.0,
CDIO,2026-01-07,15:36:00,15:41:00,2.8001,2.8064,0.01,trailing_stop,8,17856,750.0,49998.59,112.49,0.0063,28464.49,28576.98,0.0,
CNCK,2026-01-08,09:00:00,09:24:00,2.53,2.5571,0.0457,trailing_stop,8,16411,750.0,41519.83,444.74,0.0271,28576.98,29021.72,0.0,
CNCK,2026-01-08,09:24:00,09:25:00,2.53,2.5669,0.0263,trailing_stop,9,19762,750.0,49997.86,729.22,0.0369,28576.98,29750.94,0.0,
ELAB,2026-01-08,11:36:00,11:37:00,5.8063,5.8822,0.0757,trailing_stop,7,8611,750.0,49998.05,653.57,0.0759,29750.94,30404.51,0.0,
ACON,2026-01-08,18:05:00,18:06:00,7.8,8.1402,0.0195,trailing_stop,7,6410,750.0,49998.0,2180.68,0.3402,30404.51,32585.19,0.0,
ACON,2026-01-08,19:54:00,19:55:00,7.62,7.591,0.029,stop_hit,8,6561,750.0,49994.82,-190.27,-0.029,32585.19,32394.92,0.0,
ANPA,2026-01-09,06:45:00,07:50:00,30.99,34.0176,1.1647,trailing_stop,8,643,750.0,19926.57,1946.75,3.0276,32394.92,34440.06,0.0,
KUST,2026-01-09,06:52:00,06:53:00,3.1,3.1061,0.01,trailing_stop,7,16129,750.0,49999.9,98.39,0.0061,32394.92,32493.31,19926.57,
