symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
CYCN,2026-01-06,23,10,15:49:00,2.105,0.0,1.995,15:54:00,1.995,stop_hit,-0.11,9090,-999.9,0.11,5.0
PASG,2026-01-06,4,9,11:20:00,18.165,0.0,17.7954,11:58:00,18.23,session_end,0.065,2705,175.83,0.3696,38.0
CDIO,2026-01-07,11,10,13:10:00,2.84,0.0,2.8068,13:15:00,2.8068,stop_hit,-0.0332,17605,-585.09,0.0332,5.0
CNCK,2026-01-08,13,9,09:24:00,2.53,0.0,2.5037,09:25:00,2.5669,trailing_stop,0.0369,19762,728.48,0.0263,1.0
FEED,2026-01-09,6,9,10:52:00,2.2414,0.0,2.2344,10:53:00,2.2465,trailing_stop,0.0051,22307,113.77,0.01,1.0
KUST,2026-01-09,41,9,14:10:00,2.5501,0.0,2.5437,14:12:00,2.5568,trailing_stop,0.0067,19607,131.61,0.01,2.0
OM,2026-01-12,32,9,17:20:00,5.54,0.0,5.5361,17:24:00,5.5361,stop_hit,-0.0039,9025,-34.97,0.01,4.0
RZLV,2026-01-13,4,9,09:22:00,4.2895,0.0,4.2493,09:24:00,4.2493,stop_hit,-0.0402,11656,-467.99,0.0402,2.0
MVO,2026-01-14,60,9,17:27:00,1.9308,0.0,1.9252,17:28:00,1.9572,trailing_stop,0.0264,25896,683.33,0.01,1.0
ROLR,2026-01-14,19,9,19:39:00,18.0,0.0,17.7256,19:42:00,18.2528,trailing_stop,0.2528,2777,701.99,0.2744,3.0
QMCO,2026-01-15,6,9,10:28:00,7.81,0.0,7.7407,10:32:00,7.8753,trailing_stop,0.0653,6402,418.37,0.0693,4.0
LCFY,2026-01-16,17,10,19:56:00,4.51,0.0,4.4289,19:58:00,4.49,session_end,-0.02,11086,-221.72,0.0811,2.0
STSS,2026-01-16,13,9,08:52:00,2.2,0.0,2.1795,08:53:00,2.1795,stop_hit,-0.0205,22727,-465.05,0.0205,1.0
RYOJ,2026-01-21,7,9,08:12:00,3.12,0.0,3.0623,08:13:00,5.2812,trailing_stop,2.1612,16025,34632.63,0.0577,1.0
YDDL,2026-01-23,25,10,09:41:00,6.98,0.0,6.6932,09:51:00,7.1566,trailing_stop,0.1766,3487,615.85,0.2868,10.0
HIND,2026-01-27,30,10,18:00:00,2.97,0.0,2.9526,18:01:00,2.9526,stop_hit,-0.0174,16835,-292.93,0.0174,1.0
SWVL,2026-01-27,24,9,11:07:00,2.07,0.0,1.995,11:10:00,2.1117,trailing_stop,0.0417,13333,555.99,0.075,3.0
AIMD,2026-01-28,50,9,19:30:00,2.14,0.0,2.1247,19:34:00,2.1247,stop_hit,-0.0153,23364,-358.05,0.0153,4.0
BBGI,2026-01-28,32,10,16:46:00,5.3,0.0,5.2069,16:48:00,5.3635,trailing_stop,0.0635,9433,598.76,0.093,2.0
DZZ,2026-01-30,18,10,07:01:00,4.3,0.0,4.2095,07:16:00,4.2095,stop_hit,-0.0905,11043,-999.94,0.0905,15.0
PMN,2026-01-30,6,9,17:09:00,14.0,0.0,13.5959,17:11:00,14.408,trailing_stop,0.408,2474,1009.3,0.4041,2.0
VIVS,2026-01-30,12,9,17:54:00,2.78,0.0,2.7631,17:56:00,2.7631,stop_hit,-0.0169,17985,-304.4,0.0169,2.0
FATN,2026-02-02,29,10,14:26:00,1.81,0.0,1.7955,14:27:00,1.7955,stop_hit,-0.0145,27624,-400.55,0.0145,1.0
FUSE,2026-02-02,11,9,19:16:00,2.62,0.0,2.6035,19:17:00,2.6517,trailing_stop,0.0317,19083,605.65,0.0165,1.0
IPW,2026-02-02,23,10,14:54:00,4.13,0.0,4.0997,14:57:00,4.1949,trailing_stop,0.0649,12106,785.23,0.0303,3.0
FIEE,2026-02-03,34,10,18:55:00,4.53,0.0,4.389,19:55:00,4.55,session_end,0.02,7092,141.84,0.141,60.0
TLF,2026-02-04,20,10,09:02:00,3.3069,0.0,3.2917,09:06:00,3.2917,stop_hit,-0.0152,15119,-229.05,0.0152,4.0
RNAZ,2026-02-05,9,10,17:36:00,9.68,0.0,9.5161,17:52:00,9.8081,trailing_stop,0.1281,5165,661.51,0.1639,16.0
LIMN,2026-02-09,8,10,09:14:00,2.05,0.0,2.0135,09:17:00,2.0135,stop_hit,-0.0365,24390,-891.36,0.0365,3.0
SMX,2026-02-10,10,10,09:12:00,13.7514,0.0,13.566,09:14:00,13.8973,trailing_stop,0.1459,3635,530.35,0.1854,2.0
SPOG,2026-02-10,39,10,13:03:00,7.687,0.0,7.6808,13:04:00,7.6938,trailing_stop,0.0068,6504,44.06,0.01,1.0
SIF,2026-02-13,6,9,11:03:00,10.19,0.0,10.0598,11:09:00,10.2749,trailing_stop,0.0849,4906,416.49,0.1302,6.0
SIF,2026-02-13,8,10,11:22:00,10.245,0.0,10.1296,11:55:00,10.18,session_end,-0.065,4880,-317.2,0.1154,33.0
SIF,2026-02-13,11,9,11:40:00,10.2,0.0,10.1346,11:55:00,10.18,session_end,-0.02,4901,-98.02,0.0654,15.0
UONE,2026-02-13,5,10,11:36:00,13.0933,0.0,12.3391,11:43:00,12.3391,stop_hit,-0.7542,1325,-999.35,0.7542,7.0
SNSE,2026-02-18,12,9,19:03:00,24.4,0.0,24.1894,19:04:00,24.5847,trailing_stop,0.1847,2049,378.42,0.2106,1.0
FIGG,2026-02-20,4,10,11:27:00,2.0697,0.0,2.0449,11:30:00,2.0449,stop_hit,-0.0248,24158,-599.72,0.0248,3.0
DFSC,2026-03-04,12,9,09:18:00,2.06,0.0,2.0349,09:21:00,2.0349,stop_hit,-0.0251,24271,-609.2,0.0251,3.0
LCUT,2026-03-12,23,10,16:58:00,3.38,0.0,3.3716,16:59:00,3.4458,trailing_stop,0.0658,14792,972.94,0.01,1.0
RKDA,2026-03-12,5,10,10:59:00,2.2,0.0,2.1596,11:00:00,2.1596,stop_hit,-0.0404,22727,-918.45,0.0404,1.0
ZENA,2026-03-18,30,9,11:55:00,2.1897,0.0,2.1646,11:58:00,2.185,session_end,-0.0047,22834,-107.32,0.0251,3.0
ASTN,2026-03-26,6,10,07:36:00,13.37,0.0,13.2668,08:00:00,13.4484,trailing_stop,0.0784,3739,293.04,0.1032,24.0
FATN,2026-03-26,39,9,16:36:00,2.32,0.0,2.3142,16:37:00,2.3471,trailing_stop,0.0271,21551,584.03,0.01,1.0
MKDW,2026-03-26,53,9,19:48:00,7.22,0.0,7.1521,19:49:00,7.256,trailing_stop,0.036,6925,249.56,0.0679,1.0
KIDZ,2026-03-31,24,9,18:44:00,3.14,0.0,3.1022,19:00:00,3.1022,stop_hit,-0.0378,15923,-601.49,0.0378,16.0
MASK,2026-03-31,8,9,18:01:00,2.14,0.0,2.0948,18:55:00,2.0948,stop_hit,-0.0452,22099,-999.98,0.0452,54.0
NPT,2026-03-31,12,9,17:16:00,7.77,0.0,7.581,17:25:00,7.581,stop_hit,-0.189,5291,-1000.0,0.189,9.0
SST,2026-04-01,15,10,19:37:00,4.68,0.0,4.5386,19:40:00,4.5386,stop_hit,-0.1414,7073,-999.95,0.1414,3.0
VOR,2026-04-01,3,10,04:33:00,18.72,0.0,18.2942,05:45:00,19.0471,trailing_stop,0.3271,2348,767.97,0.4258,72.0
BATL,2026-04-02,47,10,14:06:00,4.46,0.0,4.399,14:11:00,4.399,stop_hit,-0.061,11210,-684.09,0.061,5.0
FCUV,2026-04-06,19,10,18:28:00,4.38,0.0,4.3491,18:29:00,4.4346,trailing_stop,0.0546,11415,622.69,0.0309,1.0
KIDZ,2026-04-06,44,9,14:55:00,3.23,0.0,3.202,15:01:00,3.202,stop_hit,-0.028,15479,-433.8,0.028,6.0
RENX,2026-04-06,20,9,17:09:00,2.41,0.0,2.3641,19:59:00,2.41,session_end,0.0,20746,0.0,0.0459,170.0
KPRX,2026-04-07,41,10,16:42:00,2.17,0.0,2.1546,16:44:00,2.1923,trailing_stop,0.0223,23041,513.81,0.0154,2.0
KPRX,2026-04-07,48,10,17:33:00,2.1991,0.0,2.1646,17:36:00,2.1646,stop_hit,-0.0345,22736,-784.96,0.0345,3.0
SKYQ,2026-04-07,29,10,18:03:00,6.32,0.0,6.2643,18:04:00,6.2643,stop_hit,-0.0557,7911,-440.64,0.0557,1.0
KIDZ,2026-04-08,31,10,13:32:00,3.16,0.0,3.1371,13:36:00,3.1786,trailing_stop,0.0186,15822,293.79,0.0229,4.0
KIDZ,2026-04-08,70,10,13:32:00,3.16,0.0,3.1371,13:36:00,3.1786,trailing_stop,0.0186,15822,293.79,0.0229,4.0
MIGI,2026-04-08,20,10,18:35:00,4.42,0.0,4.379,19:05:00,4.4795,trailing_stop,0.0595,11312,673.21,0.041,30.0
