symbol,date,wave_id,direction,start_time_utc,end_time_utc,start_price,end_price,duration_minutes,magnitude_pct,magnitude_dollars,score,anchor_bar_index,avg_volume,bounce_bar_index,extreme_bar_index,max_volume_bar,score_green_bounce,score_has_prior_waves,score_higher_low,score_macd_rising,score_minimal_upper_wick,score_near_recent_low,score_volume_confirm
FUTG,2026-01-02,1,down,2026-01-02T15:04:00+00:00,2026-01-02T15:13:00+00:00,15.9299,15.65,9.0,1.7571,0.2799,3,1,197.4,7,5,400,1,0,0,0,1,0,1
FUTG,2026-01-02,2,up,2026-01-02T15:13:00+00:00,2026-01-02T15:18:00+00:00,15.65,15.8297,5.0,1.1482,0.1797,,5,314.7,,7,400,,,,,,,
FUTG,2026-01-02,3,down,2026-01-02T15:18:00+00:00,2026-01-02T15:24:00+00:00,15.8297,15.64,6.0,1.1984,0.1897,5,7,120.8,12,10,244,0,1,1,0,0,1,0
PAVS,2026-01-02,1,up,2026-01-02T16:27:00+00:00,2026-01-02T16:30:00+00:00,2.1509,2.22,3.0,3.2126,0.0691,,177,11264.5,,180,19494,,,,,,,
SNSE,2026-01-02,1,up,2026-01-02T13:54:00+00:00,2026-01-02T13:57:00+00:00,10.7503,11.55,3.0,7.4389,0.7997,,114,1092.3,,116,2171,,,,,,,
SNSE,2026-01-02,2,down,2026-01-02T16:38:00+00:00,2026-01-02T16:41:00+00:00,9.44,9.25,3.0,2.0127,0.19,2,276,193.0,280,279,330,1,0,0,0,1,0,0
SNSE,2026-01-02,3,up,2026-01-02T16:44:00+00:00,2026-01-02T16:47:00+00:00,9.21,9.38,3.0,1.8458,0.17,,282,737.0,,284,1150,,,,,,,
SOLT,2026-01-02,1,down,2026-01-02T14:04:00+00:00,2026-01-02T14:18:00+00:00,6.86,6.72,14.0,2.0408,0.14,1,117,8170.8,131,131,43334,0,0,0,0,1,0,0
SOLT,2026-01-02,2,down,2026-01-02T14:18:00+00:00,2026-01-02T14:21:00+00:00,6.7595,6.7,3.0,0.8802,0.0595,5,131,2396.8,136,134,5294,1,0,0,0,1,1,1
SOLT,2026-01-02,3,up,2026-01-02T14:21:00+00:00,2026-01-02T14:26:00+00:00,6.7,6.77,5.0,1.0448,0.07,,134,2434.2,,139,5755,,,,,,,
SOLT,2026-01-02,4,down,2026-01-02T14:26:00+00:00,2026-01-02T14:32:00+00:00,6.77,6.68,6.0,1.3294,0.09,4,139,25710.0,145,145,123039,0,1,0,0,1,1,0
SOLT,2026-01-02,5,up,2026-01-02T14:35:00+00:00,2026-01-02T14:38:00+00:00,6.66,6.82,3.0,2.4024,0.16,,148,34149.8,,151,90994,,,,,,,
SOLT,2026-01-02,6,down,2026-01-02T14:51:00+00:00,2026-01-02T14:57:00+00:00,6.95,6.85,6.0,1.4388,0.1,4,164,26678.3,170,170,33088,0,1,1,0,1,0,0
SOLT,2026-01-02,7,up,2026-01-02T14:58:00+00:00,2026-01-02T15:01:00+00:00,6.85,6.91,3.0,0.8759,0.06,,171,22041.2,,174,32794,,,,,,,
SOLT,2026-01-02,8,down,2026-01-02T15:03:00+00:00,2026-01-02T15:06:00+00:00,6.8899,6.81,3.0,1.1597,0.0799,5,176,34261.2,179,179,64059,1,1,0,0,1,1,0
SOLT,2026-01-02,9,down,2026-01-02T15:09:00+00:00,2026-01-02T15:12:00+00:00,6.88,6.81,3.0,1.0174,0.07,3,182,19081.8,185,185,39310,0,1,0,0,0,1,0
SOLT,2026-01-02,10,down,2026-01-02T15:16:00+00:00,2026-01-02T15:22:00+00:00,6.87,6.735,6.0,1.9651,0.135,2,189,57485.1,196,195,171069,0,1,0,0,0,0,1
SOLT,2026-01-02,11,up,2026-01-02T15:24:00+00:00,2026-01-02T15:32:00+00:00,6.72,6.85,8.0,1.9345,0.13,,197,36380.8,,205,134023,,,,,,,
SOLT,2026-01-02,12,up,2026-01-02T15:32:00+00:00,2026-01-02T15:40:00+00:00,6.815,6.94,8.0,1.8342,0.125,,205,65619.1,,213,268851,,,,,,,
SOLT,2026-01-02,13,up,2026-01-02T15:42:00+00:00,2026-01-02T15:48:00+00:00,6.89,6.96,6.0,1.016,0.07,,215,33855.7,,221,65443,,,,,,,
SOLT,2026-01-02,14,down,2026-01-02T15:48:00+00:00,2026-01-02T15:52:00+00:00,6.96,6.8801,4.0,1.148,0.0799,2,221,39432.8,228,225,72959,1,1,0,0,0,0,0
SOLT,2026-01-02,15,down,2026-01-02T16:02:00+00:00,2026-01-02T16:05:00+00:00,6.915,6.8601,3.0,0.7939,0.0549,7,235,26041.0,241,238,58459,1,1,1,0,1,1,0
SOLT,2026-01-02,16,up,2026-01-02T16:05:00+00:00,2026-01-02T16:13:00+00:00,6.8601,6.98,8.0,1.7478,0.1199,,238,36264.9,,246,107431,,,,,,,
SOLT,2026-01-02,17,down,2026-01-02T16:17:00+00:00,2026-01-02T16:20:00+00:00,7.065,6.9886,3.0,1.0814,0.0764,7,250,36079.2,255,253,57208,1,1,1,1,1,0,0
SOLT,2026-01-02,18,up,2026-01-02T16:20:00+00:00,2026-01-02T16:23:00+00:00,6.9886,7.055,3.0,0.9501,0.0664,,253,11402.2,,256,15995,,,,,,,
SOLT,2026-01-02,19,down,2026-01-02T16:23:00+00:00,2026-01-02T16:27:00+00:00,7.055,7.0,4.0,0.7796,0.055,6,256,15836.8,261,260,20485,1,1,1,0,0,1,0
SOLT,2026-01-02,20,up,2026-01-02T16:27:00+00:00,2026-01-02T16:30:00+00:00,7.0,7.07,3.0,1.0,0.07,,260,29953.0,,263,49783,,,,,,,
SOLT,2026-01-02,21,down,2026-01-02T16:35:00+00:00,2026-01-02T16:38:00+00:00,7.19,7.11,3.0,1.1127,0.08,3,268,69711.2,271,271,188960,0,1,1,0,0,0,0
SOLT,2026-01-02,22,down,2026-01-02T16:38:00+00:00,2026-01-02T16:42:00+00:00,7.15,7.075,4.0,1.049,0.075,3,271,21336.0,275,275,28890,0,1,0,0,1,0,1
