date,symbol,total_ticks,heartbeat_ticks,total_volume,dollar_volume,rvol,range_pct,tick_rate_rank,volume_rank,rvol_rank,range_rank,composite_score
2026-01-02,PAVS,65706,0,13165737,29306802.29,,0.3033,1,2,1,2,0.597
2026-01-02,SMX,24143,0,1317118,25021938.49,,0.2118,2,3,1,3,0.3589
2026-01-02,SOLT,11153,0,5566771,38526620.28,,0.0788,3,1,1,5,0.3218
2026-01-02,SNSE,4202,0,257088,2697223.29,,0.4668,4,4,1,1,0.2826
2026-01-02,TBMC,473,0,52815,692463.91,,0.121,5,5,1,4,0.0588
2026-01-02,FUTG,39,0,7329,116434.11,,0.027,6,6,1,6,0.0
2026-01-05,SOLT,9822,0,4209678,31600052.1,0.756,0.0511,1,1,1,6,0.5055
2026-01-05,RGTX,8289,0,1561781,24389013.14,,0.1166,2,2,2,2,0.4833
2026-01-05,RKLZ,6099,0,4542005,20465858.72,,0.1092,3,3,2,3,0.3865
2026-01-05,NCEL,1838,0,368068,858311.05,,0.2643,4,6,2,1,0.2974
2026-01-05,UUU,1101,0,146056,902242.03,,0.1076,6,5,2,4,0.0988
2026-01-05,SOUX,1218,0,139833,1865945.3,,0.0772,5,4,2,5,0.0747
2026-01-05,CVV,252,0,29246,105633.87,,0.0463,7,7,2,7,0.0
2026-01-06,CYCN,179304,0,47055967,98326019.07,,0.1981,1,1,1,5,0.5766
2026-01-06,ELAB,35259,0,2448573,17754134.16,,0.4779,2,2,1,1,0.3432
2026-01-06,RNAZ,6408,0,466081,3533507.64,,0.23,4,3,1,2,0.1131
2026-01-06,NOMA,8918,0,794572,2968788.43,,0.207,3,4,1,4,0.1009
2026-01-06,CELZ,2060,0,466960,1052054.6,,0.2289,5,6,1,3,0.1
2026-01-06,LGCB,511,0,113242,234549.8,,0.1256,7,7,1,6,0.0317
2026-01-06,PASG,955,0,79148,1437092.68,,0.0744,6,5,1,7,0.0037
2026-01-07,MNTS,125769,0,12595761,168305815.78,,0.3388,2,1,1,1,0.6713
2026-01-07,NVVE,182657,0,30731054,110021944.11,,0.2839,1,2,1,2,0.6003
2026-01-07,CDIO,33587,0,4748563,14599344.55,,0.1846,3,3,1,3,0.138
2026-01-07,CCEL,2870,0,53771,205553.51,,0.1787,4,5,1,4,0.0673
2026-01-07,GNPX,2027,0,393461,750921.03,,0.1212,5,4,1,5,0.0008
2026-01-08,SXTC,219858,0,30737082,132005206.1,,1.203,2,2,2,1,0.6488
2026-01-08,ACON,231328,0,24738695,204308993.78,,0.4327,1,1,2,4,0.5705
2026-01-08,ICON,19344,0,2482918,8990752.84,,0.528,3,3,2,2,0.1222
2026-01-08,CNCK,3306,0,539544,1363841.83,,0.433,5,6,2,3,0.0733
2026-01-08,ELAB,7170,0,640731,3686465.54,0.262,0.202,4,4,1,6,0.0265
